Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD,,,
59,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,6,Chekurapadu,,1688,1688,92840,,,
60,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,9,Devarapalem,3408,,3408,187440,,,
61,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,10,Nippatlapadu,2798,,2798,153890,,,
62,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,11,Budavada,3442,,3442,189310,,,
63,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,17,R.L.Puram,3437,,3437,189035,,,
64,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,18,Mylavaram,678,,678,37290,,,
65,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,19,Pulikonda,1622,,1622,89210,,,
66,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,20,Ravipadu,1080,,1080,59400,,,
67,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,21,Busarlapalli,859,,859,47245,,,
68,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,22,G.Lakshmipuram,801,,801,44055,,,
69,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,23,Ramachandrapuram,1271,,1271,69905,,,
70,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,24,Pidathalapudi,851,,851,46805,,,
71,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,16,Gonuguntla,6841,,6841,376255,,,
72,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,35,Tripurasundaripuram,,972,972,53460,,,
73,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,38,China Uyyalavada,,454,454,24970,,,
74,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,10,Gummalampadu,2061,,2061,113355,,,
75,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,11,Enikapadu,2119,,2119,116545,,,
76,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,12,B.Machavaram(Madduluru),3861,,3861,212355,,,
77,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,13,Mattipadu(Vemulapadu),,2642,2642,145310,,,
78,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,14,Chilakapadu,2202,,2202,121110,,,
79,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,15,P.Takkellapadu,1247,,1247,68585,,,
80,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,8,Konaganivaripalem,566,,566,31130,,,
81,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,11,S.N.Puram,0,,0,0,,,
82,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,12,Boddikurapadu,7028,,7028,386540,,,
83,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,13,Surayapalem,0,,0,0,,,
84,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,5,Karumanchi,,4031,4031,221705,,,
85,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,16,Nidamaluru,,3847,3847,211585,,,
86,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,17,Ponduru,3746,,3746,206030,,,
87,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,6,Turpu Naidupalem,1913,,1913,105215,,,
88,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,7,G.kattubadi,,0,0,0,,,
89,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,8,Mallavarappadu,1823,,1823,100265,,,
90,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,13,Kanduluru,3227,,3227,177485,,,
91,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,14,Marlapadu,2808,,2808,154440,,,
92,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,15,Konijedu,4005,,4005,220275,,,
93,08_C_58_47,PKM_C_G&M_Kothapatnam,1,Aluru,2246,0,2246,123530,,,
94,08_C_58_47,PKM_C_G&M_Kothapatnam,2,Padarthi,8439,0,8439,464145,,,
95,08_C_58_47,PKM_C_G&M_Kothapatnam,3,Kothapatnam ,21729,0,21729,1195095,,,
96,08_C_58_47,PKM_C_G&M_Kothapatnam,4,Rajupalem,3427,0,3427,188485,,,
97,08_C_58_47,PKM_C_G&M_Kothapatnam,5,P.kandrika,572,0,572,31460,,,
98,08_C_58_47,PKM_C_G&M_Kothapatnam,6,Ethamukkala,6995,0,6995,384725,,,
99,08_C_58_47,PKM_C_G&M_Kothapatnam,7,Madanuru,6598,0,6598,362890,,,
100,08_C_56_17,PKM_C_Romperu_Ballikurava,3,Vemavaram,1695,,1695,93225,,,
101,08_C_56_17,PKM_C_Romperu_Ballikurava,4,Konidena,,8163,8163,448965,,,
102,08_C_56_17,PKM_C_Romperu_Ballikurava,5,Ballikurava ,2066,,2066,113630,,,
103,08_C_56_17,PKM_C_Romperu_Ballikurava,6,Chennupalli,1622,,1622,89210,,,
104,08_C_56_17,PKM_C_Romperu_Ballikurava,8,Muktheswaram,3039,,3039,167145,,,
105,08_C_56_17,PKM_C_Romperu_Ballikurava,9,Guntupalli,4459,,4459,245245,,,
106,08_C_56_17,PKM_C_Romperu_Ballikurava,14,Vallapalli,4919,,4919,270545,,,
107,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,1,Garlapadu,947,,947,52085,,,
108,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,2,Gadiyapudi,1142,,1142,62810,,,
109,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,9,Mallavaram,2116,,2116,116380,,,
110,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,10,Venkateswarapuram,0,,0,0,,,
111,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,11,Doddavaram ,4760,,4760,261800,,,
112,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,12,Nelaturu,2807,,2807,154385,,,
113,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,13,Maddipadu ,6480,,6480,356400,,,
114,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,19,Lingamguntla,2831,,2831,155705,,,
115,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,1,Ilapavuluru,3048,,3048,167640,,,
116,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,2,Rangasaipuram,921,,921,50655,,,
117,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,3,Pallamalli,3436,,3436,188980,,,
118,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,4,Nekunambad,976,,976,53680,,,
119,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,5,Chandrapadu,3095,,3095,170225,,,
120,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,6,T.Gudipadu,1311,,1311,72105,,,
121,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,7,Bandlamudi,1504,,1504,82720,,,
122,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,8,P. Naidupalem,3933,,3933,216315,,,
123,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,12,Cheemakurthy,30279,,30279,1665345,,,
124,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,13,K.Agraharam,689,,689,37895,,,
125,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,14,Yerragudipadu,898,,898,49390,,,
126,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,15,Manchikalapadu,2165,,2165,119075,,,
127,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,1,Lakshmipuram,809,,809,44495,,,
128,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,2,Rudravaram,1943,,1943,106865,,,
129,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,3,Guravareddipalem,1548,,1548,85140,,,
130,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,4,Minampadu,5283,,5283,290565,,,
131,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,5,Endluru,2867,,2867,157685,,,
132,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,6,Pernamitta,17041,,17041,937255,,,
133,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,7,S.N.Padu (Gangavaram),12400,,12400,682000,,,
134,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,1,Throvagunta,7992,,7992,439560,,,
135,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,4,Devarampadu,6366,,6366,350130,,,
136,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,7,Gudimendlapadu,543,,543,29865,,,
137,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,8,Mukthinuthalapadu,3092,,3092,170060,,,
138,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,7,Vellampalli,,2592,2592,142560,,,
139,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,8,Kolachinakota,,1855,1855,102025,,,
140,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,14,Seetharampuram,,907,907,49885,,,
141,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,15,Nandipadu,,1157,1157,63635,,,
142,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,16,Inamanamellur,,6871,6871,377905,,,
143,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,17,Doddavarappadu,,2059,2059,113245,,,
144,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,18,Peddakothapalli,,3736,3736,205480,,,
145,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,20,Yedugundlapadu,,2314,2314,127270,,,
146,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,9,P.Gudipadu,,2148,2148,118140,,,
147,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,2,Karavadi ,,6327,6327,347985,,,
148,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,3,Ulichi,,2667,2667,146685,,,
149,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,5,Chejerla,,1240,1240,68200,,,
150,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,5,Maddiralapadu,,2488,2488,136840,,,
151,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,6,Chekurapadu,,1688,1688,92840,,,
152,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,9,Devarapalem,3408,,3408,187440,,,
153,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,10,Nippatlapadu,2798,,2798,153890,,,
154,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,11,Budavada,3442,,3442,189310,,,
155,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,17,R.L.Puram,3437,,3437,189035,,,
156,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,18,Mylavaram,678,,678,37290,,,
157,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,19,Pulikonda,1622,,1622,89210,,,
158,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,20,Ravipadu,1080,,1080,59400,,,
159,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,21,Busarlapalli,859,,859,47245,,,
160,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,22,G.Lakshmipuram,801,,801,44055,,,
