S.No,Watershed code,Watershed Name, Village Name,Length ,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor, No.of operating days of canal,, Recharge from canal (ha.m),,Annual Recharge
,,,,mts,mts,mts,( degrees ),mts,( m.sq mts.),( ha.m/d/m.sq.m ),Monsoon ,N-Monsoon,Monsoon ,Non-Monsoon,( ha.m )
43,02 - F - 10 - 03,VZM_GOST_GANTYADA,NANDAM,,,,,0,0,,,,0,0,0
44,02 - F - 10 - 03,VZM_GOST_GANTYADA,NARAVA,,,,,0,0,,,,0,0,0
45,02 - F - 10 - 03,VZM_GOST_GANTYADA,RAMAVARAM,,,,,0,0,,,,0,0,0
46,02 - F - 10 - 03,VZM_GOST_GANTYADA,KARAKAVALASA,,,,,0,0,,,,0,0,0
47,02 - F - 10 - 03,VZM_GOST_GANTYADA,ATTADA,,,,,0,0,,,,0,0,0
48,02 - F - 10 - 03,VZM_GOST_GANTYADA,GUNKALAM,,,,,0,0,,,,0,0,0
49,02 - F - 10 - 03,VZM_GOST_GANTYADA,DWARAPUDI,,,,,0,0,,,,0,0,0
50,02 - F - 10 - 03,VZM_GOST_GANTYADA,SIRIYALLAPETA,,,,,0,0,,,,0,0,0
51,02 - F - 10 - 03,VZM_GOST_GANTYADA,RAKODU,,,,,0,0,,,,0,0,0
52,02 - F - 10 - 03,VZM_GOST_GANTYADA,PINAVEMALI,,,,,0,0,,,,0,0,0
53,02 - F - 10 - 03,VZM_GOST_GANTYADA,KORUKONDA,,,,,0,0,,,,0,0,0
54,02 - F - 10 - 03,VZM_GOST_GANTYADA,SARIKA,,,,,0,0,,,,0,0,0
55,02 - F - 10 - 03,VZM_GOST_GANTYADA,JAGANNADHAPURAM,,,,,0,0,,,,0,0,0
56,02 - F - 10 - 03,VZM_GOST_GANTYADA,DUPPADA,,,,,0,0,,,,0,0,0
57,02 - F - 10 - 03,VZM_GOST_GANTYADA,VIZIANAGARAM BIT-II,,,,,0,0,,,,0,0,0
58,02 - F - 10 - 03,VZM_GOST_GANTYADA,VIZIANAGARAM BIT-I,,,,,0,0,,,,0,0,0
59,02 - F - 10 - 03,VZM_GOST_GANTYADA,HAJISAHEBPETA,,,,,0,0,,,,0,0,0
60,02 - F - 10 - 03,VZM_GOST_GANTYADA,VANTITADI AGRAHARAM,,,,,0,0,,,,0,0,0
61,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GULIVINDADA AGRAHARAM,0,0,,,,,,,,,0,2
62,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHEEPURUPALLI,0,0,,,,,,,,,6,3
63,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SUMITRAPURAM,0,0,22,,0,8,,,,,0,0
64,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,RAMALINGAPURAM,0,0,,,,,,,,,0,0
65,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PURREYAVALASA,0,0,,,,,,,,,6,1
66,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VISWANADHAPURAM,0,0,,,,,,,,,2,2
67,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ALAJANGI,0,0,,,,,,,,,8,7
68,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,RAVIVALASA,0,0,,,,,,,,,6,5
69,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ANJANEYAPURAM,0,0,,,,,,,,,1,0
70,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VIJAYARAMPURAM,0,0,,,,,,,,,1,6
71,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ARIDIVALASA,0,0,,,,,,,,,2,2
72,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,METTAPALLI,0,0,,,,,,,,,8,2
73,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KARLAM,0,0,,,,,,,,,12,8
74,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SANKUPALEM,0,0,,,,,,,,,2,0
75,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KARAKAM,0,0,,,,,,,,,2,4
76,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PERIPI,0,0,,,,,,,,,8,16
77,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PURUSHOTHAMA S.L.PURAM,0,0,,,,,,,,,2,0
