Sr.no,,,Village name,T.Area (ha),Watershed command area ,,,,Watershed Non command Area,,,,Watershed poor quality Area,,,
,Water shed code,Watershed name,,,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total
51,02 - F - 10 - 03,VZM_GOST_GANTYADA,RAKODU,505,0,0,,,505,0,0,505,0,,,
52,02 - F - 10 - 03,VZM_GOST_GANTYADA,PINAVEMALI,526,0,0,,,526,0,0,526,0,,,
53,02 - F - 10 - 03,VZM_GOST_GANTYADA,KORUKONDA,1018,0,0,,,1018,0,0,1018,0,,,
54,02 - F - 10 - 03,VZM_GOST_GANTYADA,SARIKA,1235,0,0,,,1235,0,0,1235,0,,,
55,02 - F - 10 - 03,VZM_GOST_GANTYADA,JAGANNADHAPURAM,293,0,0,,,293,0,0,293,0,,,
56,02 - F - 10 - 03,VZM_GOST_GANTYADA,DUPPADA,278,0,0,,,278,0,0,278,0,,,
57,02 - F - 10 - 03,VZM_GOST_GANTYADA,VIZIANAGARAM BIT-II,1047,0,0,,,911.4,135.6,226,1047,0,,,
58,02 - F - 10 - 03,VZM_GOST_GANTYADA,VIZIANAGARAM BIT-I,429,0,0,,,429,0,0,429,0,,,
59,02 - F - 10 - 03,VZM_GOST_GANTYADA,HAJISAHEBPETA,246,0,0,,,129.6,116.4,194,246,0,,,
60,02 - F - 10 - 03,VZM_GOST_GANTYADA,VANTITADI AGRAHARAM,342,0,0,,,342,0,0,342,0,,,
61,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GULIVINDADA AGRAHARAM,475.910736,0,,,,475.910736,0,0,475.910736,0,,,
62,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHEEPURUPALLI,347.625274,0,,,,347.625274,0,0,347.625274,0,,,
63,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SUMITRAPURAM,104.408988,0,,,,104.408988,0,0,104.408988,0,,,
64,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,RAMALINGAPURAM,180.08527,0,,,,180.08527,0,0,180.08527,0,,,
65,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PURREYAVALASA,202.747686,0,,,,202.747686,0,0,202.747686,0,,,
66,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VISWANADHAPURAM,237.550682,0,,,,237.550682,0,0,237.550682,0,,,
67,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ALAJANGI,304.323872,0,,,,304.323872,0,0,304.323872,0,,,
68,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ANJANEYAPURAM,504.643442,0,,,,504.643442,0,0,504.643442,0,,,
69,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VIJAYARAMPURAM,119.787056,0,,,,119.787056,0,0,119.787056,0,,,
70,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ARIDIVALASA,150.138506,0,,,,150.138506,0,0,150.138506,0,,,
71,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,METTAPALLI,145.68696,0,,,,145.68696,0,0,145.68696,0,,,
72,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KARLAM,572.63069,0,,,,572.63069,0,0,572.63069,0,,,
73,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SANKUPALEM,1253.717228,0,,,,1253.717228,0,0,1253.717228,0,,,
74,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KARAKAM,169.563434,0,,,,169.563434,0,0,169.563434,0,,,
75,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PERIPI,165.111888,0,,,,165.111888,0,0,165.111888,0,,,
76,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PURUSHOTHAMA S.L.PURAM,874.931132,0,,,,874.931132,0,0,874.931132,0,,,
77,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PARLA,211.650778,0,,,,211.650778,0,0,211.650778,0,,,
78,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,POTHAYAVALASA,379.595468,0,,,,379.595468,0,0,379.595468,0,,,
79,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ITIKARLAPALLI,169.96812,0,,,,169.96812,0,0,169.96812,0,,,
80,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PEDANADIPALLI,571.011946,0,,,,571.011946,0,0,571.011946,0,,,
81,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GATCHALAVALASA,355.718994,0,,,,355.718994,0,0,355.718994,0,,,
82,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PATHIKAYAVALASA,173.610294,0,,,,173.610294,0,0,173.610294,0,,,
83,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,NIMMALAVALASA,392.140734,0,,,,392.140734,0,0,392.140734,0,,,
