,,,,Command Area,,,,,,,Non-Command Area,,,,,,,Poor GW quality area,,,,,,
,,,,Irrigated,,,,,,,Irrigated,,,,,,,Irrigated,,,,,,
S.No,Watershed code,Watershed Name, Village Name,DW,DW PS,BW,STW,MTW,DTW,FP,DW,DW PS,BW,STW,MTW,DTW,FP,DW,DW PS,BW,STW,MTW,DTW,FP
41,02 - F - 10 - 03,VZM_GOST_GANTYADA,KOTARUBILLI,0,0,0,0,0,0,0,4,14,5,0,0,0,0,,,,,,,
42,02 - F - 10 - 03,VZM_GOST_GANTYADA,JAGGAPURAM,0,0,0,0,0,0,0,2,15,0,0,0,0,0,,,,,,,
43,02 - F - 10 - 03,VZM_GOST_GANTYADA,NANDAM,0,0,0,0,0,0,0,3,14,4,0,0,0,0,,,,,,,
44,02 - F - 10 - 03,VZM_GOST_GANTYADA,NARAVA,0,0,0,0,0,0,0,0,1,2,11,0,0,0,,,,,,,
45,02 - F - 10 - 03,VZM_GOST_GANTYADA,RAMAVARAM,0,0,0,0,0,0,0,3,8,1,0,0,0,0,,,,,,,
46,02 - F - 10 - 03,VZM_GOST_GANTYADA,KARAKAVALASA,0,0,0,0,0,0,0,5,8,1,0,0,0,0,,,,,,,
47,02 - F - 10 - 03,VZM_GOST_GANTYADA,ATTADA,0,0,0,0,0,0,0,38,22,2,0,0,0,0,,,,,,,
48,02 - F - 10 - 03,VZM_GOST_GANTYADA,GUNKALAM,0,0,0,0,0,0,0,5,20,5,7,0,0,0,,,,,,,
49,02 - F - 10 - 03,VZM_GOST_GANTYADA,DWARAPUDI,0,0,0,0,0,0,0,6,31,6,0,0,0,0,,,,,,,
50,02 - F - 10 - 03,VZM_GOST_GANTYADA,SIRIYALLAPETA,0,0,0,0,0,0,0,2,8,0,0,0,0,0,,,,,,,
51,02 - F - 10 - 03,VZM_GOST_GANTYADA,RAKODU,0,0,0,0,0,0,0,7,31,2,0,0,0,0,,,,,,,
52,02 - F - 10 - 03,VZM_GOST_GANTYADA,PINAVEMALI,0,0,0,0,0,0,0,3,20,0,0,0,0,0,,,,,,,
53,02 - F - 10 - 03,VZM_GOST_GANTYADA,KORUKONDA,0,0,0,0,0,0,0,5,72,8,0,0,0,0,,,,,,,
54,02 - F - 10 - 03,VZM_GOST_GANTYADA,SARIKA,0,0,0,0,0,0,0,3,60,0,5,0,0,0,,,,,,,
55,02 - F - 10 - 03,VZM_GOST_GANTYADA,JAGANNADHAPURAM,0,0,0,0,0,0,0,2,10,0,3,0,0,0,,,,,,,
56,02 - F - 10 - 03,VZM_GOST_GANTYADA,DUPPADA,0,0,0,0,0,0,0,4,14,0,2,0,0,0,,,,,,,
57,02 - F - 10 - 03,VZM_GOST_GANTYADA,VIZIANAGARAM BIT-II,0,0,0,0,0,0,0,6,23,0,0,0,0,0,,,,,,,
58,02 - F - 10 - 03,VZM_GOST_GANTYADA,VIZIANAGARAM BIT-I,0,0,0,0,0,0,0,2,14,0,0,0,0,0,,,,,,,
59,02 - F - 10 - 03,VZM_GOST_GANTYADA,HAJISAHEBPETA,0,0,0,0,0,0,0,2,13,0,0,0,0,0,,,,,,,
60,02 - F - 10 - 03,VZM_GOST_GANTYADA,VANTITADI AGRAHARAM,0,0,0,0,0,0,0,5,26,0,0,0,0,0,,,,,,,
61,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GULIVINDADA AGRAHARAM,0,0,0,0,0,0,0,10,82,0,2,0,0,0,,,,,,,
62,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHEEPURUPALLI,0,0,0,0,0,0,0,5,41,6,3,0,0,0,,,,,,,
63,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SUMITRAPURAM,0,0,0,0,0,0,0,2,15,0,0,0,0,0,,,,,,,
64,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,RAMALINGAPURAM,0,0,0,0,0,0,0,8,65,0,0,0,0,0,,,,,,,
65,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PURREYAVALASA,0,0,0,0,0,0,0,10,56,6,1,0,0,0,,,,,,,
66,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VISWANADHAPURAM,0,0,0,0,0,0,0,10,50,2,2,0,0,0,,,,,,,
67,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ALAJANGI,0,0,0,0,0,0,0,14,81,8,7,0,0,0,,,,,,,
68,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,RAVIVALASA,0,0,0,0,0,0,0,20,89,6,5,0,0,0,,,,,,,
69,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ANJANEYAPURAM,0,0,0,0,0,0,0,5,21,1,0,0,0,0,,,,,,,
70,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VIJAYARAMPURAM,0,0,0,0,0,0,0,5,22,1,6,0,0,0,,,,,,,
71,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ARIDIVALASA,0,0,0,0,0,0,0,5,21,2,2,0,0,0,,,,,,,
72,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,METTAPALLI,0,0,0,0,0,0,0,30,111,8,2,0,0,0,,,,,,,
73,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KARLAM,0,0,0,0,0,0,0,21,131,12,8,0,0,0,,,,,,,
74,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SANKUPALEM,0,0,0,0,0,0,0,10,49,2,0,0,0,0,,,,,,,
75,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KARAKAM,0,0,0,0,0,0,0,10,38,2,4,0,0,0,,,,,,,
76,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PERIPI,0,0,0,0,0,0,0,20,112,8,16,0,0,0,,,,,,,
77,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PURUSHOTHAMA S.L.PURAM,0,0,0,0,0,0,0,16,51,2,0,0,0,0,,,,,,,
78,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PARLA,0,0,0,0,0,0,0,11,88,8,0,0,0,0,,,,,,,
79,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,POTHAYAVALASA,0,0,0,0,0,0,0,7,37,2,0,0,0,0,,,,,,,
80,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ITIKARLAPALLI,0,0,0,0,0,0,0,5,67,2,1,0,0,0,,,,,,,
81,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PEDANADIPALLI,0,0,0,0,0,0,0,8,38,6,2,0,0,0,,,,,,,
82,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GATCHALAVALASA,0,0,0,0,0,0,0,5,31,2,0,0,0,0,,,,,,,
83,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PATHIKAYAVALASA,0,0,0,0,0,0,0,5,42,5,21,0,0,0,,,,,,,
84,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,NIMMALAVALASA,0,0,0,0,0,0,0,2,55,6,10,0,0,0,,,,,,,
85,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SIVARAMPURAM,0,0,0,0,0,0,0,0,7,0,0,0,0,0,,,,,,,
86,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,DEVARAPODILAM,0,0,0,0,0,0,0,13,78,8,0,0,0,0,,,,,,,
87,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GUNIDAM,0,0,0,0,0,0,0,10,63,8,0,0,0,0,,,,,,,
88,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,BHOOLOKAPATHIVARAKATTU,0,0,0,0,0,0,0,15,89,10,3,0,0,0,,,,,,,
89,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHINNANADIPALLI,0,0,0,0,0,0,0,4,22,6,0,0,0,0,,,,,,,
90,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GOLLALAMULAGAM,0,0,0,0,0,0,0,8,82,10,4,0,0,0,,,,,,,
91,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,P.K.PALAVALASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
92,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GOLLALAPALEM,0,0,0,0,0,0,0,5,48,2,0,0,0,0,,,,,,,
93,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,BURRAVARIGOLLALAPALEM,0,0,0,0,0,0,0,12,6,2,3,0,0,0,,,,,,,
94,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,MANDIRAVALASA,0,0,0,0,0,0,0,45,44,4,0,0,0,0,,,,,,,
95,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KODURU,0,0,0,0,0,0,0,40,44,26,0,0,0,0,,,,,,,
96,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SIVARAM,0,0,0,0,0,0,0,82,71,6,0,0,0,0,,,,,,,
97,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,DEVADA,0,0,0,0,0,0,0,75,73,1,0,0,0,0,,,,,,,
98,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,DUMMEDA,0,0,0,0,0,0,0,40,56,0,0,0,0,0,,,,,,,
99,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KONURU,0,0,0,0,0,0,0,63,52,24,8,0,0,0,,,,,,,
100,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ARTHAMURU,0,0,0,0,0,0,0,110,70,15,0,0,0,0,,,,,,,
101,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KONDASAMBHAM,0,0,0,0,0,0,0,62,46,11,0,0,0,0,,,,,,,
102,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KAPUSAMBHAM,0,0,0,0,0,0,0,42,84,5,7,0,0,0,,,,,,,
103,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,NAGALLAVALASA,0,0,0,0,0,0,0,14,31,5,0,0,0,0,,,,,,,
104,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SADANANDAPURAM,0,0,0,0,0,0,0,14,51,6,0,0,0,0,,,,,,,
105,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,RAGOLU,0,0,0,0,0,0,0,19,38,11,0,0,0,0,,,,,,,
106,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GOLAGAM,0,0,0,0,0,0,0,5,48,5,0,0,0,0,,,,,,,
107,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PINATHARIMI,0,0,0,0,0,0,0,3,23,0,0,0,0,0,,,,,,,
108,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VALLURU,0,0,0,0,0,0,0,10,33,2,0,0,0,0,,,,,,,
109,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GUSHINI,0,0,0,0,0,0,0,30,201,22,2,0,0,0,,,,,,,
110,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ALUGOLU,0,0,0,0,0,0,0,21,260,9,0,0,0,0,,,,,,,
111,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,MADHUPADA,0,0,0,0,0,0,0,4,22,6,0,0,0,0,,,,,,,
112,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SATHIVADA,0,0,0,0,0,0,0,20,102,5,2,0,0,0,,,,,,,
113,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,BOPPADAM,0,0,0,0,0,0,0,10,84,8,0,0,0,0,,,,,,,
114,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PEDATHARIMI,0,0,0,0,0,0,0,6,30,6,0,0,0,0,,,,,,,
115,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,MALYADA,0,0,0,0,0,0,0,21,131,11,0,0,0,0,,,,,,,
116,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VOMMI,0,0,0,0,0,0,0,19,129,16,0,0,0,0,,,,,,,
117,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,NANDIGAMA ALTHIPALAM,0,0,0,0,0,0,0,7,60,5,0,0,0,0,,,,,,,
118,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,THAMMAPURAM,0,0,0,0,0,0,0,8,44,8,0,0,0,0,,,,,,,
119,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KANIMELLA,16,35,10,38,0,0,0,0,0,0,0,0,0,0,,,,,,,
120,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KAMAVARAM,4,30,5,11,0,0,0,0,0,0,0,0,0,0,,,,,,,
121,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ALLADAPALEM,10,23,3,5,0,0,0,0,0,0,0,0,0,0,,,,,,,
122,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KANDIVALASA,11,57,2,8,0,0,0,0,0,0,0,0,0,0,,,,,,,
123,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KANIMETTA,7,30,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
124,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GAITULA CHODAVARAM,9,30,0,8,0,0,0,0,0,0,0,0,0,0,,,,,,,
125,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PORAM,11,42,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
126,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHODAMMA AGRAHARAM,14,60,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
127,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KOVVADA AGRAHARAM,24,131,5,4,0,0,0,0,0,0,0,0,0,0,,,,,,,
128,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GUMPAM,10,66,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
129,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GOVINDAPURAM,11,111,8,12,0,0,0,0,0,0,0,0,0,0,,,,,,,
130,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,LANKALAPALLIPALEM,2,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
131,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHOWDUVADA,0,0,2,77,0,0,0,0,0,0,0,0,0,0,,,,,,,
132,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KONAYYAPALEM,7,40,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
133,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHINTAPALLE,10,80,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,
134,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KRISHNAPURAM,4,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
135,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,BHARANIKAM,3,30,0,26,0,0,0,0,0,0,0,0,0,0,,,,,,,
136,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ROLUCHAPPIDI,3,24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
137,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PATHIVADA,24,144,5,18,0,0,0,0,0,0,0,0,0,0,,,,,,,
138,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,THOTTADAM,7,30,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,
139,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VEMPADAM,32,124,21,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
140,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PALANKI,2,24,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
141,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KOLLAYAVALASA,7,41,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
142,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,NARAYANAPURAM,0,4,0,44,0,0,0,0,0,0,0,0,0,0,,,,,,,
143,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PADAMAYAVALASA,0,0,0,15,0,0,0,0,0,0,0,0,0,0,,,,,,,
144,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,ARASADA,0,0,0,22,0,0,0,0,0,0,0,0,0,0,,,,,,,
145,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENGAPURAM,2,11,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
146,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VELAGAVALASA(N)ADDUNAND,4,28,0,21,0,0,0,0,0,0,0,0,0,0,,,,,,,
147,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,GOPALARAYUDUPETA,4,18,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
148,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,RAJUPETA,1,10,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,
149,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,SEETHAYYAPETA,2,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
150,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENKATARAYUDUPETA,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
