,,7,Command area,,142.8571428571,,,,,,,,,,Non-Command area,,,,,,,,,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
22,VZM_NAG_SVMK_BODURUGEDDA,DW,2857.1428571429,18,40,90,142.8571428571,18.4,120,240,3571.4285714286,0,120,240,2857.1428571429,58.8,40,90,285.7142857143,35,120,240,3571.4285714286,0,120,240,3857.1428571429,0,40,90,,,,,3571.4285714286,,40,90
23,VZM_NAG_SVMK_BODURUGEDDA,DW+PS/DCB,4285.7142857143,18,40,90,571.4285714286,18.4,120,240,7142.8571428572,0,120,240,4285.7142857143,58.8,40,90,714.2857142857,35,120,240,7142.8571428572,0,120,240,7142.8571428572,0,40,90,,,,,7142.8571428572,,40,90
24,VZM_NAG_SVMK_BODURUGEDDA,BWs,5000,18,40,90,714.2857142857,18.4,120,240,7142.8571428572,0,120,240,5000,58.8,40,90,714.2857142857,35,120,240,7142.8571428572,0,120,240,14285.7142857143,0,40,90,,,,,7142.8571428572,,40,90
25,VZM_NAG_SVMK_BODURUGEDDA,STW,5714.2857142857,18,40,90,0,18.4,120,240,7142.8571428572,0,120,240,5714.2857142857,58.8,40,90,0,35,120,240,7142.8571428572,0,120,240,22000,0,40,90,,,,,7142.8571428572,,40,90
26,VZM_NAG_SVMK_BODURUGEDDA,MTW,0,18,40,90,0,18.4,120,240,7142.8571428572,0,120,240,0,58.8,40,90,0,35,120,240,7142.8571428572,0,120,240,45000,0,40,90,,,,,7142.8571428572,,40,90
27,VZM_NAG_SVMK_BODURUGEDDA,Deep TW,0,18,40,90,0,18.4,120,240,14285.7142857143,0,120,240,0,58.8,40,90,0,35,120,240,14285.7142857143,0,120,240,64285.7142857143,0,40,90,,,,,14285.7142857143,,40,90
28,VZM_NAG_SVMK_BODURUGEDDA,Filter Points,5714.2857142857,18,40,90,0,27.4,120,240,7142.8571428572,0,120,240,5714.2857142857,47.2,40,90,0,35,120,240,7142.8571428572,0,120,240,7142.8571428572,0,40,90,,,,,7142.8571428572,,40,90
29,VZM_NAG_SVMK_GOMUKHI,DW,3571.4285714286,82.2,40,90,285.7142857143,27.4,120,240,3571.4285714286,0,120,240,3571.4285714286,47.2,40,90,285.7142857143,14.8,120,240,3571.4285714286,0,120,240,3857.1428571429,0,40,90,,,,,3571.4285714286,,40,90
30,VZM_NAG_SVMK_GOMUKHI,DW+PS/DCB,5000,82.2,40,90,714.2857142857,27.4,120,240,7142.8571428572,0,120,240,5714.2857142857,47.2,40,90,714.2857142857,14.8,120,240,7142.8571428572,0,120,240,7142.8571428572,0,40,90,,,,,7142.8571428572,,40,90
31,VZM_NAG_SVMK_GOMUKHI,BWs,6428.5714285714,82.2,40,90,857.1428571429,27.4,120,240,7142.8571428572,0,120,240,6428.5714285714,47.2,40,90,857.1428571429,14.8,120,240,7142.8571428572,0,120,240,14285.7142857143,0,40,90,,,,,7142.8571428572,,40,90
