,,,,Command Area,,Non command Area,,Poor quality area,,
,,,,Residential,,Residential,,Residential,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total
61,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GULIVINDADA AGRAHARAM,0,0,25,2,,,27
62,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHEEPURUPALLI,0,0,70,1,,,71
63,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SUMITRAPURAM,0,0,0,0,,,0
64,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,RAMALINGAPURAM,0,0,12,0,,,12
65,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PURREYAVALASA,0,0,11,0,,,11
66,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VISWANADHAPURAM,0,0,8,0,,,8
67,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ALAJANGI,0,0,11,2,,,13
68,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,RAVIVALASA,0,0,8,1,,,9
69,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ANJANEYAPURAM,0,0,13,2,,,15
70,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VIJAYARAMPURAM,0,0,6,0,,,6
71,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ARIDIVALASA,0,0,4,0,,,4
72,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,METTAPALLI,0,0,22,1,,,23
73,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KARLAM,0,0,14,2,,,16
74,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SANKUPALEM,0,0,4,0,,,4
75,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KARAKAM,0,0,9,0,,,9
76,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PERIPI,0,0,13,0,,,13
77,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PURUSHOTHAMA S.L.PURAM,0,0,4,0,,,4
78,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PARLA,0,0,10,0,,,10
79,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,POTHAYAVALASA,0,0,3,0,,,3
80,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ITIKARLAPALLI,0,0,9,0,,,9
81,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PEDANADIPALLI,0,0,11,2,,,13
82,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GATCHALAVALASA,0,0,5,1,,,6
83,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PATHIKAYAVALASA,0,0,16,0,,,16
84,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,NIMMALAVALASA,0,0,12,0,,,12
85,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SIVARAMPURAM,0,0,10,1,,,11
86,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,DEVARAPODILAM,0,0,9,1,,,10
87,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GUNIDAM,0,0,5,0,,,5
88,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,BHOOLOKAPATHIVARAKATTU,0,0,0,0,,,0
89,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHINNANADIPALLI,0,0,7,0,,,7
90,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GOLLALAMULAGAM,0,0,7,0,,,7
91,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,P.K.PALAVALASA,0,0,8,0,,,8
92,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GOLLALAPALEM,0,0,7,0,,,7
93,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,BURRAVARIGOLLALAPALEM,0,0,5,0,,,5
94,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,MANDIRAVALASA,0,0,9,0,,,9
95,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KODURU,0,0,18,1,,,19
96,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SIVARAM,0,0,10,1,,,11
97,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,DEVADA,0,0,14,1,,,15
98,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,DUMMEDA,0,0,15,1,,,16
99,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KONURU,0,0,11,1,,,12
100,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ARTHAMURU,0,0,12,1,,,13
101,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KONDASAMBHAM,0,0,7,0,,,7
102,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KAPUSAMBHAM,0,0,13,1,,,14
103,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,NAGALLAVALASA,0,0,8,0,,,8
104,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SADANANDAPURAM,0,0,6,1,,,7
105,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,RAGOLU,0,0,12,0,,,12
106,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GOLAGAM,0,0,5,0,,,5
107,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PINATHARIMI,0,0,0,0,,,0
108,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VALLURU,0,0,0,0,,,0
109,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GUSHINI,0,0,0,0,,,0
