sr.no,,,village name,No. M.I.Tanks command area,,Number of M.I.Tanks [Non command area],,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,Watershed code ,GW watershed name,,Number,spread ha,Number,spread ha,Number,spread ha
63,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SUMITRAPURAM,0,0,5,8,,
64,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,RAMALINGAPURAM,0,0,2,3,,
65,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PURREYAVALASA,0,0,3,4,,
66,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VISWANADHAPURAM,0,0,0,0,,
67,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ALAJANGI,0,0,10,27,,
68,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,RAVIVALASA,0,0,11,13,,
69,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ANJANEYAPURAM,0,0,1,6,,
70,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VIJAYARAMPURAM,0,0,7,14,,
71,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ARIDIVALASA,0,0,5,2,,
72,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,METTAPALLI,0,0,3,3,,
73,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KARLAM,0,0,9,25,,
74,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SANKUPALEM,0,0,2,11,,
75,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KARAKAM,0,0,5,7,,
76,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PERIPI,0,0,6,11,,
77,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PURUSHOTHAMA S.L.PURAM,0,0,3,7,,
78,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PARLA,0,0,6,4,,
79,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,POTHAYAVALASA,0,0,3,7,,
80,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ITIKARLAPALLI,0,0,12,23,,
81,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PEDANADIPALLI,0,0,7,11,,
82,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GATCHALAVALASA,0,0,8,10,,
83,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PATHIKAYAVALASA,0,0,2,4,,
84,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,NIMMALAVALASA,0,0,9,14,,
85,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SIVARAMPURAM,0,0,2,3,,
86,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,DEVARAPODILAM,0,0,10,20,,
87,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GUNIDAM,0,0,5,11,,
88,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,BHOOLOKAPATHIVARAKATTU,0,0,6,11,,
89,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHINNANADIPALLI,0,0,2,2,,
90,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GOLLALAMULAGAM,0,0,11,12,,
91,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,P.K.PALAVALASA,0,0,3,6,,
92,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GOLLALAPALEM,0,0,4,8,,
93,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,BURRAVARIGOLLALAPALEM,0,0,4,8,,
94,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,MANDIRAVALASA,0,0,10,10,,
95,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KODURU,0,0,6,24,,
96,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SIVARAM,0,0,7,9,,
97,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,DEVADA,0,0,13,20,,
98,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,DUMMEDA,0,0,10,19,,
99,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KONURU,0,0,9,69,,
100,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ARTHAMURU,0,0,9,20,,
101,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KONDASAMBHAM,0,0,12,12,,
102,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KAPUSAMBHAM,0,0,5,14,,
103,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,NAGALLAVALASA,0,0,7,19,,
104,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SADANANDAPURAM,0,0,4,12,,
105,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,RAGOLU,0,0,6,11,,
106,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GOLAGAM,0,0,9,15,,
107,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PINATHARIMI,0,0,11,23,,
108,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VALLURU,0,0,9,22,,
109,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GUSHINI,0,0,20,40,,
110,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ALUGOLU,0,0,21,44,,
111,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,MADHUPADA,0,0,2,9,,
112,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SATHIVADA,0,0,10,23,,
113,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,BOPPADAM,0,0,9,21,,
114,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PEDATHARIMI,0,0,4,15,,
115,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,MALYADA,0,0,5,24,,
116,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VOMMI,0,0,3,12,,
117,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,NANDIGAMA ALTHIPALAM,0,0,3,9,,
118,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,THAMMAPURAM,0,0,5,17,,
119,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KANIMELLA,4,8,0,0,,
120,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KAMAVARAM,2,11,0,0,,
121,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ALLADAPALEM,1,4,0,0,,
122,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KANDIVALASA,15,26,0,0,,
123,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KANIMETTA,12,15,0,0,,
124,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GAITULA CHODAVARAM,4,4,0,0,,
125,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PORAM,4,10,0,0,,
126,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHODAMMA AGRAHARAM,5,7,0,0,,
127,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KOVVADA AGRAHARAM,10,37,0,0,,
128,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GUMPAM,10,66,0,0,,
129,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GOVINDAPURAM,8,30,0,0,,
130,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,LANKALAPALLIPALEM,3,11,0,0,,
131,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHOWDUVADA,4,8,0,0,,
132,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KONAYYAPALEM,1,1,0,0,,
133,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHINTAPALLE,4,14,0,0,,
134,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KRISHNAPURAM,1,3,0,0,,
135,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,BHARANIKAM,5,20,0,0,,
136,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ROLUCHAPPIDI,2,35,0,0,,
137,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PATHIVADA,7,13,0,0,,
138,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,THOTTADAM,8,18,0,0,,
139,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VEMPADAM,12,65,0,0,,
140,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PALANKI,3,5,0,0,,
141,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KOLLAYAVALASA,3,7,0,0,,
142,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,NARAYANAPURAM,5,10,0,0,,
143,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PADAMAYAVALASA,0,0,0,0,,
144,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,ARASADA,14,22,0,0,,
145,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENGAPURAM,31,55,0,0,0,
146,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VELAGAVALASA(N)ADDUNAND,11,21,0,0,,
147,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,GOPALARAYUDUPETA,2,4,0,0,,
148,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,RAJUPETA,2,4,0,0,,
149,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,SEETHAYYAPETA,3,5,0,0,,
150,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENKATARAYUDUPETA,4,8,0,0,,
151,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENKATABHYRIPURAM,17,28,0,0,,
152,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KOYYANAPETA,14,19,0,0,,
153,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHANDRAYYAPETA,2,4,0,0,,
154,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KONDAREJERU,14,19,0,0,,
155,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KASIPATNAM,10,18,0,0,,
156,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PAPAYYAVALASA,3,5,0,0,,
157,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,MULAKKAYAVALASA,11,19,0,0,,
158,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,MUKAVALASA,5,11,0,0,,
159,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PAYAKAPADU,12,16,0,0,,
160,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHAPPABUTCHAMPETA,10,22,0,0,,
161,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENKAMPETA,0,0,0,0,,
162,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KANNAMPETA,8,12,0,0,,
163,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,THAMARAKHANDI,3,6,0,0,,
164,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,BAGGANDHORAVALASA,2,4,0,0,,
165,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,BALLAKRISHNAPURAM,4,8,0,0,,
166,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,BAKKUPETA,4,6,0,0,,
167,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHINABHOGILA,5,7,0,0,,
168,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KHASAPETA,5,10,0,0,,
169,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,R.VENKAMPETA,0,0,0,0,,
170,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PANUKUPETA,5,12,0,0,,
171,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,RANGAMPETA,16,32,0,0,,
172,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PUNUBUTCHAMPETA,0,0,0,0,,
173,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,K. SEETHARAMPURAM,12,19,0,0,,
174,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENNELABUTCHAMPETA,3,8,0,0,,
175,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENKATAPURAM,14,24,0,0,,
176,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,ANTIPETA,7,14,0,0,,
177,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,RAMAVARAM,5,10,0,0,,
178,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PANUKUVALASA (NEAR ARAS,0,0,12,18,,
179,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,SIVARAMPURAM,0,0,2,3,,
