S.No,Watershed code,Watershed Name, Village Name,Artificial recharge structure [comand area],,,,,,,,,,Artificial recharge structure [Non-comand area],,,,,,,,,,Artificial recharge structure [Poor-comand area],,,,,,,,,
,,,,Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ form ponds,"Storage 
ha-m",other structures,Storage [ha.m]
39,02 - F - 10 - 03,VZM_GOST_GANTYADA,SIRIYALLAPETA,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
40,02 - F - 10 - 03,VZM_GOST_GANTYADA,RAKODU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,02 - F - 10 - 03,VZM_GOST_GANTYADA,PINAVEMALI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,02 - F - 10 - 03,VZM_GOST_GANTYADA,KORUKONDA,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,
43,02 - F - 10 - 03,VZM_GOST_GANTYADA,SARIKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,02 - F - 10 - 03,VZM_GOST_GANTYADA,JAGANNADHAPURAM,,,,,,,,,,,,,,,15,,,,4,,,,,,,,,,,
45,02 - F - 10 - 03,VZM_GOST_GANTYADA,DUPPADA,,,,,,,,,,,,,,,5,,,,1,,,,,,,,,,,
46,02 - F - 10 - 03,VZM_GOST_GANTYADA,VIZIANAGARAM BIT-II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,02 - F - 10 - 03,VZM_GOST_GANTYADA,VIZIANAGARAM BIT-I,,,,,,,,,,,,,,,12,,,,3,,,,,,,,,,,
48,02 - F - 10 - 03,VZM_GOST_GANTYADA,HAJISAHEBPETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,02 - F - 10 - 03,VZM_GOST_GANTYADA,VANTITADI AGRAHARAM,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
50,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GULIVINDADA AGRAHARAM,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
51,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHEEPURUPALLI,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
52,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SUMITRAPURAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,RAMALINGAPURAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PURREYAVALASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VISWANADHAPURAM,,,,,,,,,,,,,,,4,7,,,,,,,,,,,,,,
56,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ALAJANGI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ANJANEYAPURAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VIJAYARAMPURAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ARIDIVALASA,,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,,
60,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,METTAPALLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GULIVINDADA AGRAHARAM,0,0,20,41,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
62,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHEEPURUPALLI,0,0,3,4,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
63,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SUMITRAPURAM,0,0,5,8,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
64,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,RAMALINGAPURAM,0,0,2,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
65,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PURREYAVALASA,0,0,3,4,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
66,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VISWANADHAPURAM,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
67,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ALAJANGI,0,0,10,27,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
68,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,RAVIVALASA,0,0,11,13,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
69,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ANJANEYAPURAM,0,0,1,6,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
70,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VIJAYARAMPURAM,0,0,7,14,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
71,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ARIDIVALASA,0,0,5,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
72,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,METTAPALLI,0,0,3,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
73,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KARLAM,0,0,9,25,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
74,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SANKUPALEM,0,0,2,11,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
75,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KARAKAM,0,0,5,7,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
76,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PERIPI,0,0,6,11,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
77,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PURUSHOTHAMA S.L.PURAM,0,0,3,7,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
78,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PARLA,0,0,6,4,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
79,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,POTHAYAVALASA,0,0,3,7,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
80,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ITIKARLAPALLI,0,0,12,23,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
81,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PEDANADIPALLI,0,0,7,11,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
82,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GATCHALAVALASA,0,0,8,10,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
83,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PATHIKAYAVALASA,0,0,2,4,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
84,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,NIMMALAVALASA,0,0,9,14,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
85,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SIVARAMPURAM,0,0,2,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
86,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,DEVARAPODILAM,0,0,10,20,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
87,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GUNIDAM,0,0,5,11,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
88,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,BHOOLOKAPATHIVARAKATTU,0,0,6,11,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
89,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHINNANADIPALLI,0,0,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
90,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GOLLALAMULAGAM,0,0,11,12,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
91,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,P.K.PALAVALASA,0,0,3,6,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
92,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GOLLALAPALEM,0,0,4,8,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
93,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,BURRAVARIGOLLALAPALEM,0,0,4,8,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
94,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,MANDIRAVALASA,0,0,10,10,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
95,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KODURU,0,0,6,24,,,,,,,,,,,,,0,0,2,1,,,,,,,,,,
