,,,,"Command Area",,"Non command Area",,"Poor quality area",,
,,,,"Residential",,"Residential",,"Residential",,
"Sr.no","Watershed code","GW watershed name","village name","DWDW/HP","DW PWS","DWDW/HP","DW PWS","DWDW/HP","DW PWS","Total"
66,"07-C-54-50","GNT-C-54-Kollipara","Munnangi",155,0.001,0,0,0,0,155.001
67,"07-C-54-50","GNT-C-54-Kollipara","Dhanthaluru",54,0.001,0,0,0,0,54.001
68,"07-C-54-50","GNT-C-54-Kollipara","Kunchavaram",35,0.001,0,0,0,0,35.001
69,"07-C-54-50","GNT-C-54-Kollipara","Athota",127,0.001,0,0,0,0,127.001
70,"07-C-54-50","GNT-C-54-Kollipara","Siripuram",135,0.001,0,0,0,0,135.001
71,"07-C-54-50","GNT-C-54-Kollipara","Chivaluru",64,0.001,0,0,0,0,64.001
72,"07-C-54-50","GNT-C-54-Kollipara","Pidaparru",39,0.001,0,0,0,0,39.001
73,"07-C-54-50","GNT-C-54-Kollipara","Kollipara",129,0.001,0,0,0,0,129.001
74,"07-C-54-50","GNT-C-54-Kollipara","Bommuvaripalem",35,0.001,0,0,0,0,35.001
75,"07-C-54-50","GNT-C-54-Kollipara","Annavaram",59,0.001,0,0,0,0,59.001
76,"07-C-54-50","GNT-C-54-Kollipara","Thumuluru",125,0.001,0,0,0,0,125.001
77,"07-C-54-50","GNT-C-54-Kollipara","Davuluru",125,0.001,0,0,0,0,125.001
78,"07-C-54-50","GNT-C-54-Kollipara","Chemudupadu",25,0.001,0,0,0,0,25.001
79,"07-C-54-49","GNT-C-54-Kolluru","Ananthavaram",30,0,0,0,0,0,30
80,"07-C-54-49","GNT-C-54-Kolluru","Chilumuru",27,0,0,0,0,0,27
81,"07-C-54-49","GNT-C-54-Kolluru","Ipur",90,0,0,0,0,0,90
82,"07-C-54-49","GNT-C-54-Kolluru","Gajullanka",43,0,0,0,0,0,43
83,"07-C-54-49","GNT-C-54-Kolluru","Pedalanka",38,0,0,0,0,0,38
84,"07-C-54-49","GNT-C-54-Kolluru","Kollur",144,0,0,0,0,0,144
85,"07-C-54-49","GNT-C-54-Kolluru","Boddulurupadu",13,0,0,0,0,0,13
86,"07-C-54-49","GNT-C-54-Kolluru","Ravikampadu",53,0,0,0,0,0,53
87,"07-C-54-49","GNT-C-54-Kolluru","Gurivindapalle",0,0,0,0,0,0,0
88,"07-C-54-49","GNT-C-54-Kolluru","Chinapulivarru",30,0,0,0,0,0,30
89,"07-C-54-49","GNT-C-54-Kolluru","Donepudi",55,0,0,0,0,0,55
90,"07-C-54-49","GNT-C-54-Kolluru","Potharlanka",55,0,0,0,0,0,55
91,"07-C-54-57","GNT-C-54-Nagaram","Peddavaram",107,0,0,0,0,0,107
92,"07-C-54-57","GNT-C-54-Nagaram","Thotapalle",77,0,0,0,0,0,77
93,"07-C-54-57","GNT-C-54-Nagaram","Dhulipudi",210,0,0,0,0,0,210
94,"07-C-54-57","GNT-C-54-Nagaram","Pamidimarru",84,0,0,0,0,0,84
95,"07-C-54-57","GNT-C-54-Nagaram","Eletipalem",120,0,0,0,0,0,120
96,"07-C-54-57","GNT-C-54-Nagaram","Nagaram",220,0,0,0,0,0,220
97,"07-C-54-57","GNT-C-54-Nagaram","Pudivada",120,0,0,0,0,0,120
98,"07-C-54-57","GNT-C-54-Nagaram","Siripudi",152,0,0,0,0,0,152
99,"07-C-54-57","GNT-C-54-Nagaram","Pedapalle",200,0,0,0,0,0,200
100,"07-C-54-57","GNT-C-54-Nagaram","Pedamatlapudi",204,0,0,0,0,0,204
101,"07-C-54-57","GNT-C-54-Nagaram","Edupalle",216,0,0,0,0,0,216
102,"07-C-54-57","GNT-C-54-Nagaram","Allaparru",163,0,0,0,0,0,163
103,"07-C-54-58","GNT-C-54-Nizampatnam","Nizampatnam",128,0.01,0,0,0,0,128.01
104,"07-C-54-58","GNT-C-54-Nizampatnam","Amudalapalle(With Marshes)",40,0.01,0,0,0,0,40.01
105,"07-C-54-58","GNT-C-54-Nizampatnam","Pregnam",60,0.01,0,0,0,0,60.01
106,"07-C-54-58","GNT-C-54-Nizampatnam","Muthupalle Agraharam",28,0.01,0,0,0,0,28.01
107,"07-C-54-58","GNT-C-54-Nizampatnam","Pallapatla",40,0.01,0,0,0,0,40.01
108,"07-C-54-58","GNT-C-54-Nizampatnam","Kuchinapudi",83,0.01,0,0,0,0,83.01
109,"07-C-54-58","GNT-C-54-Nizampatnam","Adavuladeevi(With Marshes)",95,0.01,0,0,0,0,95.01
110,"07-C-54-58","GNT-C-54-Nizampatnam","Dindi(Including Marshes)",125,0.01,0,0,0,0,125.01
111,"07-C-54-58","GNT-C-54-Nizampatnam","Nizampatnam forest",0,0.01,0,0,0,0,0.01
112,"07-C-54-59","GNT-C-54-Ponnuru","Jupudi",28,0,0,0,0,0,28
113,"07-C-54-59","GNT-C-54-Ponnuru","B. Kodur",0,0,0,0,0,0,0
114,"07-C-54-59","GNT-C-54-Ponnuru","Vellaluru",0,0,0,0,0,0,0
115,"07-C-54-59","GNT-C-54-Ponnuru","Mamillapalle",105,0,0,0,0,0,105
116,"07-C-54-59","GNT-C-54-Ponnuru","Aremanda",30,0,0,0,0,0,30
117,"07-C-54-59","GNT-C-54-Ponnuru","Dandamudi",105,0,0,0,0,0,105
118,"07-C-54-59","GNT-C-54-Ponnuru","Munipalle",240,0,0,0,0,0,240
119,"07-C-54-59","GNT-C-54-Ponnuru","P.T.Parru",455,0,0,0,0,0,455
120,"07-C-54-59","GNT-C-54-Ponnuru","Doppalapudi",110,0,0,0,0,0,110
121,"07-C-54-59","GNT-C-54-Ponnuru","Mannava",13,0,0,0,0,0,13
122,"07-C-54-59","GNT-C-54-Ponnuru","Upparapalem",56,0,0,0,0,0,56
123,"07-C-54-59","GNT-C-54-Ponnuru","Ponnur",5,0,0,0,0,0,5
124,"07-C-54-59","GNT-C-54-Ponnuru","Kondamudi",250,0,0,0,0,0,250
125,"07-C-54-59","GNT-C-54-Ponnuru","Jadavalli",5,0,0,0,0,0,5
126,"07-C-54-59","GNT-C-54-Ponnuru","Vaddimukkala",3,0,0,0,0,0,3
127,"07-C-54-59","GNT-C-54-Ponnuru","Chintalapudi",60,0,0,0,0,0,60
128,"07-C-54-59","GNT-C-54-Ponnuru","Vallabharaopalem",61,0,0,0,0,0,61
129,"07-C-54-59","GNT-C-54-Ponnuru","Nandur",33,0,0,0,0,0,33
130,"07-C-54-59","GNT-C-54-Ponnuru","Mulukuduru",155,0,0,0,0,0,155
131,"07-C-54-53","GNT-C-54-P.V.Palem","Komali",13,0.001,0,0,0,0,13.001
132,"07-C-54-53","GNT-C-54-P.V.Palem","Sangupalem Koduru",20,0.001,0,0,0,0,20.001
133,"07-C-54-53","GNT-C-54-P.V.Palem","Chandole",90,0.001,0,0,0,0,90.001
134,"07-C-54-53","GNT-C-54-P.V.Palem","Pittalavanipalem",50,0.001,0,0,0,0,50.001
135,"07-C-54-53","GNT-C-54-P.V.Palem","Khajipalem",42,0.001,0,0,0,0,42.001
136,"07-C-54-53","GNT-C-54-P.V.Palem","Alluru",30,0.001,0,0,0,0,30.001
137,"07-C-54-56","GNT-C-54-Repalle","Parisapadu",25,0.001,0,0,0,0,25.001
138,"07-C-54-56","GNT-C-54-Repalle","Karumuru",8,0.001,0,0,0,0,8.001
139,"07-C-54-56","GNT-C-54-Repalle","Bethapudi",25,0.001,0,0,0,0,25.001
140,"07-C-54-56","GNT-C-54-Repalle","Peteru",101,0.001,0,0,0,0,101.001
141,"07-C-54-56","GNT-C-54-Repalle","Penumudi",25,0.001,0,0,0,0,25.001
142,"07-C-54-56","GNT-C-54-Repalle","Chatragadda",25,0.001,0,0,0,0,25.001
143,"07-C-54-56","GNT-C-54-Repalle","Komarajugadda",5,0.001,0,0,0,0,5.001
144,"07-C-54-56","GNT-C-54-Repalle","Nalluru",27,0.001,0,0,0,0,27.001
145,"07-C-54-56","GNT-C-54-Repalle","Aravapalli",10,0.001,0,0,0,0,10.001
146,"07-C-54-56","GNT-C-54-Repalle","Repalle",45,0.001,0,0,0,0,45.001
147,"07-C-54-56","GNT-C-54-Repalle","Uuppudi",10,0.001,0,0,0,0,10.001
148,"07-C-54-56","GNT-C-54-Repalle","Isukapalle",20,0.001,0,0,0,0,20.001
149,"07-C-54-56","GNT-C-54-Repalle","Singupalem",65,0.001,0,0,0,0,65.001
150,"07-C-54-56","GNT-C-54-Repalle","Visweswaram",20,0.001,0,0,0,0,20.001
151,"07-C-54-56","GNT-C-54-Repalle","Chodayapalem",10,0.001,0,0,0,0,10.001
152,"07-C-54-56","GNT-C-54-Repalle","Kaithepalle",10,0.001,0,0,0,0,10.001
