S.no,GW watershed  name,IWM Micro basin,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,Dependancy factor nca,Dependancy factor ca,Normal annual rainfall mm,Normal Monsoon rainfall mm,Normal Non-monsoon rainfall mm,Annual rainfall for the year of assessment mm,Monsoon rainfall for the year of assessment mm,Non-monsoon rainfall for the year of assessment mm
34,GNT-C-57-Konkeru-Savalyapuram,GNT-C-57-KONKER-SAVALYAPURAM-MB,6.5,4.65,5.88,,1.66,1.04,2.47,,1,0.9,750,388,362,780,412,368
35,GNT-C-57-Pasupuleru-Vellaturu,GNT-C-57-PASUPU-VELLATURU-MB,24.1,13.84,28.5,,10.25,7.86,17.23,,1,0.9,768,394,374,690,378,312
36,GNT-C-57-Vola-Tangirala,GNT-C-57-VOLA-TANGIRALA-MB,0.0,0,0,,3.29,2.5,5.46,,0.9,0.9,718,379,339,756,552,204
37,GNT-D-50-Atcham.-Atchampeta,GNT-D-50- ATCHAM-ATCHAMPETA-MB,,,,,4,2.05,4.36,,1,0.9,813,537,276,1159,729,430
38,GNT-D-50-Challa-Challagundla,GNT-D-50-CHALLA-CHALLAGUNDLA-MB,0.0,0,0,,3.99,1.95,4.19,,1,0.7,1482,541,270.3,1066,681,385
39,GNT-D-50-Dandi-Gurajala,GNT-D-50-DANDI-GURAJALA-MB,6.6,5.38,10.45,,4.1,2.97,7.91,,0.9,0.8,913,602,311,849,585,264
40,GNT-D-50-Eddu-Amaravathi,GNT-D-50-EDDU-AMARAVATHI-MB,0.0,0,0,,6.28,4.67,4.64,,0.9,0.5,941,662,279,1931,1260,671
41,GNT-D-50-Edumangal-Rentachintala,GNT-D-50-EDUMANGAL-RENTACHINTALA-MB,0.0,0,0,,5.17,3.02,3.72,,1,0.8,748,512,236,574,298,276
42,GNT-D-50-Erra-2-Piduguralla,GNT-D-50- ERRA-2-PIDUGURALLA-MB,7.8,3.1,7.22,,6.66,4.06,6.85,,1,0.8,852,558,294,846,516,330
43,GNT-D-50-Erra-1-Rajupalem,GNT-D-50-ERRA-1-RAJUPALEM-MB,0.0,0,0,,3.39,3.59,4.5,1.56,0.9,0.8,782,577,205,809,552,257
44,GNT-D-50-Gadida-Daida,GNT-D-50- GADIDA-DAIDA-MB,0.0,0,0,,5.72,4.88,4.85,,1,0.8,913,602,311,849,585,264
45,GNT-D-50-Goli-Thumurukota,GNT-D-50- GOLI-THUMURKOTA-MB,19.3,5.96,20.08,,8.42,4.97,8.2,,0.9,0.8,748,512,236,574,298,276
46,GNT-D-50-Julakallu-Kesanapalli,GNT-D-50-ZULAKALLU-KESANAPALLI-MB,0.0,0,0,,6.03,5.28,6.54,,1,0.8,716,490,226,1003,672,331
47,GNT-D-50-Kattela-Thulluru,GNT-D-50-KATTELA-THULLURU-MB,0.0,0,0,,3.1,0.89,2.8,,0.8,0.6,939,658,281,1165,673,492
48,GNT-D-50-Kondaveeti-Medikonduru,GNT-D-50-KONDAVEETI-MEDIKONDURU-MB,0.0,0,0,,7.17,4.13,5.53,,0.8,0.5,898,566,332,,,
