,,,,,,,, Command,,,,Non command,,,,Poor command,,,
SR.NO, GW Watershed name,Geo Specific Yield name,Specific Yield value as %,Rainfall infiltration Factor as %,Transmissivity as %,Storage Coefficient as %,Total area sq.km,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total
43,GNT-D-50-Dandi-Gurajala,Hard rock ,2,7,,,251.54,198.6492,0.001,10.101,198.6502,39.89,13,4.46,52.89,0,0,0,0
44,GNT-D-50-Eddu-Amaravathi,soft rock,2,8,,,167.31,167.3097,0.0003,0.0003,167.31,0,0,1.7E-009,0,0,0,0,0
45,GNT-D-50-Edumangal-Rentachintala,soft rock,3,11,,,91.94,89.94,2,4.83,91.94,0,0,0,0,0,0,0,0
46,GNT-D-50-Erra-1-Rajupalem,soft rock,3,10,,,66,62.6497,3.3503,14.36,66,0,0,0,0,0,0,0,0
47,GNT-D-50-Erra-2-Piduguralla,soft rock,3,11,,,336.66,187.6288,0.0012,21.3807,187.63,109.03,40,86.64,149.03,0,0,0,0
48,GNT-D-50-Gadida-Daida,Hard rock ,2,7,,,61.74,46.7,15.04,0,61.74,0,0,0,0,0,0,0,0
49,GNT-D-50-Goli-Thumurukota,Hard rock ,2,7,,,289.44,144.27,15.88,14.61,160.15,121.17,8.12,47.58,129.29,0,0,0,0
50,GNT-D-50-Jakkulagundam,soft rock,2,6,,,72,0,0,0,0,32,40,32,72,0,0,0,0
51,GNT-D-50-Jerri-Sirigiripadu,Hard rock ,3,6,,,223,0,0,0,0,149.06,73.94,145.75,223,0,0,0,0
52,GNT-D-50-Julakallu-Kesanapalli,Hard rock ,2,7,,,84.72,84.72,0,0.62,84.72,0,0,0,0,0,0,0,0
53,GNT-D-50-Kattela-Thulluru,soft rock,2,15,,,222.67,99.4,1,2.52,100.4,120.270002,2,0,122.270002,42.1101,0,0,42.1101
54,GNT-D-50-Kondaveeti-Medikonduru,soft rock,3,8,,,213.65,210.65,3,4.95,213.65,0,0,0.00000021,0,70.1300000979,0,0,70.1300001
55,GNT-D-50-Lakshmi-Panidam,Hard rock ,3,11,,,78.39,78.39,0,0,78.39,0,0,0,0,16.5,0,0,16.5
56,GNT-D-50-Macherla-Macherrla,soft rock,2,7,,,342.22,6.4799,0.0001,0.0001,6.48,315.07,20.67,134.36,335.74,0.0001,0,0,0.0001
57,GNT-D-50-Munigundla-Vijayapuri South,soft rock,2,5,,,153.16,0,0,0,0,98.46,54.7,75.3,153.16,0,0,0,0
58,GNT-D-50-Nagarjuna-Macherla,Soft  rock,2,7,,,192.92,53.82,4.75,6.09,58.57,123.85,10.5,70.58,134.35,0,0,0,0
59,GNT-D-50-Naguleru-Dachepalle,hard rock,3,7,,,308.23,178.11,4.5,13.53,182.61,94.45,31.17,45.72,125.62,0,0,0,0
60,GNT-D-50-Narasing-Narasingapadu,Soft  rock,2,7,,,95.32,76.52,18.8,30.24002,95.32,0,0,0,0,0,0,0,0
61,GNT-D-50-Pedda-1-Guntur,Soft  rock,3,12,,,274.65,270.94986,3.70014,1.06017,274.65,0,0,0,0,131.3100000481,0,0,131.31000005
62,GNT-D-50-Ralla-Machavaram,hard rock,2,8,,,299.47,275.04,24.43,1.38,299.47,0,0,0,0,0,0,0,0
63,GNT-D-50-Remidicherla,Soft  rock,1.5,5,,,103.31,0,0,0,0,93.31,10,15.76,103.31,0,0,0,0
64,GNT-D-50-Isuka-1-Krosur,Hard rock,3,3,,,147.72,143.22,4.5,17.67,147.72,0,0,0,0,0,0,0,0
