Sr.No,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,,,,,,,,,,,,,,Watershed name
,Watershed name,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,,,,,,,,,,,,,,GNT_C_54_Amarthaluru
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon,,,,,,,,,,,,,GNT_C_54_Bapatla
72,GNT-C-54-P.V.Palem,DW+PS/DCB,7142.8571428572,50,40,90,4285.7142857143,30,120,240,7142.8571428572,50,120,240,5714.2857142857,40,40,90,4285.7142857143,30,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
73,GNT-C-54-P.V.Palem,BWs,10000,70,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,9285.7142857143,65,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,14285.7142857143,100,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
74,GNT-C-54-P.V.Palem,STW,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
75,GNT-C-54-P.V.Palem,MTW,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
76,GNT-C-54-P.V.Palem,Deep TW,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,,,,,14285.7142857143,100,120,240,,,,,,,,,,,,,
77,GNT-C-54-P.V.Palem,Filter Points,8571.4285714286,60,40,90,4285.7142857143,30,120,240,10000,70,120,240,7857.1428571429,55,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,1428.5714285714,10,120,240,,,,,,,,,,,,,
78,GNT-C-54-Repalle,DW,3857.1428571429,27,40,90,857.1428571429,6,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,857.1428571429,6,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,,,,,3571.4285714286,25,120,240,,,,,,,,,,,,,
79,GNT-C-54-Repalle,DW+PS/DCB,7142.8571428572,50,40,90,4285.7142857143,30,120,240,7142.8571428572,50,120,240,5714.2857142857,40,40,90,4285.7142857143,30,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
80,GNT-C-54-Repalle,BWs,10000,70,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,9285.7142857143,65,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,14285.7142857143,100,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
81,GNT-C-54-Repalle,STW,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
82,GNT-C-54-Repalle,MTW,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
83,GNT-C-54-Repalle,Deep TW,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,,,,,14285.7142857143,100,120,240,,,,,,,,,,,,,
84,GNT-C-54-Repalle,Filter Points,8571.4285714286,60,40,90,4285.7142857143,30,120,240,10000,70,120,240,7857.1428571429,55,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,1428.5714285714,10,120,240,,,,,,,,,,,,,
85,GNT-C-54-Tenali,DW,3857.1428571429,27,40,90,285.7142857143,2,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,857.1428571429,6,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,,,,,3571.4285714286,25,120,240,,,,,,,,,,,,,
86,GNT-C-54-Tenali,DW+PS/DCB,7142.8571428572,50,40,90,1428.5714285714,10,120,240,7142.8571428572,50,120,240,5714.2857142857,40,40,90,4285.7142857143,30,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
87,GNT-C-54-Tenali,BWs,10000,70,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,9285.7142857143,65,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,14285.7142857143,100,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
88,GNT-C-54-Tenali,STW,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
89,GNT-C-54-Tenali,MTW,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
90,GNT-C-54-Tenali,Deep TW,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,,,,,14285.7142857143,100,120,240,,,,,,,,,,,,,
91,GNT-C-54-Tenali,Filter Points,8571.4285714286,60,30,60,857.1428571429,6,120,240,10000,70,120,240,7857.1428571429,55,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,1428.5714285714,10,120,240,,,,,,,,,,,,,
92,GNT-C-54-Tsunduru,DW,3857.1428571429,27,40,90,857.1428571429,6,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,857.1428571429,6,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,,,,,3571.4285714286,25,120,240,,,,,,,,,,,,,
93,GNT-C-54-Tsunduru,DW+PS/DCB,7142.8571428572,50,40,90,4285.7142857143,30,120,240,7142.8571428572,50,120,240,5714.2857142857,40,40,90,4285.7142857143,30,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
94,GNT-C-54-Tsunduru,BWs,10000,70,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,9285.7142857143,65,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,14285.7142857143,100,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
95,GNT-C-54-Tsunduru,STW,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
96,GNT-C-54-Tsunduru,MTW,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
97,GNT-C-54-Tsunduru,Deep TW,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,,,,,14285.7142857143,100,120,240,,,,,,,,,,,,,
98,GNT-C-54-Tsunduru,Filter Points,8571.4285714286,60,40,90,4285.7142857143,30,120,240,10000,70,120,240,7857.1428571429,55,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,1428.5714285714,10,120,240,,,,,,,,,,,,,
99,GNT-C-54-Vemuru,DW,3857.1428571429,27,40,90,857.1428571429,6,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,857.1428571429,6,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,,,,,3571.4285714286,25,120,240,,,,,,,,,,,,,
100,GNT-C-54-Vemuru,DW+PS/DCB,7142.8571428572,50,40,90,4285.7142857143,30,120,240,7142.8571428572,50,120,240,5714.2857142857,40,40,90,4285.7142857143,30,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
101,GNT-C-54-Vemuru,BWs,10000,70,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,9285.7142857143,65,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,14285.7142857143,100,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
102,GNT-C-54-Vemuru,STW,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
103,GNT-C-54-Vemuru,MTW,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
104,GNT-C-54-Vemuru,Deep TW,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,,,,,14285.7142857143,100,120,240,,,,,,,,,,,,,
105,GNT-C-54-Vemuru,Filter Points,8571.4285714286,60,40,90,4285.7142857143,30,120,240,10000,70,120,240,7857.1428571429,55,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,1428.5714285714,10,120,240,,,,,,,,,,,,,
106,GNT-C-55-Boddu-Velpuru,DW,3857.1428571429,27,25,50,857.1428571429,6,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,857.1428571429,6,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,,,,,3571.4285714286,25,120,240,,,,,,,,,,,,,
107,GNT-C-55-Boddu-Velpuru,DW+PS/DCB,7142.8571428572,50,25,50,714.2857142857,5,120,240,7142.8571428572,50,120,240,5714.2857142857,40,40,90,4285.7142857143,30,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
108,GNT-C-55-Boddu-Velpuru,BWs,10000,70,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,9285.7142857143,65,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,14285.7142857143,100,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
109,GNT-C-55-Boddu-Velpuru,STW,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
110,GNT-C-55-Boddu-Velpuru,MTW,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
111,GNT-C-55-Boddu-Velpuru,Deep TW,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,,,,,14285.7142857143,100,120,240,,,,,,,,,,,,,
112,GNT-C-55-Boddu-Velpuru,Filter Points,8571.4285714286,60,40,90,4285.7142857143,30,120,240,10000,70,120,240,7857.1428571429,55,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,1428.5714285714,10,120,240,,,,,,,,,,,,,
113,GNT-C-55-Isuka-2-Kondaveedu,DW,3857.1428571429,27,40,90,857.1428571429,6,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,857.1428571429,6,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,,,,,3571.4285714286,25,120,240,,,,,,,,,,,,,
114,GNT-C-55-Isuka-2-Kondaveedu,DW+PS/DCB,5000,35,40,80,4285.7142857143,30,120,240,7142.8571428572,50,120,240,5714.2857142857,40,40,90,4285.7142857143,30,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
115,GNT-C-55-Isuka-2-Kondaveedu,BWs,7142.8571428572,50,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,9285.7142857143,65,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,14285.7142857143,100,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
116,GNT-C-55-Isuka-2-Kondaveedu,STW,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
117,GNT-C-55-Isuka-2-Kondaveedu,MTW,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
118,GNT-C-55-Isuka-2-Kondaveedu,Deep TW,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,,,,,14285.7142857143,100,120,240,,,,,,,,,,,,,
119,GNT-C-55-Isuka-2-Kondaveedu,Filter Points,7142.8571428572,50,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,7857.1428571429,55,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
120,GNT-C-55-Konda-Vatticherukuru,DW,3857.1428571429,27,40,90,285.7142857143,2,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,857.1428571429,6,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,,,,,3571.4285714286,25,120,240,,,,,,,,,,,,,
121,GNT-C-55-Konda-Vatticherukuru,DW+PS/DCB,7142.8571428572,50,40,90,1428.5714285714,10,120,240,7142.8571428572,50,120,240,5714.2857142857,40,40,90,4285.7142857143,30,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
122,GNT-C-55-Konda-Vatticherukuru,BWs,7142.8571428572,50,40,90,5142.8571428572,36,120,240,14285.7142857143,100,120,240,9285.7142857143,65,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,14285.7142857143,100,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
123,GNT-C-55-Konda-Vatticherukuru,STW,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
124,GNT-C-55-Konda-Vatticherukuru,MTW,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
125,GNT-C-55-Konda-Vatticherukuru,Deep TW,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,,,,,14285.7142857143,100,120,240,,,,,,,,,,,,,
126,GNT-C-55-Konda-Vatticherukuru,Filter Points,7142.8571428572,50,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,7857.1428571429,55,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
127,GNT-C-55-Nakka-Muppalla,DW,3857.1428571429,27,40,90,285.7142857143,2,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,857.1428571429,6,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,,,,,3571.4285714286,25,120,240,,,,,,,,,,,,,
128,GNT-C-55-Nakka-Muppalla,DW+PS/DCB,4285.7142857143,30,40,90,1428.5714285714,10,120,240,7142.8571428572,50,120,240,5714.2857142857,40,40,90,4285.7142857143,30,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
129,GNT-C-55-Nakka-Muppalla,BWs,7142.8571428572,50,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,9285.7142857143,65,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,14285.7142857143,100,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
130,GNT-C-55-Nakka-Muppalla,STW,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
131,GNT-C-55-Nakka-Muppalla,MTW,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
132,GNT-C-55-Nakka-Muppalla,Deep TW,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,,,,,14285.7142857143,100,120,240,,,,,,,,,,,,,
133,GNT-C-55-Nakka-Muppalla,Filter Points,7142.8571428572,50,30,60,5142.8571428572,36,120,240,7142.8571428572,50,120,240,7857.1428571429,55,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
134,GNT-C-55-Nalanda-Narasaraopet,DW,3857.1428571429,27,40,90,285.7142857143,2,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,285.7142857143,2,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,,,,,3571.4285714286,25,120,240,,,,,,,,,,,,,
135,GNT-C-55-Nalanda-Narasaraopet,DW+PS/DCB,7142.8571428572,50,40,90,1428.5714285714,10,120,240,7142.8571428572,50,120,240,5714.2857142857,40,40,90,1428.5714285714,10,120,240,5714.2857142857,40,120,240,5714.2857142857,40,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
136,GNT-C-55-Nalanda-Narasaraopet,BWs,14285.7142857143,100,40,90,5714.2857142857,40,120,240,14285.7142857143,100,120,240,9285.7142857143,65,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,5714.2857142857,40,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
137,GNT-C-55-Nalanda-Narasaraopet,STW,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
138,GNT-C-55-Nalanda-Narasaraopet,MTW,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
139,GNT-C-55-Nalanda-Narasaraopet,Deep TW,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,,,,,14285.7142857143,100,120,240,,,,,,,,,,,,,
140,GNT-C-55-Nalanda-Narasaraopet,Filter Points,7142.8571428572,50,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,7857.1428571429,55,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
141,GNT-C-55-Nallama-Pedanandipadu,DW,2857.1428571429,20,30,80,285.7142857143,2,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,857.1428571429,6,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,,,,,3571.4285714286,25,120,240,,,,,,,,,,,,,
142,GNT-C-55-Nallama-Pedanandipadu,DW+PS/DCB,7142.8571428572,50,40,90,1428.5714285714,10,120,240,7142.8571428572,50,120,240,5714.2857142857,40,40,90,4285.7142857143,30,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
143,GNT-C-55-Nallama-Pedanandipadu,BWs,14285.7142857143,100,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,9285.7142857143,65,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,14285.7142857143,100,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
144,GNT-C-55-Nallama-Pedanandipadu,STW,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
145,GNT-C-55-Nallama-Pedanandipadu,MTW,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
146,GNT-C-55-Nallama-Pedanandipadu,Deep TW,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,,,,,14285.7142857143,100,120,240,,,,,,,,,,,,,
147,GNT-C-55-Nallama-Pedanandipadu,Filter Points,7142.8571428572,50,40,90,1428.5714285714,10,120,240,7142.8571428572,50,120,240,7857.1428571429,55,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
148,GNT-C-55-Pedda-2-Mangalagiri,DW,3857.1428571429,27,40,90,285.7142857143,2,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,857.1428571429,6,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,,,,,3571.4285714286,25,120,240,,,,,,,,,,,,,
149,GNT-C-55-Pedda-2-Mangalagiri,DW+PS/DCB,3571.4285714286,25,30,80,1428.5714285714,10,120,240,7142.8571428572,50,120,240,5714.2857142857,40,40,90,4285.7142857143,30,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
150,GNT-C-55-Pedda-2-Mangalagiri,BWs,7142.8571428572,50,30,80,5142.8571428572,36,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,14285.7142857143,100,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
151,GNT-C-55-Pedda-2-Mangalagiri,STW,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
152,GNT-C-55-Pedda-2-Mangalagiri,MTW,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
153,GNT-C-55-Pedda-2-Mangalagiri,Deep TW,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,,,,,14285.7142857143,100,120,240,,,,,,,,,,,,,
154,GNT-C-55-Pedda-2-Mangalagiri,Filter Points,7142.8571428572,50,30,60,857.1428571429,6,120,240,7142.8571428572,50,120,240,7857.1428571429,55,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
155,GNT-C-55-Rama-Prathipadu,DW,3857.1428571429,27,40,90,285.7142857143,2,40,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,857.1428571429,6,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,,,,,3571.4285714286,25,120,240,,,,,,,,,,,,,
156,GNT-C-55-Rama-Prathipadu,DW+PS/DCB,4285.7142857143,30,40,90,857.1428571429,6,40,240,7142.8571428572,50,120,240,5714.2857142857,40,40,90,4285.7142857143,30,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
157,GNT-C-55-Rama-Prathipadu,BWs,7142.8571428572,50,40,90,5142.8571428572,36,40,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,14285.7142857143,100,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
158,GNT-C-55-Rama-Prathipadu,STW,22000,154,40,90,5142.8571428572,36,40,240,7142.8571428572,50,120,240,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
159,GNT-C-55-Rama-Prathipadu,MTW,45000,315,40,90,10285.7142857143,72,40,240,7142.8571428572,50,120,240,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
160,GNT-C-55-Rama-Prathipadu,Deep TW,64285.7142857143,450,40,90,10285.7142857143,72,40,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,,,,,14285.7142857143,100,120,240,,,,,,,,,,,,,
161,GNT-C-55-Rama-Prathipadu,Filter Points,7142.8571428572,50,40,90,5142.8571428572,36,40,240,7142.8571428572,50,120,240,7857.1428571429,55,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
