,,,,"CA","NCA","PQA",
,,,,"Industrial","Industrial","Industrial",
"Sr.no","Watershed code","GW watershed name","village name","Industrial Wells","Industrial Wells","Industrial Wells","Total "
77,"07-C-54-50","GNT-C-54-Kollipara","Davuluru",0,0,0,0
78,"07-C-54-50","GNT-C-54-Kollipara","Chemudupadu",0,0,0,0
79,"07-C-54-49","GNT-C-54-Kolluru","Ananthavaram",0,0,0,0
80,"07-C-54-49","GNT-C-54-Kolluru","Chilumuru",0,0,0,0
81,"07-C-54-49","GNT-C-54-Kolluru","Ipur",0,0,0,0
82,"07-C-54-49","GNT-C-54-Kolluru","Gajullanka",0,0,0,0
83,"07-C-54-49","GNT-C-54-Kolluru","Pedalanka",0,0,0,0
84,"07-C-54-49","GNT-C-54-Kolluru","Kollur",0,0,0,0
85,"07-C-54-49","GNT-C-54-Kolluru","Boddulurupadu",0,0,0,0
86,"07-C-54-49","GNT-C-54-Kolluru","Ravikampadu",0,0,0,0
87,"07-C-54-49","GNT-C-54-Kolluru","Gurivindapalle",0,0,0,0
88,"07-C-54-49","GNT-C-54-Kolluru","Chinapulivarru",0,0,0,0
89,"07-C-54-49","GNT-C-54-Kolluru","Donepudi",0,0,0,0
90,"07-C-54-49","GNT-C-54-Kolluru","Potharlanka",0,0,0,0
91,"07-C-54-57","GNT-C-54-Nagaram","Peddavaram",0,0,0,0
92,"07-C-54-57","GNT-C-54-Nagaram","Thotapalle",0,0,0,0
93,"07-C-54-57","GNT-C-54-Nagaram","Dhulipudi",0,0,0,0
94,"07-C-54-57","GNT-C-54-Nagaram","Pamidimarru",0,0,0,0
95,"07-C-54-57","GNT-C-54-Nagaram","Eletipalem",0,0,0,0
96,"07-C-54-57","GNT-C-54-Nagaram","Nagaram",0,0,0,0
97,"07-C-54-57","GNT-C-54-Nagaram","Pudivada",0,0,0,0
98,"07-C-54-57","GNT-C-54-Nagaram","Siripudi",0,0,0,0
99,"07-C-54-57","GNT-C-54-Nagaram","Pedapalle",0,0,0,0
100,"07-C-54-57","GNT-C-54-Nagaram","Pedamatlapudi",0,0,0,0
101,"07-C-54-57","GNT-C-54-Nagaram","Edupalle",0,0,0,0
102,"07-C-54-57","GNT-C-54-Nagaram","Allaparru",0,0,0,0
103,"07-C-54-58","GNT-C-54-Nizampatnam","Nizampatnam",0,0,0,0
104,"07-C-54-58","GNT-C-54-Nizampatnam","Amudalapalle(With Marshes)",0,0,0,0
105,"07-C-54-58","GNT-C-54-Nizampatnam","Pregnam",0,0,0,0
106,"07-C-54-58","GNT-C-54-Nizampatnam","Muthupalle Agraharam",0,0,0,0
107,"07-C-54-58","GNT-C-54-Nizampatnam","Pallapatla",0,0,0,0
108,"07-C-54-58","GNT-C-54-Nizampatnam","Kuchinapudi",0,0,0,0
109,"07-C-54-58","GNT-C-54-Nizampatnam","Adavuladeevi(With Marshes)",0,0,0,0
110,"07-C-54-58","GNT-C-54-Nizampatnam","Dindi(Including Marshes)",0,0,0,0
111,"07-C-54-58","GNT-C-54-Nizampatnam","Nizampatnam forest",0,0,0,0
112,"07-C-54-59","GNT-C-54-Ponnuru","Jupudi",0,0,0,0
113,"07-C-54-59","GNT-C-54-Ponnuru","B. Kodur",0,0,0,0
114,"07-C-54-59","GNT-C-54-Ponnuru","Vellaluru",0,0,0,0
115,"07-C-54-59","GNT-C-54-Ponnuru","Mamillapalle",0,0,0,0
116,"07-C-54-59","GNT-C-54-Ponnuru","Aremanda",0,0,0,0
117,"07-C-54-59","GNT-C-54-Ponnuru","Dandamudi",0,0,0,0
118,"07-C-54-59","GNT-C-54-Ponnuru","Munipalle",0,0,0,0
119,"07-C-54-59","GNT-C-54-Ponnuru","P.T.Parru",0,0,0,0
120,"07-C-54-59","GNT-C-54-Ponnuru","Doppalapudi",0,0,0,0
121,"07-C-54-59","GNT-C-54-Ponnuru","Mannava",0,0,0,0
122,"07-C-54-59","GNT-C-54-Ponnuru","Upparapalem",0,0,0,0
123,"07-C-54-59","GNT-C-54-Ponnuru","Ponnur",0,0,0,0
124,"07-C-54-59","GNT-C-54-Ponnuru","Kondamudi",0,0,0,0
125,"07-C-54-59","GNT-C-54-Ponnuru","Jadavalli",0,0,0,0
126,"07-C-54-59","GNT-C-54-Ponnuru","Vaddimukkala",0,0,0,0
127,"07-C-54-59","GNT-C-54-Ponnuru","Chintalapudi",0,0,0,0
128,"07-C-54-59","GNT-C-54-Ponnuru","Vallabharaopalem",0,0,0,0
129,"07-C-54-59","GNT-C-54-Ponnuru","Nandur",0,0,0,0
130,"07-C-54-59","GNT-C-54-Ponnuru","Mulukuduru",0,0,0,0
131,"07-C-54-53","GNT-C-54-P.V.Palem","Komali",0,0,0,0
132,"07-C-54-53","GNT-C-54-P.V.Palem","Sangupalem Koduru",0,0,0,0
133,"07-C-54-53","GNT-C-54-P.V.Palem","Chandole",0,0,0,0
134,"07-C-54-53","GNT-C-54-P.V.Palem","Pittalavanipalem",0,0,0,0
135,"07-C-54-53","GNT-C-54-P.V.Palem","Khajipalem",0,0,0,0
136,"07-C-54-53","GNT-C-54-P.V.Palem","Alluru",0,0,0,0
137,"07-C-54-56","GNT-C-54-Repalle","Parisapadu",0,0,0,0
138,"07-C-54-56","GNT-C-54-Repalle","Karumuru",0,0,0,0
139,"07-C-54-56","GNT-C-54-Repalle","Bethapudi",0,0,0,0
140,"07-C-54-56","GNT-C-54-Repalle","Peteru",0,0,0,0
141,"07-C-54-56","GNT-C-54-Repalle","Penumudi",0,0,0,0
142,"07-C-54-56","GNT-C-54-Repalle","Chatragadda",0,0,0,0
143,"07-C-54-56","GNT-C-54-Repalle","Komarajugadda",0,0,0,0
144,"07-C-54-56","GNT-C-54-Repalle","Nalluru",0,0,0,0
145,"07-C-54-56","GNT-C-54-Repalle","Aravapalli",0,0,0,0
146,"07-C-54-56","GNT-C-54-Repalle","Repalle",0,0,0,0
147,"07-C-54-56","GNT-C-54-Repalle","Uuppudi",0,0,0,0
148,"07-C-54-56","GNT-C-54-Repalle","Isukapalle",0,0,0,0
149,"07-C-54-56","GNT-C-54-Repalle","Singupalem",0,0,0,0
150,"07-C-54-56","GNT-C-54-Repalle","Visweswaram",0,0,0,0
151,"07-C-54-56","GNT-C-54-Repalle","Chodayapalem",0,0,0,0
152,"07-C-54-56","GNT-C-54-Repalle","Kaithepalle",0,0,0,0
153,"07-C-54-56","GNT-C-54-Repalle","Pothumeraka(With Marshes area)",0,0,0,0
154,"07-C-54-56","GNT-C-54-Repalle","Gangadipalem(With Marshes area)",0,0,0,0
155,"07-C-54-55","GNT-C-54-Tenali","Kolakaluru",0,0,0,0
156,"07-C-54-55","GNT-C-54-Tenali","Devarapally",0,0,0,0
