"Sr.No","watershed code","gw watershed name","Village code","village name","Population [command area]","Population [non command area]","total Population","LPCD"
68,"07-C-54-50","GNT-C-54-Kollipara",13,"Davuluru",7083,0,7083,389565
69,"07-C-54-50","GNT-C-54-Kollipara",14,"Chemudupadu",1376,0,1376,75680
70,"07-C-54-49","GNT-C-54-Kolluru",1,"Ananthavaram",2806,0,2806,154330.00055
71,"07-C-54-49","GNT-C-54-Kolluru",2,"Chilumuru",3174,0,3174,174570.00055
72,"07-C-54-49","GNT-C-54-Kolluru",3,"Ipur",4034,0,4034,221870.00055
73,"07-C-54-49","GNT-C-54-Kolluru",4,"Gajullanka",3735,0,3735,205425.00055
74,"07-C-54-49","GNT-C-54-Kolluru",5,"Pedalanka",4246,0,4246,233530.00055
75,"07-C-54-49","GNT-C-54-Kolluru",6,"Kollur",16079,0,16079,884345.00055
76,"07-C-54-49","GNT-C-54-Kolluru",7,"Boddulurupadu",1034,0,1034,56870.00055
77,"07-C-54-49","GNT-C-54-Kolluru",8,"Ravikampadu",4462,0,4462,245410.00055
78,"07-C-54-49","GNT-C-54-Kolluru",9,"Gurivindapalle",0,0,0,0.00055
79,"07-C-54-49","GNT-C-54-Kolluru",10,"Chinapulivarru",1881,0,1881,103455.00055
80,"07-C-54-49","GNT-C-54-Kolluru",11,"Donepudi",4033,0,4033,221815
81,"07-C-54-49","GNT-C-54-Kolluru",12,"Potharlanka",9839,0,9839,541145
82,"07-C-54-57","GNT-C-54-Nagaram",1,"Peddavaram",1381,0,1381,75955.000055
83,"07-C-54-57","GNT-C-54-Nagaram",2,"Thotapalle",1082,0,1082,59510.000055
84,"07-C-54-57","GNT-C-54-Nagaram",3,"Dhulipudi",7881,0,7881,433455.000055
85,"07-C-54-57","GNT-C-54-Nagaram",4,"Pamidimarru",1183,0,1183,65065.000055
86,"07-C-54-57","GNT-C-54-Nagaram",5,"Eletipalem",5309,0,5309,291995.000055
87,"07-C-54-57","GNT-C-54-Nagaram",6,"Nagaram",4824,0,4824,265320.000055
88,"07-C-54-57","GNT-C-54-Nagaram",7,"Pudivada",3484,0,3484,191620.000055
89,"07-C-54-57","GNT-C-54-Nagaram",8,"Siripudi",2385,0,2385,131175.000055
90,"07-C-54-57","GNT-C-54-Nagaram",9,"Pedapalle",3706,0,3706,203830.000055
91,"07-C-54-57","GNT-C-54-Nagaram",10,"Pedamatlapudi",5971,0,5971,328405.000055
92,"07-C-54-57","GNT-C-54-Nagaram",11,"Edupalle",3765,0,3765,207075.000055
93,"07-C-54-57","GNT-C-54-Nagaram",12,"Allaparru",9291,0,9291,511005.000055
94,"07-C-54-58","GNT-C-54-Nizampatnam",1,"Nizampatnam",20982,0,20982,1154010.000055
95,"07-C-54-58","GNT-C-54-Nizampatnam",2,"Amudalapalle(With Marshes)",6923,0,6923,380765.000055
96,"07-C-54-58","GNT-C-54-Nizampatnam",3,"Pregnam",1917,0,1917,105435.000055
97,"07-C-54-58","GNT-C-54-Nizampatnam",4,"Muthupalle Agraharam",1463,0,1463,80465.000055
98,"07-C-54-58","GNT-C-54-Nizampatnam",5,"Pallapatla",3190,0,3190,175450.000055
99,"07-C-54-58","GNT-C-54-Nizampatnam",6,"Kuchinapudi",7200,0,7200,396000.000055
