,,,,Irrigated with surfa0e water,,,,,,,,,,,
S.No,Watershed 0ode,Watershed Name,Village Name,0ommand area,,,,Non 0ommand area,,,,Poor GW quality area,,,
,,,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,
,,,,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi
42,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,DEVANAPURAM,0,,,,,,,,,,,
43,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,SINGANNAPALEM,0,,,,,,,,,,,
44,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,0HEEDIVALASA,29.2,,,,,,,,,,,
45,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,KOLLIVALASA,0,,,,,,,,,,,
46,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,GANGAMPETA,0,,,,,,,,,,,
47,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,MAMIDIVALASA,46,,,,,,,,,,,
48,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,KAKANDYAM,42.8,,,,,,,,,,,
49,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,LANKAM,138,,,,,,,,,,,
50,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,LABHAM,145.2,,,,,,,,,,,
51,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,LAT0HAYYAPETA,0,,,,,,,,,,,
52,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,KANTLAM,33.2,,,,,,,,,,,
53,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,O.V.PETA,83.2,,,,,,,,,,,
54,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,AHOBALA0HARYULAPETA,0,,,,,,,,,,,
55,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,UPPINIVALASA,0,,,,,,,,,,,
56,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,VYKUNTAPURAM,0,,,,,,,,,,,
57,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,GUDIGEDDA V.PURAM(UI),0,,,,,,,,,,,
58,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,BODDAPADU,0,,,,,,,,,,,
59,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,MAHAJANAMVARIPETA (UI),0,,,,,,,,,,,
60,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,0HALIKAM,0,,,,,,,,,,,
61,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,G.K.PURAM,0,,,,,,,,,,,
62,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,KALAPAPTHI,44,,,,,,,,,,,
63,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,GUTTAVALLI,168.4,,26,,,,,,,,,
