,,,Command area,,0.8,,,,,,,,,,Non-Command area,,,,,,,,,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
29,Skl_F_Naupada_Desagedda_Tekkali,DW,2160,189.6701962273,75,120,480,141.2369418655,120,240,0,,120,240,2160,335,75,120,480,,120,240,0,,120,240,,,,,,,,,,,,
30,Skl_F_Naupada_Desagedda_Tekkali,DW+PS/DCB,2400,0,75,120,2400,4.7192422757,120,240,0,,120,240,2400,0,75,120,2400,,120,240,0,,120,240,,,,,,,,,,,,
31,Skl_F_Naupada_Desagedda_Tekkali,BWs,5600,14.215896488,75,120,2880,118,120,240,0,,120,240,5600,46,75,120,2880,,120,240,0,,120,240,,,,,,,,,,,,
32,Skl_F_Naupada_Desagedda_Tekkali,STW,5600,,75,120,2880,3.9528423492,120,240,0,,120,240,5600,,75,120,0,,120,240,0,,120,240,,,,,,,,,,,,
33,Skl_F_Naupada_Desagedda_Tekkali,MTW,5600,,75,120,0,,120,240,0,,120,240,5600,,75,120,0,,120,240,0,,120,240,,,,,,,,,,,,
34,Skl_F_Naupada_Desagedda_Tekkali,Deep TW,5600,,75,120,0,,120,240,0,,120,240,5600,,75,120,0,,120,240,0,,120,240,,,,,,,,,,,,
35,Skl_F_Naupada_Desagedda_Tekkali,Filter Points,5600,,75,120,0,,120,240,0,,120,240,5600,,75,120,0,,120,240,0,,120,240,,,,,,,,,,,,
36,Skl_F_Naupada_Gareebulagedda_Kotabommali,DW,2400,189.6701962273,75,120,480,141.2369418655,120,240,0,,120,240,2400,335,75,120,480,,120,240,0,,120,240,,,,,,,,,,,,
37,Skl_F_Naupada_Gareebulagedda_Kotabommali,DW+PS/DCB,2400,0,75,120,2400,4.7192422757,120,240,0,,120,240,2400,0,75,120,2880,,120,240,0,,120,240,,,,,,,,,,,,
38,Skl_F_Naupada_Gareebulagedda_Kotabommali,BWs,4800,14.215896488,75,120,2880,118,120,240,0,,120,240,4800,46,75,120,2880,,120,240,0,,120,240,,,,,,,,,,,,
39,Skl_F_Naupada_Gareebulagedda_Kotabommali,STW,4800,,75,120,2880,3.9528423492,120,240,0,,120,240,4800,,75,120,0,,120,240,0,,120,240,,,,,,,,,,,,
40,Skl_F_Naupada_Gareebulagedda_Kotabommali,MTW,4800,,75,120,0,,120,240,0,,120,240,4800,,75,120,0,,120,240,0,,120,240,,,,,,,,,,,,
41,Skl_F_Naupada_Gareebulagedda_Kotabommali,Deep TW,0,,75,120,0,,120,240,0,,120,240,0,,75,120,0,,120,240,0,,120,240,,,,,,,,,,,,
42,Skl_F_Naupada_Gareebulagedda_Kotabommali,Filter Points,4800,,75,120,4000,,120,240,0,,120,240,4800,,75,120,4000,,120,240,0,,120,240,,,,,,,,,,,,
43,Skl_F_PMD_Bendigedda_Palasa,DW,2160,204,70,110,480,206,120,240,0,,120,240,2160,1154,70,110,480,699,120,240,0,,120,240,,,,,,,,,,,,
44,Skl_F_PMD_Bendigedda_Palasa,DW+PS/DCB,2400,27,70,110,2400,10,120,240,0,,120,240,2400,208,70,110,2400,29,120,240,0,,120,240,,,,,,,,,,,,
45,Skl_F_PMD_Bendigedda_Palasa,BWs,6400,10,70,110,2880,,120,240,0,,120,240,6400,34,70,110,2880,,120,240,0,,120,240,,,,,,,,,,,,
46,Skl_F_PMD_Bendigedda_Palasa,STW,6400,17,70,110,0,,120,240,0,,120,240,6400,234,70,110,0,,120,240,0,,120,240,,,,,,,,,,,,
47,Skl_F_PMD_Bendigedda_Palasa,MTW,0,0,70,110,0,,120,240,0,,120,240,0,0,70,110,0,,120,240,0,,120,240,,,,,,,,,,,,
48,Skl_F_PMD_Bendigedda_Palasa,Deep TW,0,0,70,110,0,,120,240,0,,120,240,0,0,70,110,0,,120,240,0,,120,240,,,,,,,,,,,,
49,Skl_F_PMD_Bendigedda_Palasa,Filter Points,6400,103,70,110,0,,120,240,0,,120,240,6400,49,70,110,0,,120,240,0,,120,240,,,,,,,,,,,,
