S.No,Watershed code,Watershed Name, Village Name,Length ,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor, No.of operating days of canal,, Recharge from canal (ha.m),,Annual Recharge,,,,,,,,,,,,,,
17,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,KOTHAVALASA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180400120,040,KOTHAVALASA
18,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,THOGARAGAM,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180410121,041,THOGARAGAM
19,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,KALIVARAM,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180430123,043,KALIVARAM
20,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,KANUGULAVALASA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180450124,045,KANUGULAVALASA
21,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,VANAJANGI,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180460125,046,VANAJANGI
22,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,VANAJANGIPETA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180470125,047,VANAJANGIPETA
23,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,DUSI,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180480126,048,DUSI
24,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,AMUDALAVALASA (M),,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015820010000,0,AMUDALAVALASA (M)
25,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,APPALAPATNAYAKUNIPETA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110180106,018,APPALAPATNAYAKUNIPETA
26,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,GOPIDEVIPETA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110190106,019,GOPIDEVIPETA
27,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,SOMIDAVALASA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110200107,020,SOMIDAVALASA
28,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,ISSADIVALASA (UI),,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110210106,021,ISSADIVALASA (UI)
