"Sr.no",,,"village name","No. M.I.Tanks command area",,"Number of M.I.Tanks [Non command area]",,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,"Watershed code ","GW watershed name",,"Number","spread ha","Number","spread ha","Number","spread ha"
54,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","AHOBALACHARYULAPETA",,0,6,36.18,,
55,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","UPPINIVALASA",,0,17,111.6,,
56,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","VYKUNTAPURAM",9,65.6,,0,,
57,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","GUDIGEDDA V.PURAM(UI)",,0,,0,0,0
58,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","BODDAPADU",,0,6,48.4,,
59,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","MAHAJANAMVARIPETA (UI)",,0,4,27.2,,
60,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","CHALIKAM",,0,32,380.8,,
61,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","G.K.PURAM",6,37.2,,0,,
62,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","KALAPAPTHI",,0,12,110.4,,
63,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","GUTTAVALLI",,0,,0,,
64,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","NELLIPARTHI",,0,,0,,
65,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","C",5,135.6,,0,,
66,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","VADADA",,0,,0,,
67,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","LANKAM",7,62,,0,,
68,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","VAKALAVALASA",1,11.2,,0,,
69,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","RAGOLUPETA",6,49.2,,0,,
70,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","LINGALAVALASA",,0,,0,,
71,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","GUDEM",20,263.6,,0,,
72,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","BALAGA (RURAL)",,0,,0,,
73,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","PATRUVANIVALASA",8,152.8,,0,,
74,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","PEDDAPADU",4,69.2,,0,,
75,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","SANIVADA",,0,3,89.2,,
76,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","VOPPANGI",,0,2,33.6,,
77,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","ARASAVILLI(RURAL)",,0,,0,0,0
78,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","PATHASRIKAKULAM(RURAL)",,0,,0,0,0
79,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","IPPILI",,0,,0,0,0
80,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","KALLEPALLE",,0,,0,0,0
81,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","MOFASBANDAR",,0,,0,0,0
82,"01_F_06_04","Skl_F_Nagavali_Nagavali_E_Srikakulam","SRIKAKULAM (M)",,0,,0,0,0
83,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","HARIPURAMPALLAPURAM",,0,5,2.2382362205,,
84,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","THUDDALI",,0,4,2.0931653543,,
85,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","KOTHAVALASA",,0,,0,,
86,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","MARRIPADU",,0,,0,,
