sr.no,,,village name,No. M.I.Tanks command area,,Number of M.I.Tanks [Non command area],,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,Watershed code ,GW watershed name,,Number,spread ha,Number,spread ha,Number,spread ha
70,06-D-49-04,Kri-D-49-Nandigama,Adaviravulapadu,0,0,0,0,,
71,06-D-49-04,Kri-D-49-Nandigama,K.Kandrika,0,0,0,0,,
72,06-D-49-04,Kri-D-49-Nandigama,Chandapuram,0,0,0,0,,
73,06-D-49-04,Kri-D-49-Nandigama,Ambarupeta,0,0,0,0,,
74,06-D-49-04,Kri-D-49-Nandigama,Itavaram,0,0,0,0,,
75,06-D-49-04,Kri-D-49-Nandigama,Ketaveerunipadu,0,0,0,0,,
76,06-D-49-04,Kri-D-49-Nandigama,Kanchela,0,0,0,0,,
77,06-D-49-04,Kri-D-49-Nandigama,Medipalem,0,0,0,0,,
78,06-D-49-04,Kri-D-49-Nandigama,Munagalapalli,0,0,0,0,,
79,06-D-49-04,Kri-D-49-Nandigama,Muppala,0,0,0,0,,
80,06-D-49-04,Kri-D-49-Nandigama,Thurlapadu,1,33.19,0,0,,
81,06-D-49-04,Kri-D-49-Nandigama,Thotaravulapadu,0,0,1,22,,
82,06-D-49-04,Kri-D-49-Nandigama,Chintalapadu,0,0,1,99.59,,
83,06-D-49-04,Kri-D-49-Nandigama,Eturu,0,0,0,0,,
84,06-D-49-04,Kri-D-49-Nandigama,Gandepalli,1,21,0,0,,
85,06-D-49-04,Kri-D-49-Nandigama,Keesara,0,0,0,0,,
86,06-D-49-04,Kri-D-49-Nandigama,Saidapuram,0,0,0,0,,
87,06-D-49-04,Kri-D-49-Nandigama,Pendyala,0,0,0,0,,
88,06-D-49-04,Kri-D-49-Nandigama,Vemulapalli,0,0,0,0,,
89,06-D-49-04,Kri-D-49-Nandigama,S.Amaravaram,0,0,0,0,,
90,06-D-49-04,Kri-D-49-Nandigama,Moguluru,0,0,0,0,,
91,06-D-49-04,Kri-D-49-Nandigama,Munnaluru,0,0,0,0,,
92,06-D-51-19,Kri-D-51-Chandarlapadu,Vedadri,0,0,0,0,,
93,06-D-51-19,Kri-D-51-Chandarlapadu,Peddavaram,1,41.7,0,0,,
94,06-D-51-19,Kri-D-51-Chandarlapadu,Katrenipalli,0,0,0,0,,
95,06-D-51-19,Kri-D-51-Chandarlapadu,Gudimetla,1,95.14,0,0,,
96,06-D-51-19,Kri-D-51-Chandarlapadu,Brahma botlapalem,0,0,0,0,,
97,06-D-51-19,Kri-D-51-Chandarlapadu,Konayapalem,0,0,0,0,,
98,06-D-51-19,Kri-D-51-Chandarlapadu,Gudimetlapalem,1,28.7,0,0,,
99,06-D-51-19,Kri-D-51-Chandarlapadu,Bobbillapadu,1,15.38,0,0,,
100,06-D-51-19,Kri-D-51-Chandarlapadu,Chandarlapadu ,0,0,3,36.03,,
101,06-D-51-19,Kri-D-51-Chandarlapadu,Patempadu,0,0,0,0,,
102,06-D-51-19,Kri-D-51-Chandarlapadu,Kasarabada,1,95.5,0,0,,
103,06-D-51-19,Kri-D-51-Chandarlapadu,Ustepalli,1,82.99,0,0,,
104,06-D-51-19,Kri-D-51-Chandarlapadu,Pokkunuru,0,0,0,0,,
105,06-D-51-19,Kri-D-51-Chandarlapadu,Kodavatikallu,0,0,0,0,,
106,06-D-51-19,Kri-D-51-Chandarlapadu,Veladikothapalem,0,0,0,0,,
107,06-D-51-19,Kri-D-51-Chandarlapadu,Punnavalli,0,0,0,0,,
108,06-D-51-19,Kri-D-51-Chandarlapadu,Popuru,0,0,0,0,,
109,06-D-51-19,Kri-D-51-Chandarlapadu,Vipareetalapadu,0,0,0,0,,
110,06-D-49-02,Kri-D-49-Nemali,Ummadidevarapalli,0,0,0,0,,
111,06-D-49-02,Kri-D-49-Nemali,Nemali,1,1.63,0,0,,
112,06-D-49-02,Kri-D-49-Nemali,Konijerla,2,20.46,0,0,,
113,06-D-49-04,Kri-D-49-Utukuru,Utukuru,2,80,0,0,,
114,06-D-49-04,Kri-D-49-Utukuru,Dundiralapadu,0,0,0,0,,
