,,,Command area,,,,,,,,,,,,Non-Command area,,,,,,,,,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
28,Kri-D-49-Penuganchiprolu,Filter Points,15000,,20,80,0,,120,240,0,,120,240,7142.857143,,40,90,7142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
29,Kri-D-49-Nandigama,DW,3857.142857,,20,80,857.1428571,,120,240,0,,120,240,0,,30,80,857.1428571,,120,240,0,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
30,Kri-D-49-Nandigama,DW+PS/DCB,8571.428571,,20,80,0,,120,240,0,,120,240,7142.857143,,30,80,4285.714286,,120,240,0,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
31,Kri-D-49-Nandigama,BWs,10714.28571,,20,80,12857.14286,,120,240,1428.571429,,120,240,8000,,30,80,17857.14286,,120,240,1428.571429,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
32,Kri-D-49-Nandigama,STW,0,,20,80,0,,120,240,0,,120,240,0,,30,80,0,,120,240,0,,120,240,22000,,40,90,,,,,7142.857143,,120,240
33,Kri-D-49-Nandigama,MTW,0,,20,80,0,,120,240,0,,120,240,0,,30,80,0,,120,240,0,,120,240,45000,,40,90,,,,,7142.857143,,120,240
34,Kri-D-49-Nandigama,Deep TW,0,,20,80,0,,120,240,0,,120,240,0,,30,80,0,,120,240,0,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
35,Kri-D-49-Nandigama,Filter Points,12000,,20,80,0,,120,240,0,,120,240,12000,,30,80,7142.857143,,120,240,0,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
36,Kri-D-51-Chandarlapadu,DW,0,,20,80,857.1428571,,120,240,0,,120,240,0,,30,80,857.1428571,,120,240,0,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
37,Kri-D-51-Chandarlapadu,DW+PS/DCB,7857.142857,,20,80,0,,120,240,0,,120,240,5714.285714,,30,80,0,,120,240,0,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
38,Kri-D-51-Chandarlapadu,BWs,9285.714286,,20,80,3571.428571,,120,240,1428.571429,,120,240,9285.714286,,30,80,14285.71429,,120,240,1428.571429,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
39,Kri-D-51-Chandarlapadu,STW,0,,20,80,0,,120,240,0,,120,240,0,,30,80,0,,120,240,0,,120,240,22000,,40,90,,,,,7142.857143,,120,240
40,Kri-D-51-Chandarlapadu,MTW,0,,20,80,0,,120,240,0,,120,240,0,,30,80,0,,120,240,0,,120,240,45000,,40,90,,,,,7142.857143,,120,240
41,Kri-D-51-Chandarlapadu,Deep TW,0,,20,80,0,,120,240,0,,120,240,0,,30,80,0,,120,240,0,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
42,Kri-D-51-Chandarlapadu,Filter Points,10714.28571,,20,80,10714.28571,,120,240,0,,120,240,10714.28571,,30,80,10714.28571,,120,240,0,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
43,Kri-D-49-Nemali,DW,0,,20,80,428.5714286,,120,240,0,,120,240,3857.142857,,40,90,857.1428571,,120,240,3571.428571,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
44,Kri-D-49-Nemali,DW+PS/DCB,7142.857143,,20,80,0,,120,240,0,,120,240,5714.285714,,40,90,4285.714286,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
45,Kri-D-49-Nemali,BWs,8000,,20,80,7142.857143,,120,240,1428.571429,,120,240,9285.714286,,40,90,5142.857143,,120,240,7142.857143,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
46,Kri-D-49-Nemali,STW,0,,20,80,0,,120,240,0,,120,240,22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,,,,,7142.857143,,120,240
47,Kri-D-49-Nemali,MTW,0,,20,80,0,,120,240,0,,120,240,45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,,,,,7142.857143,,120,240
48,Kri-D-49-Nemali,Deep TW,0,,20,80,0,,120,240,0,,120,240,64285.71429,,40,90,10285.71429,,120,240,14285.71429,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
49,Kri-D-49-Nemali,Filter Points,7142.857143,,20,80,0,,120,240,0,,120,240,7857.142857,,40,90,5142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
50,Kri-D-49-Utukuru,DW,0,,20,80,571.4285714,,120,240,0,,120,240,3857.142857,,40,90,3857.142857,,120,240,3857.142857,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
51,Kri-D-49-Utukuru,DW+PS/DCB,7142.857143,,20,80,0,,120,240,0,,120,240,3857.142857,,40,90,3857.142857,,120,240,3857.142857,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
52,Kri-D-49-Utukuru,BWs,8000,,20,80,7857.142857,,120,240,1428.571429,,120,240,7000,,40,90,7000,,120,240,7000,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
53,Kri-D-49-Utukuru,STW,0,,20,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,22000,,40,90,,,,,7142.857143,,120,240
54,Kri-D-49-Utukuru,MTW,0,,20,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,45000,,40,90,,,,,7142.857143,,120,240
55,Kri-D-49-Utukuru,Deep TW,0,,20,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
56,Kri-D-49-Utukuru,Filter Points,0,,20,80,0,,120,240,0,,120,240,7142.857143,,40,90,7142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
57,Kri-D-49-Talluru,DW,0,,20,80,857.1428571,,120,240,0,,120,240,3857.142857,,40,90,3857.142857,,120,240,3857.142857,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
58,Kri-D-49-Talluru,DW+PS/DCB,7142.857143,,20,80,0,,120,240,0,,120,240,3857.142857,,40,90,3857.142857,,120,240,3857.142857,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
59,Kri-D-49-Talluru,BWs,8000,,20,80,12857.14286,,120,240,1428.571429,,120,240,7000,,40,90,7000,,120,240,7000,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
60,Kri-D-49-Talluru,STW,0,,20,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,22000,,40,90,,,,,7142.857143,,120,240
