,,,,Command Area,,Non command Area,,Poor quality area,,,,,
,,,,Residential,,Residential,,Residential,,,,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total,,,
63,06-D-49-04,Kri-D-49-Nandigama,Takkellapadu,6,2,0,0,,,8,,,
64,06-D-49-04,Kri-D-49-Nandigama,Lingalapadu,12,2,0,0,,,14,,,
65,06-D-49-04,Kri-D-49-Nandigama,Latchapalem,1,2,0,0,,,3,,,
66,06-D-49-04,Kri-D-49-Nandigama,Adaviravulapadu,13,3,0,0,,,16,,,
67,06-D-49-04,Kri-D-49-Nandigama,K.Kandrika,0,0,0,2,,,2,,,
68,06-D-49-04,Kri-D-49-Nandigama,Chandapuram,0,0,14,2,,,16,,,
69,06-D-49-04,Kri-D-49-Nandigama,Ambarupeta,0,0,20,2,,,22,,,
70,06-D-49-04,Kri-D-49-Nandigama,Itavaram,0,0,10,2,,,12,,,
71,06-D-49-04,Kri-D-49-Nandigama,Ketaveerunipadu,22,2,0,0,,,24,,,
72,06-D-49-04,Kri-D-49-Nandigama,Kanchela,11,2,0,0,,,13,,,
73,06-D-49-04,Kri-D-49-Nandigama,Medipalem,4,1,0,0,,,5,,,
74,06-D-49-04,Kri-D-49-Nandigama,Munagalapalli,0,0,11,2,,,13,,,
75,06-D-49-04,Kri-D-49-Nandigama,Muppala,49,4,0,0,,,53,,,
76,06-D-49-04,Kri-D-49-Nandigama,Thurlapadu,52,4,0,0,,,56,,,
77,06-D-49-04,Kri-D-49-Nandigama,Thotaravulapadu,0,0,44,4,,,48,,,
78,06-D-49-04,Kri-D-49-Nandigama,Chintalapadu,0,0,35,6,,,41,,,
79,06-D-49-04,Kri-D-49-Nandigama,Eturu,28,4,0,0,,,32,,,
80,06-D-49-04,Kri-D-49-Nandigama,Gandepalli,30,2,0,0,,,32,,,
81,06-D-49-04,Kri-D-49-Nandigama,Keesara,34,3,0,0,,,37,,,
82,06-D-49-04,Kri-D-49-Nandigama,Saidapuram,5,1,0,0,,,6,,,
83,06-D-49-04,Kri-D-49-Nandigama,Pendyala,77,3,0,0,,,80,,,
84,06-D-49-04,Kri-D-49-Nandigama,Vemulapalli,28,2,0,0,,,30,,,
