,,,,CA,NCA,PQA,,
,,,,Industrial,Industrial,Industrial,,
Sr.no,Watershed code,GW watershed name,village name,Industrial Wells,Industrial Wells,Industrial Wells,Total ,
969,06-I-52-45,Kri-I-52-Machilipatnam,Hussenpalem,3,,,3,
970,06-I-52-45,Kri-I-52-Machilipatnam,Bhuddalapalem,0,,,0,
971,06-I-52-45,Kri-I-52-Machilipatnam,Borrapothupalem,1,,,1,
972,06-I-52-45,Kri-I-52-Machilipatnam,Kanuru,1,,,1,
973,06-I-52-45,Kri-I-52-Machilipatnam,Pedapatnam,2,,,2,
974,06-I-52-45,Kri-I-52-Machilipatnam,Reserve forest area,0,,,0,
975,06-I-52-50,Kri-I-52-Koduru,Machavaram,1,0,,1,
976,06-I-52-50,Kri-I-52-Koduru,Viswanadhapalli,1,0,,1,
977,06-I-52-50,Kri-I-52-Koduru,Pittalanka,1,0,,1,
978,06-I-52-50,Kri-I-52-Koduru,Salempalem,3,0,,3,
979,06-I-52-50,Kri-I-52-Koduru,Vullipalem,1,0,,1,
980,06-I-52-50,Kri-I-52-Koduru,Koduru,17,0,,17,
981,06-I-52-50,Kri-I-52-Koduru,Lingareddypalem,1,0,,1,
982,06-I-52-50,Kri-I-52-Koduru,Mandapakala,2,0,,2,
983,06-I-52-50,Kri-I-52-Koduru,Ramakrishnapuram,0,0,,0,
984,06-I-52-49,Kri-I-52-Nagayalanka,Bhavadevarapalli,2,,,2,
985,06-I-52-49,Kri-I-52-Nagayalanka,Chodavaram,0,,,0,
986,06-I-52-49,Kri-I-52-Nagayalanka,Edurumondi,1,,,1,
987,06-I-52-49,Kri-I-52-Nagayalanka,Ganapeswaram,1,,,1,
988,06-I-52-49,Kri-I-52-Nagayalanka,Kamanamolu,0,,,0,
989,06-I-52-49,Kri-I-52-Nagayalanka,Nagayalanka,26,,,26,
990,06-I-52-49,Kri-I-52-Nagayalanka,T.Kothapalem,1,,,1,
991,06-I-52-49,Kri-I-52-Nagayalanka,Parachivara,1,,,1,
992,06-I-52-49,Kri-I-52-Nagayalanka,Talagadadeevi,1,,,1,
993,06-I-52-49,Kri-I-52-Nagayalanka,Etimoga,2,,,2,
994,06-I-52-49,Kri-I-52-Nagayalanka,Nangegadda,1,,,1,
995,06-I-52-49,Kri-I-52-Nagayalanka,Reserve forest area,0,,,0,
