Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD,,
63,06-D-49-03,Kri-D-49-Penuganchiprolu,01988600,Pallagiri,0,0,0,0,,
64,06-D-49-03,Kri-D-49-Penuganchiprolu,01988500,Satyavaram,0,0,0,0,,
65,06-D-49-03,Kri-D-49-Penuganchiprolu,01988900,Ramireddipalli,0,0,0,0,,
66,06-D-49-03,Kri-D-49-Penuganchiprolu,01988800,Konduru,3499,0,3499,192445,,
67,06-D-49-04,Kri-D-49-Nandigama,01987300,Takkellapadu,1662,0,1662,91410,,
68,06-D-49-04,Kri-D-49-Nandigama,01987600,Lingalapadu,1907,0,1907,104885,,
69,06-D-49-04,Kri-D-49-Nandigama,01987500,Latchapalem,295,0,295,16225,,
70,06-D-49-04,Kri-D-49-Nandigama,01987700,Adaviravulapadu,1916,0,1916,105380,,
71,06-D-49-04,Kri-D-49-Nandigama,01987800,K.Kandrika,0,0,0,0,,
72,06-D-49-04,Kri-D-49-Nandigama,01987900,Chandapuram,0,1700,1700,93500,,
73,06-D-49-04,Kri-D-49-Nandigama,01988300,Ambarupeta,0,1941,1941,106755,,
74,06-D-49-04,Kri-D-49-Nandigama,01988200,Itavaram,0,2157,2157,118635,,
75,06-D-49-04,Kri-D-49-Nandigama,01988000,Ketaveerunipadu,1931,0,1931,106205,,
76,06-D-49-04,Kri-D-49-Nandigama,01988100,Kanchela,2769,0,2769,152295,,
77,06-D-49-04,Kri-D-49-Nandigama,02017200,Medipalem,0,0,0,0,,
78,06-D-49-04,Kri-D-49-Nandigama,02017300,Munagalapalli,0,1272,1272,69960,,
79,06-D-49-04,Kri-D-49-Nandigama,02017400,Muppala,5741,0,5741,315755,,
80,06-D-49-04,Kri-D-49-Nandigama,02017900,Thurlapadu,4413,0,4413,242715,,
81,06-D-49-04,Kri-D-49-Nandigama,02018000,Thotaravulapadu,0,3244,3244,178420,,
82,06-D-49-04,Kri-D-49-Nandigama,02018100,Chintalapadu,0,4489,4489,246895,,
83,06-D-49-04,Kri-D-49-Nandigama,02019000,Eturu,2813,0,2813,154715,,
84,06-D-49-04,Kri-D-49-Nandigama,02015300,Gandepalli,3499,0,3499,192445,,
85,06-D-49-04,Kri-D-49-Nandigama,02015200,Keesara,3211,0,3211,176605,,
86,06-D-49-04,Kri-D-49-Nandigama,02015700,Saidapuram,0,0,0,0,,
87,06-D-49-04,Kri-D-49-Nandigama,02015800,Pendyala,6586,0,6586,362230,,
88,06-D-49-04,Kri-D-49-Nandigama,02015900,Vemulapalli,2371,0,2371,130405,,
89,06-D-49-04,Kri-D-49-Nandigama,02016000,S.Amaravaram,1080,0,1080,59400,,
90,06-D-49-04,Kri-D-49-Nandigama,02016100,Moguluru,5758,0,5758,316690,,
91,06-D-49-04,Kri-D-49-Nandigama,02016200,Munnaluru,1101,0,1101,60555,,
92,06-D-51-19,Kri-D-51-Chandarlapadu,01985700,Vedadri,0,2243,2243,123365,,
93,06-D-51-19,Kri-D-51-Chandarlapadu,01987200,Peddavaram,4486,0,4486,246730,,
94,06-D-51-19,Kri-D-51-Chandarlapadu,02016800,Katrenipalli,0,0,0,0,,
95,06-D-51-19,Kri-D-51-Chandarlapadu,02016900,Gudimetla,3858,0,3858,212190,,
96,06-D-51-19,Kri-D-51-Chandarlapadu,02017000,Brahma botlapalem,0,432,432,23760,,
97,06-D-51-19,Kri-D-51-Chandarlapadu,02017100,Konayapalem,0,6082,6082,334510,,
98,06-D-51-19,Kri-D-51-Chandarlapadu,02017600,Gudimetlapalem,0,0,0,0,,
99,06-D-51-19,Kri-D-51-Chandarlapadu,02017500,Bobbillapadu,1261,0,1261,69355,,
100,06-D-51-19,Kri-D-51-Chandarlapadu,02017800,Chandarlapadu ,0,10068,10068,553740,,
101,06-D-51-19,Kri-D-51-Chandarlapadu,02018200,Patempadu,0,387,387,21285,,
102,06-D-51-19,Kri-D-51-Chandarlapadu,02018400,Kasarabada,1135,0,1135,62425,,
103,06-D-51-19,Kri-D-51-Chandarlapadu,02017700,Ustepalli,631,0,631,34705,,
104,06-D-51-19,Kri-D-51-Chandarlapadu,02018500,Pokkunuru,1948,0,1948,107140,,
105,06-D-51-19,Kri-D-51-Chandarlapadu,02018300,Kodavatikallu,3640,0,3640,200200,,
106,06-D-51-19,Kri-D-51-Chandarlapadu,02018700,Veladikothapalem,2687,0,2687,147785,,
107,06-D-51-19,Kri-D-51-Chandarlapadu,02018600,Punnavalli,787,0,787,43285,,
108,06-D-51-19,Kri-D-51-Chandarlapadu,02018800,Popuru,619,0,619,34045,,
109,06-D-51-19,Kri-D-51-Chandarlapadu,02018900,Vipareetalapadu,0,1345,1345,73975,,
110,06-D-49-02,Kri-D-49-Nemali,01994200,Ummadidevarapalli,860,0,860,47300,,
111,06-D-49-02,Kri-D-49-Nemali,01994300,Nemali,2926,0,2926,160930,,
112,06-D-49-02,Kri-D-49-Nemali,01994400,Konijerla,3843,0,3843,211365,,
113,06-D-49-04,Kri-D-49-Utukuru,01994500,Utukuru,7286,0,7286,400730,,
114,06-D-49-04,Kri-D-49-Utukuru,01994600,Dundiralapadu,2970,0,2970,163350,,
115,06-D-49-04,Kri-D-49-Utukuru,01994900,Penugolenu,6665,0,6665,366575,,
116,06-D-49-04,Kri-D-49-Utukuru,01994700,Tunikipadu,3199,0,3199,175945,,
117,06-D-49-04,Kri-D-49-Utukuru,01994800,Rajavaram,955,0,955,52525,,
118,06-D-49-07,Kri-D-49-Talluru,01994800,Kakaravai,1867,0,1867,102685,,
119,06-D-49-07,Kri-D-49-Talluru,01983000,Machinenipalem,1641,0,1641,90255,,
120,06-D-49-07,Kri-D-49-Talluru,01983200,Talluru,1150,0,1150,63250,,
121,06-D-49-07,Kri-D-49-Talluru,01982900,Vemulanarva,1615,0,1615,88825,,
122,06-D-49-10,Kri-D-49--K.Atmakuru,01989200,K.Atmakuru,1704,0,1704,93720,,
123,06-D-49-10,Kri-D-49--K.Atmakuru,01989000,Jonnalagadda,1994,0,1994,109670,,
124,06-D-49-10,Kri-D-49--K.Atmakuru,01989800,V.Annavaram,1285,0,1285,70675,,
125,06-D-49-05,Kri-D-49-Veerulapadu,01989200,Torragudipadu,0,0,0,0,,
126,06-D-49-05,Kri-D-49-Veerulapadu,01989300,Damuluru,1791,0,1791,98505,,
127,06-D-49-05,Kri-D-49-Veerulapadu,01989400,Somavaram,1506,0,1506,82830,,
128,06-D-49-05,Kri-D-49-Veerulapadu,01989500,Rudravaram,1878,0,1878,103290,,
129,06-D-49-05,Kri-D-49-Veerulapadu,01989600,Gollamudi,2127,0,2127,116985,,
130,06-D-49-05,Kri-D-49-Veerulapadu,01989700,Raghavapuram,4074,0,4074,224070,,
131,06-D-49-05,Kri-D-49-Veerulapadu,01990600,Pallempalli,251,0,251,13805,,
132,06-D-49-05,Kri-D-49-Veerulapadu,01990700,Konatanapalli,2554,0,2554,140470,,
133,06-D-49-05,Kri-D-49-Veerulapadu,01990300,Choutapalli,2156,0,2156,118580,,
134,06-D-49-05,Kri-D-49-Veerulapadu,01990900,Chattannavaram,1092,0,1092,60060,,
135,06-D-49-05,Kri-D-49-Veerulapadu,01990800,Dachavaram,976,0,976,53680,,
136,06-D-49-05,Kri-D-49-Veerulapadu,01991500,Vellanki,3075,0,3075,169125,,
137,06-D-49-05,Kri-D-49-Veerulapadu,01991600,Tatigummi,955,0,955,52525,,
138,06-D-49-05,Kri-D-49-Veerulapadu,01991900,Gokharajupalli,736,0,736,40480,,
139,06-D-49-05,Kri-D-49-Veerulapadu,01991700,Nandaluru,844,0,844,46420,,
140,06-D-49-05,Kri-D-49-Veerulapadu,01991800,Bodawada,1239,0,1239,68145,,
141,06-D-49-05,Kri-D-49-Veerulapadu,01991400,Lakshmipuram,0,0,0,0,,
142,06-D-49-05,Kri-D-49-Veerulapadu,01992000,Jammavaram,1263,0,1263,69465,,
143,06-D-49-01,Kri-D-49-Peddavaram,01996600,Akkapalem,1361,0,1361,74855,,
144,06-D-49-01,Kri-D-49-Peddavaram,01997400,Chintalapadu,2830,0,2830,155650,,
145,06-D-49-01,Kri-D-49-Peddavaram,01997300,Erramadu,1700,0,1700,93500,,
146,06-D-49-01,Kri-D-49-Peddavaram,01997200,Mustikuntla,3898,0,3898,214390,,
147,06-D-49-01,Kri-D-49-Peddavaram,01996500,Munukulla,3578,0,3578,196790,,
148,06-D-49-01,Kri-D-49-Peddavaram,01996300,Peddavaram,1170,0,1170,64350,,
149,06-D-49-01,Kri-D-49-Peddavaram,01997100,Vamakuntla,1958,0,1958,107690,,
150,06-D-49-01,Kri-D-49-Peddavaram,01996400,Vavilala,3786,0,3786,208230,,
151,06-D-49-08,Kri-D-49-Tiruvuru,01997000,Tiruvuru,22976,0,22976,1263680,,
152,06-D-49-08,Kri-D-49-Tiruvuru,01997700,Chittela,1278,0,1278,70290,,
153,06-D-49-08,Kri-D-49-Tiruvuru,01996800,Kokilampadu,2229,0,2229,122595,,
154,06-D-49-08,Kri-D-49-Tiruvuru,01997800,Anjaneyapuram,1317,0,1317,72435,,
155,06-D-49-08,Kri-D-49-Tiruvuru,01997900,Lakshmipuram,1970,0,1970,108350,,
156,06-D-49-08,Kri-D-49-Tiruvuru,01997500,Rolupadi,2774,0,2774,152570,,
157,06-D-49-09,Kri-D-49-A.Konduru,01998400,Vallampatla,2487,0,2487,136785,,
158,06-D-49-09,Kri-D-49-A.Konduru,01998200,Marepalli,1580,0,1580,86900,,
159,06-D-49-09,Kri-D-49-A.Konduru,01998300,Polisettipadu,3376,0,3376,185680,,
160,06-D-49-09,Kri-D-49-A.Konduru,01998100,Mallela,3055,0,3055,168025,,
161,06-D-49-09,Kri-D-49-A.Konduru,02000600,Vemireddipalli,4573,0,4573,251515,,
162,06-D-49-10,Kri-D-49-A.Konduru,01998000,Ramannapalem,1622,0,1622,89210,,
163,06-D-49-11,Kri-D-49-Vissannapeta,01998600,Kambhampadu,5330,0,5330,293150,,
164,06-D-49-11,Kri-D-49-Vissannapeta,01998800,Atlapragada,1002,0,1002,55110,,
165,06-D-49-11,Kri-D-49-Vissannapeta,01998900,A.Konduru,5597,0,5597,307835,,
