,,,,"Command Area",,,,,,,"Non-Command Area",,,,,,,"Poor GW quality area",,,,,,,
,,,,"Irrigated",,,,,,,"Irrigated",,,,,,,"Irrigated",,,,,,,
"Sr.no","Watershed code","GW watershed name","village name","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP",
46,"04_E_32_26-003","EG-G-Zk-Rangampet","Vemagiri",0,,,,,,201,0,0,0,0,0,0,0,,,,,,,,
47,"04_E_32_26-003","EG-G-Zk-Rangampet","Kadiyam",0,30,20,30,20,24,48,0,0,0,0,0,0,0,,,,,,,,
48,"04_E_32_26-003","EG-G-Zk-Rangampet","Jegurupadu",0,0,0,0,0,0,296,0,0,0,0,0,0,0,,,,,,,,
49,"04_E_32_26-003","EG-G-Zk-Rangampet","Kesavaram",0,0,0,0,0,0,111,0,0,0,0,0,0,0,,,,,,,,
50,"04_E_32_26-003","EG-G-Zk-Rangampet","V.Seetayyapalem",0,0,0,0,0,0,106,0,0,0,0,0,0,0,,,,,,,,
51,"04_E_32_26-003","EG-G-Zk-Rangampet","Chinadwrapudi",0,0,0,0,0,0,114,0,0,0,0,0,0,0,,,,,,,,
52,"04_E_32_26-003","EG-G-Zk-Rangampet","Dwarapudi",0,0,0,0,0,0,0,0,14,14,13,21,24,92,,,,,,,,
53,"04_E_32_26-003","EG-G-Zk-Rangampet","Z.Medapadu",0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,
54,"04_E_32_26-003","EG-G-Zk-Rangampet","Dowlaiswaram",0,0,0,0,0,0,0,0,0,0,16,0,0,17,,,,,,,,
55,"04_E_32_26-003","EG-G-Zk-Rangampet","Rajavolu",0,0,0,0,0,0,0,0,13,18,21,0,0,40,,,,,,,,
56,"04_E_32_26-003","EG-G-Zk-Rangampet","Srikrishnapatnam",0,0,0,0,0,0,0,0,0,0,29,26,27,33,,,,,,,,
57,"04_E_32_26-003","EG-G-Zk-Rangampet","Thokada",0,0,0,0,68,124,0,0,0,0,0,0,0,0,,,,,,,,
58,"04_E_32_26-003","EG-G-Zk-Rangampet","Mukkinada",0,0,0,0,54,13,0,0,12,14,17,9,10,8,,,,,,,,
59,"04_E_32_26-003","EG-G-Zk-Rangampet","Pata Thungapadu",0,14,19,20,19,21,22,0,0,0,0,0,0,0,,,,,,,,
60,"04_E_32_26-003","EG-G-Zk-Rangampet","Bhupalapatnam",0,9,14,8,11,14,15,0,0,0,0,0,0,0,,,,,,,,
61,"04_E_32_26-003","EG-G-Zk-Rangampet","G.Yerrampalem",0,17,9,20,32,33,34,0,0,0,9,4,8,0,,,,,,,,
62,"04_E_32_26-003","EG-G-Zk-Rangampet","Kondagunturu",0,19,22,26,24,25,26,0,0,0,0,0,0,0,,,,,,,,
63,"04_E_32_26-003","EG-G-Zk-Rangampet","Namavaram",0,19,13,25,24,33,26,0,0,0,0,0,0,0,,,,,,,,
64,"04_E_32_26-003","EG-G-Zk-Rangampet","Rangampeta",0,49,29,27,28,29,38,0,0,0,0,0,0,0,,,,,,,,
65,"04_E_32_26-003","EG-G-Zk-Rangampet","Peda Rayavaram",0,2,,2,,2,0,0,0,0,0,0,0,0,,,,,,,,
66,"04_E_32_26-003","EG-G-Zk-Rangampet","Kotapadu",0,12,17,20,21,21,19,0,0,0,0,0,0,0,,,,,,,,
67,"04_E_32_26-003","EG-G-Zk-Rangampet","Venkatapuram",0,14,11,10,11,13,14,0,0,0,0,0,0,0,,,,,,,,
68,"04_E_32_26-003","EG-G-Zk-Rangampet","Subhadrampeta",0,7,9,7,8,11,10,0,0,0,0,0,0,0,,,,,,,,
69,"04_E_32_26-003","EG-G-Zk-Rangampet","Mukundavaram",0,6,8,6,6,12,13,0,0,0,0,0,0,0,,,,,,,,
