S.no,GW watershed  name,IWM Micro basin,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,Dependancy factor nca,Dependancy factor ca,Normal annual rainfall mm,Normal Monsoon rainfall mm,Normal Non-monsoon rainfall mm,Annual rainfall for the year of assessment mm,Monsoon rainfall for the year of assessment mm,Non-monsoon rainfall for the year of assessment mm
34,EG_G_LGD_ Kpuram,KAPILESWARAPURAM-MB,,,,,3.52,2.1,3.33,2.18,0,0,1221,759,462,1511,910,601
35,EG-G-LGD- Mummidivaram,MUMMIDIVARAMU-MB,,,,,2.85,1.68,2.9,1.04,0,0,1426,826,600,1511,910,601
36,EG-G-LGD- Pgannavaram,P_GANNAVARAM-MB,,,,,4.22,1.64,4.02,1.89,0,0,1361,811,550,1511,910,601
37,EG_G_LGD_ Ravulapalem,RAVULAPALEM-MB,,,,,4.99,2.55,5,2.23,0,0,1176,787,389,1511,910,601
38,EG_G_LGD_ Rayavaram,RAYAVARAM-MB,,,,,4.51,2.94,3.83,3.2,0,0,1193,755,438,1511,910,601
39,EG_G_LGD_ Razole,RAZOLE-MB,,,,,2.76,0.85,2.76,1.77,0,0,1355,793,562,1511,910,601
40,EG_G_LGD_ Rcpuram,RAMACHANDRAPURAM-MB,,,,,3.3,1.1,2.09,1.15,0,0,1255,763,492,1511,910,601
41,EG_G_GD_ Allavaram,ALLAVARAM-MB,,,,,2.94,2.34,3.35,2.31,0,0,1317,764,553,1511,910,601
42,EG-G-LGD- Ipolavaram,I.POLAVARAM-MB,,,,,2.41,1.12,2.62,0.8,0,0,1406,808,598,1511,910,601
43,EG_G_LGD_ Kajuluru,KAJULURU-MB,,,,,2.33,1.18,2.19,1.1,0,0,1187,650,537,1511,910,601
44,EG_G_LGD_Karapa,KARAPA-MB,,,,,2.59,0.92,2.35,1.15,0,0,1167,647,520,1511,910,601
45,EG_G_LGD_ Katrenikona,KATRENIKONA-MB,,,,,3.41,2.6,2.62,1.64,0,0,1481,824,657,1511,910,601
46,EG-G-LGD- Mamidikuduru,MAMIDIKUDURU-MB,,,,,2.22,1.42,2.6,1.3,0,0,1322,762,560,1511,910,601
47,EG_G_LGD_ Sakhinetipalli,SAKHINETIPALLE-MB,,,,,1.85,1.03,1.9,0.91,0,0,1582,922,660,1511,910,601
48,EG_G_LGD_ Tallarevu,THALLAREVU-MB,,,,,2.36,0.91,1.66,1.04,0,0,1412,738,674,1511,910,601
49,EG_G_LGD_ Upplguptam,UPPALAGUPTAM-MB,,,,,1.79,1.03,1.78,0.85,0,0,1320,748,572,1511,910,601
50,EG_G_LGD_Malkipurm,MALIKIPURAM-MB,,,,,2.31,1.01,2.22,1.04,0,0,1227,693,534,1511,910,601
51,EG-G-BkNe-Gangavaram,EG-G-BKNE-GANGAVARAM-MB,11.21,5.97,9.17,5.42,,,,,1,,1194,785,409,1510.71,910,600.76
52,EG-G-Sb- Vattigedda,EG-G-SB2-VATTIGEDDA-MB,4.7,1.57,3.94,1.58,,,,,1,,1202,810,392,1510.7117,909.95,600.76
