"GW Watershed Name","Iwm basin names","GW Village Name","iwm village names"
"EG-G-Pm- Kutravada","EG-G-PM-KUTRAVADA-MB","ARJUNALOVA","Arjunalova"
"EG-G-LGD- Mandapeta","MANDAPETA-MB","Artamuru","Arthamuru-1"
"EG-MHG-ThW-Tuni","EG-MHG-THW-TUNI-MB","Arthamoor","Arthamuru"
"EG_G_LGD_ Kajuluru","KAJULURU-MB","Aryavatam","Aryavatam-1"
"EG-MHG-Ylw- Eleswaram","EG-MHG-YLW-ELESWARAM-MB","Atchyutapuratrayam","Atchutapuratrayam-1"
"EG-MHG-ThE- Kotananduru","EG-MHG-THE-KOTANANDURU-MB","Atikivanipalem","Atikivaripalem"
"EG-G-LGD- Atreyapuram","ATREYAPURAM-MB","Atreyapuram","Atreyapuram-1"
"EG-MHG-Pp- Sankhavaram","EG-MHG-PP-SANKHAVARAM-MB","Avelthi","Avethi"
"EG_G_LGD_ Kothapeta","KOTHAPETA-MB","Avidi","Avidi"
"EG-MHG-Pp- Sankhavaram","EG-MHG-PP-SANKHAVARAM-MB","B.B.Patnam","Bapabhupalapatnam"
"EG-G-LGD- Mamidikuduru","MAMIDIKUDURU-MB","B.Doddavaram","Botlakurru Doddavaram"
"EG-MHG-Yle- Kirlampudi","EG-MHG-YLE-KIRLAMPUDI-MB","B.Kotturu","B. Kothuru"
"EG-G-BkNe-Gangavaram","EG-G-BKNE-GANGAVARAM-MB","B.Ramannapalem","B.Ramannapalem"
"EG_G_LGD_ Razole","RAZOLE-MB","B.Savaram","B. Savaram"
"EG-MHG-Ylw- Eleswaram","EG-MHG-YLW-ELESWARAM-MB","B.SIVARAMPATNAM","B.Sivaramapatnam"
"EG_G_LGD_ Alamuru","ALAMURU-MB","B.V.Lanka","Baduguvanilanka"
"EG-G-BkNe-Gangavaram","EG-G-BKNE-GANGAVARAM-MB","B.Velamakota","B. Velamalakota"
"EG-G-Pm- Kutravada","EG-G-PM-KUTRAVADA-MB","BABBILOVA","Babbilova"
"EG-MHG-Ylw- Eleswaram","EG-MHG-YLW-ELESWARAM-MB","Badadam","Badadam"
