,,,,Irrigated with Groundwater,,,,,,,,,,,,Irrigated with Mi tanks,,,,,,,,,,,,Irrigated with surface water,,,,,,,,,,,,,,,,,,,,,,,,
S.No,Watershed code,Watershed Name, Village Name,command area (ha),,,,"Non command area  (ha)
",,,,Poor GW Quality area,,,,command area,,,,"Non command area
 ",,,,Poor GW quality area,,,,command area,,,,"Non command area
 ",,,,Poor GW quality area,,,,,,,,,,,,,,,,
,,,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,,,,,,,,,,,,,
,,,,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,,,,,,,,,,,,,
15,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Gadala,42.8895184136,32.776203966,174.0348037232,174.0348037232,,,,,0,,0,0,100.1983002833,,,,,,,,0,0,0,0,280,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,4,East Godavari,16,Korukonda,4039160190120,19,Gadala
16,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Mirtipadu,,,,,,,,,0,,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,4,East Godavari,15,Sithanagaram,4039150150115,15,Mirtipadu
17,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Hundeswarapuram,91.707810603,91.707810603,,,,,,,0,,0,0,,,,,,,,,0,0,0,0,87,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,4,East Godavari,15,Sithanagaram,4039150160116,16,Hundeswarapuram
18,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Mulakalanka,148.3933630109,148.3933630109,,,,,,,0,,0,0,,,,,,,,,0,0,0,0,372,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,4,East Godavari,15,Sithanagaram,4039150170117,17,Mulakalanka
19,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,S.T.Rajapuram,8.0938891137,7.2845002023,5.2610279239,5.2610279239,,,,,0,,0,0,100.3035208418,,,,,,,,0,0,0,0,182,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,4,East Godavari,26,Rangampet,4042260010101,1,S.T.Rajapuram
20,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Vadisaleru,,,,,140.8336705787,140.428976123,3.6422501012,3.6422501012,0,,0,0,408.8628085795,,,,,,,,0,0,0,0,964,,338,338,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,4,East Godavari,26,Rangampet,4042260020102,2,Vadisaleru
21,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Nandarada,36.3496560097,22.6426547956,211.7320922703,211.7320922703,,,,,0,,0,0,357.470659652,,,,,,,,0,0,0,0,402,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,4,East Godavari,28,Rajanagaram,4041280010101,1,Nandarada
22,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Kalavacherla,365.370295427,233.2658842574,222.7883447997,222.7883447997,,,,,0,,0,0,347.5273168758,,,,,,,,0,0,0,0,522,,442,442,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,4,East Godavari,28,Rajanagaram,4041280020102,2,Kalavacherla
23,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Narendrapuram,259.2391744233,147.4140024282,230.3966005666,230.3966005666,,,,,0,,0,0,342.8692836908,,,,,,,,0,0,0,0,379,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,4,East Godavari,28,Rajanagaram,4041280030104,3,Narendrapuram
24,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Rajanagaram,119.4415216512,95.5078915419,4.5447187374,4.5447187374,,,,,0,,0,0,212.1165520032,,,,,,,,0,0,0,0,397,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,4,East Godavari,28,Rajanagaram,4041280040105,4,Rajanagaram
25,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,J.Agraharam,,,,,1.2140833671,0.4046944557,,,0,,0,0,,,,,7.9886685552,,,,0,0,0,0,,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,4,East Godavari,28,Rajanagaram,4041280050100,5,J.Agraharam
26,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Venkatapuram,1.6187778227,0,0,0,,,,,0,,0,0,61.0157830838,,,,,,,,0,0,0,0,184,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,4,East Godavari,28,Rajanagaram,4041280060105,6,Venkatapuram
27,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Velugubanda,87.1388101983,26.3051396196,108.08174828,108.08174828,,,,,0,,0,0,170.6556050182,,,,,,,,0,0,0,0,227,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,4,East Godavari,28,Rajanagaram,4041280070108,7,Velugubanda
28,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Palacherla,,,,,87.1388101983,26.3051396196,108.08174828,108.08174828,0,,0,0,48.7859166329,,,,,,,,0,0,0,0,297,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,4,East Godavari,28,Rajanagaram,4041280080110,8,Palacherla
29,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Kanavaram,,,,,101.9830028329,50.5868069607,365.0910562525,365.0910562525,0,,0,0,11.9587211655,,,,,,,,0,0,0,0,1610,,546,546,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,4,East Godavari,28,Rajanagaram,4041280100115,9,Kanavaram
30,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Torredu,324,324,216.511533792,216.511533792,,,,,0,,0,0,,,,,,,,,0,0,0,0,283,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,4,East Godavari,29,Rajahmundry,4041290010101,1,Torredu
31,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Kolamuru,115,115,56,56,,,,,0,,0,0,232.1934439498,,,,,,,,0,0,0,0,466,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,4,East Godavari,29,Rajahmundry,4041290020202,2,Kolamuru
32,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Kateru,89.0327802509,89.0327802509,46.9445568596,46.9445568596,,,,,0,,0,0,4.0469445569,4.0469445569,17.1995143667,17.1995143667,,,,,0,0,0,0,272,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,4,East Godavari,29,Rajahmundry,4041290030103,3,Kateru
33,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Rajahmundry(NMA),,,55.8478348847,55.8478348847,,,,,0,,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,4,East Godavari,29,Rajahmundry,40412900,4,Rajahmundry(NMA)
34,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Morampudi,,,,,81.3435855929,81.3435855929,3.6422501012,3.6422501012,0,,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,4,East Godavari,29,Rajahmundry,4041290050106,5,Morampudi
35,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,Hukumpeta(U),,,,,65.5605018211,65.5605018211,4.0469445569,4.0469445569,0,,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,Godavari,Buradakalva S,Buradakalva,04_E_31-3_28-004,EG-G-BkS-Rajanagaram,4,East Godavari,29,Rajahmundry,4041290060106,6,Hukumpeta(U)
