,,,,Command Area,,Non command Area,,Poor quality area,,
,,,,Residential,,Residential,,Residential,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total
64,04_E_32_26-003,EG-G-Zk-Rangampet,Mukundavaram,0,5,0,,,,5
65,04_E_32_26-003,EG-G-Zk-Rangampet,Elakolanu,0,0,0,5,,,5
66,04_E_32_26-003,EG-G-Zk-Rangampet,Pata Doddigunta,0,0,0,4,,,4
67,04_E_32_26-003,EG-G-Zk-Rangampet,Marripadi,0,4,0,,,,4
68,04_E_32_26-003,EG-G-Zk-Rangampet,Singampalli,0,3,0,,,,3
69,04_E_32_26-003,EG-G-Zk-Rangampet,Nallamilli,0,2,0,,,,2
70,04_E_32_26-003,EG-G-Zk-Rangampet,G.Dontamuru,0,4,0,,,,4
71,04_E_32_26-003,EG-G-Zk-Rangampet,Veerampalem,0,6,0,,,,6
72,04_E_32_26-003,EG-G-Zk-Rangampet,Balabhadrapuram,0,7,0,,,,7
73,04_E_32_26-003,EG-G-Zk-Rangampet,Kapavaram,0,5,0,,,,5
74,04_E_32_26-003,EG-G-Zk-Rangampet,Rangapuram,0,3,0,,,,3
75,04_E_32_26-003,EG-G-Zk-Rangampet,Tummalapalli,0,1,0,0,,,1
76,04_E_32_26-003,EG-G-Zk-Rangampet,Rallakandrika,0,0,0,0,,,0
77,04_E_32_26-003,EG-G-Zk-Rangampet,Illapalli,0,0,0,3,,,3
78,04_E_32_26-003,EG-G-Zk-Rangampet,Peda Brahmadevam,0,6,,,,,6
79,04_E_32_26-003,EG-G-Zk-Rangampet,G.Medapadu,0,0,,,,,0
80,04_E_32_26-003,EG-G-Zk-Rangampet,Surampalem,0,7,0,0,,,7
81,04_E_32_26-003,EG-G-Zk-Rangampet,Valutimmapuram,0,1,0,,,,1
82,04_E_32_26-003,EG-G-Zk-Rangampet,Anuru,0,3,0,,,,3
83,04_E_32_26-003,EG-G-Zk-Rangampet,Rayabhupalapatnam,0,6,0,,,,6
84,04_E_32_26-003,EG-G-Zk-Rangampet,Chinabrahmadevaram,0,6,0,,,,6
85,04_E_32_26-003,EG-G-Zk-Rangampet,Rameswaram,0,5,0,0,,,5
86,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Rajupalem,5,2,0,0,,,7
87,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Veeravaram,5,3,0,0,,,8
88,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Mukkollu,3,1,0,0,,,4
89,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Tamarada,0,2,0,0,,,2
90,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Burugupudi,0,1,0,0,,,1
91,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Krishnavaram,0,2,0,0,,,2
92,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Goneda,0,1,0,0,,,1
93,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Somavaram,0,1,0,0,,,1
94,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Kandarada,0,3,0,0,,,3
95,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Kumarapuram,0,0,0,0,,,0
96,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Jalluru,0,1,0,0,,,1
97,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Govindarajupalem,0,0,0,0,,,0
98,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Fakrudinpalem,0,1,0,0,,,1
99,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Mallam,0,2,0,0,,,2
100,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Virawada,0,0,0,0,,,0
101,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Veeraraghavapuram,0,0,0,0,,,0
102,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Mangiturti,0,0,0,0,,,0
103,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Kolanka,0,2,0,0,,,2
104,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Jammulapalli,0,1,0,0,,,1
105,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Pithapuram,0,1,0,0,,,1
106,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Madhavapuram,0,4,0,0,,,4
107,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Navakandrawada,0,2,0,0,,,2
108,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Agraharam ,0,2,0,0,,,2
109,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Chitrada,0,4,0,0,,,4
110,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Illindarada,0,3,0,0,,,3
111,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Somavaram,0,2,0,0,,,2
112,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Virava,0,3,0,0,,,3
113,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Kondevaram,0,2,0,0,,,2
114,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Yendpalli,0,2,0,0,,,2
115,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Vakatippa,0,21,0,0,,,21
116,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Kottapalli,0,1,0,0,,,1
117,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Kutukudumilli,0,1,0,0,,,1
118,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Subbampeta,0,1,0,0,,,1
119,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Gorsa,0,2,0,0,,,2
120,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Komaragiri,0,2,0,0,,,2
121,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Uppada,0,1,0,0,,,1
122,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Aminabada,0,1,0,0,,,1
123,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Chadalada,4,1,0,0,,,5
124,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Divili,6,3,0,0,,,9
125,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Gudiwada,2,3,0,0,,,5
126,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Gorinta,4,1,0,0,,,5
127,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,G.Ragampeta,2,2,0,0,,,4
128,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,J.Timmapuram,0,1,0,0,,,1
129,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Kandrakota,2,2,0,0,,,4
130,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Kattamuru,6,2,0,0,,,8
131,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Marlova,5,2,0,0,,,7
132,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Pulimeru,4,1,0,0,,,5
133,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Peddapuram,0,2,0,0,,,2
134,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Siriwada,0,15,0,0,,,15
135,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Tirupati,0,7,0,0,,,7
136,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Tadiparti,0,1,0,0,,,1
137,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Ulimeswram,0,1,0,0,,,1
138,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Vadlamuru,0,0,0,0,,,0
139,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Chandramampalli,0,0,0,0,,,0
140,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Mamilladoddi,0,0,0,0,,,0
141,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Boyanapudi,0,0,0,0,,,0
142,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,V.K.Rayapuram,0,0,0,0,,,0
143,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Unduru,0,0,0,0,,,0
144,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Koppavaram,0,0,0,0,,,0
145,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Panasapadu,0,0,0,0,,,0
146,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Valluru,0,0,0,0,,,0
147,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,PVemavaram,0,0,0,0,,,0
148,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Navara,0,0,0,0,,,0
149,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Pawara,0,1,0,0,,,1
150,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Jaggammagaripeta,0,0,0,0,,,0
151,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Madhavapatnam,0,0,0,0,,,0
152,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Samalkota,0,0,0,0,,,0
153,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Vetlapalem,0,0,0,0,,,0
154,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Pandravada,0,0,0,0,,,0
155,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Kapavaram,0,3,0,0,,,3
156,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,D.Pinjarikonda,0,0,0,1,,,1
157,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Kottampalem,0,0,0,1,,,1
158,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Jayachintalapadu,0,0,0,4,,,4
159,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Badadam,0,0,0,3,,,3
160,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Matlapadu,0,0,0,4,,,4
161,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Uppalapadu,0,0,0,3,,,3
162,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Gadichinnampalem,0,0,0,1,,,1
163,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,D.Krishnavaram,0,0,0,3,,,3
164,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Forest,0,0,0,1,,,1
165,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,MOLLERU,0,0,0,2,,,2
166,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,B.SIVARAMPATNAM,0,0,0,2,,,2
167,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,RAMULDEVAPURAM,0,0,0,1,,,1
168,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,LINGAVARAM,0,0,0,2,,,2
169,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,KATTUMILLI,0,0,0,2,,,2
170,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Forest,0,0,0,3,,,3
171,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Kalijolla,0,0,0,2,,,2
172,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Bhupatipalem,0,0,0,3,,,3
173,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Narendrapatnam,34,4,0,0,,,38
174,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Mamidada,21,2,0,0,,,23
175,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Irripaka,0,2,0,0,,,2
176,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Kandregula,11,4,0,0,,,15
177,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Govindapuram,25,1,0,0,,,26
178,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Rajapudi,3,2,0,0,,,5
179,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Manyanvaripalem,48,6,0,0,,,54
180,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Balabadrapuram,58,4,0,0,,,62
181,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Gollalagunta,33,1,0,0,,,34
182,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Seethampet,0,1,0,0,,,1
183,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Marripaka,59,5,0,0,,,64
184,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Guttappalem,23,3,0,0,,,26
185,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Tirupathirajupet,29,1,0,0,,,30
186,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,J.Kotturu,0,2,0,0,,,2
187,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Jaggampet,0,2,0,0,,,2
188,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Ramavaram,0,1,0,0,,,1
189,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Seethanagaram,0,5,0,0,,,5
190,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Katravulapalli,0,5,0,0,,,5
191,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Timmapuram,0,4,0,0,,,4
192,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Panduru,0,1,0,0,,,1
193,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Nemam,0,2,0,0,,,2
194,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Thammavaram,0,3,0,0,,,3
195,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Penumarthi,0,6,0,0,,,6
196,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Vakalapudi,0,2,0,0,,,2
197,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Ramanayyapet,0,1,0,0,,,1
198,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Sarpavaram,0,0,0,0,,,0
199,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Ganganapalle,0,0,0,0,,,0
