"sr.no",,,"village name","No. M.I.Tanks command area",,"Number of M.I.Tanks [Non command area]",,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,"Watershed code ","GW watershed name",,"Number","spread ha","Number","spread ha","Number","spread ha"
69,"04_E_32_26-003","EG-G-Zk-Rangampet","Nallamilli",13,42,,,,
70,"04_E_32_26-003","EG-G-Zk-Rangampet","G.Dontamuru",13,36,,,,
71,"04_E_32_26-003","EG-G-Zk-Rangampet","Veerampalem",4,13,,,,
72,"04_E_32_26-003","EG-G-Zk-Rangampet","Balabhadrapuram",8,24,,,,
73,"04_E_32_26-003","EG-G-Zk-Rangampet","Kapavaram",9,34,,,,
74,"04_E_32_26-003","EG-G-Zk-Rangampet","Rangapuram",8,32,,,,
75,"04_E_32_26-003","EG-G-Zk-Rangampet","Tummalapalli",2,7,,,,
76,"04_E_32_26-003","EG-G-Zk-Rangampet","Rallakandrika",,,1,4,,
77,"04_E_32_26-003","EG-G-Zk-Rangampet","Illapalli",,,4,28,,
78,"04_E_32_26-003","EG-G-Zk-Rangampet","Peda Brahmadevam",10,58,,,,
79,"04_E_32_26-003","EG-G-Zk-Rangampet","G.Medapadu",11,64,,,,
80,"04_E_32_26-003","EG-G-Zk-Rangampet","Surampalem",6,32,,,,
81,"04_E_32_26-003","EG-G-Zk-Rangampet","Valutimmapuram",7,82,,,,
82,"04_E_32_26-003","EG-G-Zk-Rangampet","Anuru",16,54,,,,
83,"04_E_32_26-003","EG-G-Zk-Rangampet","Rayabhupalapatnam",2,8,,,,
84,"04_E_32_26-003","EG-G-Zk-Rangampet","Chinabrahmadevaram",9,38,,,,
85,"04_E_32_26-003","EG-G-Zk-Rangampet","Rameswaram",,,,,,
86,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Rajupalem",,,,,,
87,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Veeravaram",,,,,,
88,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Mukkollu",,,,,,
89,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Tamarada",10,18,,,,
90,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Burugupudi",,,,,,
91,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Krishnavaram",,,,,,
92,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Goneda",,,,,,
93,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Somavaram",,,,,,
94,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kandarada",,,,,,
95,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kumarapuram",,,,,,
96,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Jalluru",,,,,,
97,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Govindarajupalem",,,,,,
98,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Fakrudinpalem",,,,,,
99,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Mallam",,,,,,
100,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Virawada",,,,,,
101,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Veeraraghavapuram",,,,,,
102,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Mangiturti",,,,,,
103,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kolanka",,,,,,
104,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Jammulapalli",,,,,,
105,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Pithapuram",,,,,,
106,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Madhavapuram",,,,,,
107,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Navakandrawada",,,,,,
108,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Agraharam ",,,,,,
109,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Chitrada",,,,,,
110,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Illindarada",,,,,,
