,,,,"CA","NCA","PQA",,,
,,,,"Industrial","Industrial","Industrial",,,
"Sr.no","Watershed code","GW watershed name","village name","Industrial Wells","Industrial Wells","Industrial Wells","Total ",,
280,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Sarlanka",0,0,,0,,
281,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Challeru",0,,,0,,
282,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Mulagapudi",0,,,0,,
283,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Chakirevulapalem",0,0,,0,,
284,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Tirupathammapet",0,,,0,,
285,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","A.Mallavaram",0,,,0,,
286,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Kondapalem",0,,,0,,
287,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Vondregula",0,0,,0,,
288,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Avelthi",0,,,0,,
289,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Velangi",0,,,0,,
290,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","D.Mallapuram",0,,,0,,
291,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","K.Polavaram",0,,,0,,
292,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Ankampalem",0,,,0,,
293,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","P.Mallapuram",0,,,0,,
294,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Yerakapuram",0,,,0,,
295,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Srungadara",0,,,0,,
296,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Siddivanipalem",0,,,0,,
297,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Rowtalapudi",0,,,0,,
298,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Gidijam",0,,,0,,
299,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","S.Agraharam",0,,,0,,
300,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Koduru",0,,,0,,
301,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Parupaka",0,,,0,,
302,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","P.Chamavaram",0,,,0,,
303,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","M.Chamavaram",0,,,0,,
304,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Srungavaram",0,,,0,,
305,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Gavarampeta",0,2,,2,,
306,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Jagannadhapuram",0,,,0,,
307,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Masampalli",0,,,0,,
308,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","G.Kottapalli",0,,,0,,
309,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","V.Venkatapuram",0,1,,1,,
310,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Sankavaram",0,8,,8,,
311,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Mandapam",0,,,0,,
312,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Annavaram",0,0,,0,,
313,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Jaggampeta",0,0,,0,,
314,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Ammirekhala",0,0,,0,,
315,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Anumarthi",0,0,,0,,
316,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Anantharam",0,0,,0,,
317,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","China Mallapuram",0,0,,0,,
318,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","D.Jagannadhapuram",0,,,0,,
319,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Billawaka",0,,,0,,
320,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Arempudi",0,0,,0,,
321,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Kondempudi",0,0,,0,,
322,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Achampeta",0,0,,0,,
323,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Gondhi",0,0,,0,,
324,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Rajaram",0,0,,0,,
325,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Konthangi",0,0,,0,,
326,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Nellipudi",0,0,,0,,
327,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Forest",0,0,,0,,
328,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Bendapudi",7,0,,7,,
329,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Gopalapatnam",3,0,,3,,
330,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","P.Agraharam",,0,,0,,
331,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Thondangi",6,0,,6,,
332,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Krishnapuram",3,0,,3,,
333,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Pydikonda",,0,,0,,
334,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Anuru",,0,,0,,
335,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Vemavaram",,0,,0,,
336,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Kona",,0,,0,,
337,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Srunagavruksham",0,0,,0,,
338,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","A.Kottapalli",4,0,,4,,
339,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","P.E.Ch.Palem",1,0,,1,,
340,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Ravikampudi",1,0,,1,,
341,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Kommanapalli",3,0,,3,,
342,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","A.V.Nagaram",3,0,,3,,
343,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Tetagunta",9,0,,9,,
344,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Hamsavaram",2,0,,2,,
345,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Thaduvai",0,0,,0,,
346,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Doparthi",0,0,,0,,
347,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Bavuruvaka",0,,,0,,
348,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","U.JNPuram",0,1,,1,,
349,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Vatangi",0,0,,0,,
350,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Chikilinta",0,0,,0,,
351,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Peddarellampadu",0,0,,0,,
352,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Peddagarangi",0,0,,0,,
353,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Karridevulapalem",0,0,,0,,
354,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Kondalingamparti",0,0,,0,,
355,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Kothapalli",0,0,,0,,
356,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Balajipadu",0,0,,0,,
357,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Vanchangi",0,0,,0,,
358,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Maredbaka",0,0,,0,,
359,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Vagurti",0,0,,0,,
360,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Vegipalem",0,0,,0,,
361,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Forest",0,0,,0,,
362,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Kondapalli",0,0,,0,,
363,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Bapannadara",0,0,,0,,
364,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Ulligogula",0,0,,0,,
365,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Buradakota",0,0,,0,,
366,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Girijanapuram",0,0,,0,,
367,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Mettuchinta",0,0,,0,,
368,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Pandavulapalem",0,0,,0,,
369,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Gokavaram",0,0,,0,,
370,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Vemulapalem",0,0,,0,,
371,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Peddipalem",0,0,,0,,
372,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Podurupaka",0,0,,0,,
373,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Totapalli",0,0,,0,,
374,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Chintaluru",0,0,,0,,
375,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Sarabhavaram",0,0,,0,,
376,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Uttarakanchi",0,0,,0,,
377,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Lompakalova",2,0,,2,,
378,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Peddasankarlapudi",1,0,,1,,
379,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Chinasankarlapudi",0,0,,0,,
380,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","P.Jagannadhapuram",2,0,,2,,
381,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Eluru",0,0,,0,,
382,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Vakapalli",0,0,,0,,
383,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Potuluru",0,1,,1,,
384,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Ommangi",0,7,,7,,
385,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Rachapalli",0,3,,3,,
386,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Dharmavaram",0,13,,13,,
387,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Prattipadu",0,15,,15,,
388,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Arelladhara",0,0,,0,,
389,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Gajjanapudi",2,0,,2,,
390,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","K.Kothapalli",0,0,,0,,
391,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Kothuru",0,0,,0,,
392,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","K.Mirthivada",0,0,,0,,
393,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Seemusuru",0,0,,0,,
394,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Thotakurapalem",0,0,,0,,
395,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Venkatanagaram",0,2,,2,,
396,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Vanthada",0,0,,0,,
397,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Yerakampalem",0,0,,0,,
398,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Veldurti",0,0,,0,,
399,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Dontamuru",2,0,,2,,
400,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Rayavaram",0,0,,0,,
401,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Kodavali",0,4,,4,,
402,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Chendurti",0,3,,3,,
403,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Vannepudi",0,2,,2,,
404,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Chinajaggannapeta",0,0,,0,,
405,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Tatiparti",0,4,,4,,
406,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Chebrolu",10,,,10,,
407,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Gollaprolu",56,0,,56,,
408,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Durgada",0,3,,3,,
409,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Laxmipuram",0,0,,0,,
410,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Mallavaram",2,0,,2,,
411,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Seethanagaram",0,0,,0,,
412,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Vijayanagaram",,0,,0,,
413,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Ramanakkapeta",30,0,,30,,
414,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Ponnada",0,0,,0,,
415,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Mulapeta",1,0,,1,,
416,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Amaravilli",23,0,,23,,
417,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Vazrakutam",0,0,,0,,
418,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Ramannapalem",0,0,,0,,
419,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Kathipudi",0,21,,21,,
420,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Seethaympeta",0,0,,0,,
421,"04_F_18_10-037","EG-MHG-Sg- Prathipadu","Forest",0,0,,0,,
422,"04_F_16-1_05-011","EG-MHG-ThE- Kotananduru","Bhimavarapukota",0,0,,0,,
423,"04_F_16-1_05-011","EG-MHG-ThE- Kotananduru","Surapurajupeta",1,0,,1,,
424,"04_F_16-1_05-011","EG-MHG-ThE- Kotananduru","Billananduru",1,0,,1,,
425,"04_F_16-1_05-011","EG-MHG-ThE- Kotananduru","Indugapalli",3,0,,3,,
426,"04_F_16-1_05-011","EG-MHG-ThE- Kotananduru","T.Jaganadhapuram",2,0,,2,,
427,"04_F_16-1_05-011","EG-MHG-ThE- Kotananduru","Boddavaram",2,0,,2,,
428,"04_F_16-1_05-011","EG-MHG-ThE- Kotananduru","Kakarapalli",7,0,,7,,
429,"04_F_16-1_05-011","EG-MHG-ThE- Kotananduru","K.O.Mallavaram",0,2,,2,,
430,"04_F_16-1_05-011","EG-MHG-ThE- Kotananduru","Rapaka",0,0,,0,,
431,"04_F_16-1_05-011","EG-MHG-ThE- Kotananduru","Dondavaka",0,1,,1,,
432,"04_F_16-1_05-011","EG-MHG-ThE- Kotananduru","D.Polavaram",5,0,,5,,
433,"04_F_16-1_05-011","EG-MHG-ThE- Kotananduru","Ch.Agraharam",0,0,,0,,
434,"04_F_16-1_05-011","EG-MHG-ThE- Kotananduru","Atikivanipalem",0,0,,0,,
435,"04_F_16-1_05-011","EG-MHG-ThE- Kotananduru","Nandivompu",0,0,,0,,
436,"04_F_16-1_05-011","EG-MHG-ThE- Kotananduru","Kothakonda",0,0,,0,,
437,"04_F_16-1_05-011","EG-MHG-ThE- Kotananduru","Maruvada",0,1,,1,,
438,"04_F_16-1_05-011","EG-MHG-ThE- Kotananduru","Rekavanipalem",0,0,,0,,
439,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Eleswaram",49,0,,49,,
440,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Ramanayyapeta",0,0,,0,,
441,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Lakshmipuram",0,0,,0,,
442,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Bhadravaram",0,0,,0,,
443,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Yerravaram",5,0,,5,,
444,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Peddanapalli",0,0,,0,,
445,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Peravaram",0,0,,0,,
446,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Tirumali",4,0,,4,,
447,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Lingamparthi",1,0,,1,,
448,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Siripuram",0,0,,0,,
449,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Jagapathinagaram",0,0,,0,,
450,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Chillangi",0,0,,0,,
451,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Ramakrishnapuram",0,0,,0,,
452,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Geddanapalli",0,0,,0,,
453,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Bhupalapatnam",0,0,,0,,
454,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","S.Timmapuram",0,0,,0,,
455,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","S.R.Palem",0,0,,0,,
456,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Velanka",0,0,,0,,
457,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Kirlampudi",0,0,,0,,
458,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Gokiwada",0,0,,0,,
459,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Raparti",1,0,,1,,
460,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","J.R.Puram",0,0,,0,,
461,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","B.Kotturu",1,0,,1,,
462,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Bhogapuram",1,0,,1,,
463,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Isukapalli",1,0,,1,,
464,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Nagulapalli",12,0,,12,,
465,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Kothurupadu",0,0,,0,,
466,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Puligogulapadu",0,0,,0,,
467,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Kothurupadu",0,0,,0,,
468,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Sarampedapadu",0,0,,0,,
469,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Kimmuru",0,0,,0,,
470,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Gontuvanipalem",0,0,,0,,
471,"04_F_19-5_19-016","EG-MHG-Yle- Kirlampudi","Forest",0,0,,0,,
472,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","Diguvasivada",,1,,1,,
473,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","Surampeta",,,,0,,
474,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","K.E.Ch.Palem",1,,,1,,
475,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","L.D.Peta",,,,0,,
476,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","Kotananduru",17,,,17,,
477,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","K.Mallavaram",1,,,1,,
478,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","Arthamoor",5,,,5,,
479,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","K.Agraharam",1,,,1,,
480,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","Kottam",,,,0,,
481,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","Venkatanagaram",,,,0,,
482,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","R.Venkatapuram",,,,0,,
483,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","Yoguvsivada  ",,,,0,,
484,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","Y.Dharapalli",,,,0,,
485,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","Gangavaram",,,,0,,
486,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","Rajavaram",,,,0,,
487,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","R.K.Puram",,,,0,,
488,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","Dharakonda",,,,0,,
489,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","Diguava Dharapalli",,,,0,,
490,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","Allipudi",5,,,5,,
491,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","Kolimeru",1,,,1,,
492,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","N.Suravaram",,,,0,,
493,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","Talluru",,1,,1,,
494,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","Kavalapadu",,,,0,,
495,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","Kothuru",,,,0,,
496,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","Chepuru",,,,0,,
497,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","Chamavaram",,,,0,,
498,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","Valluru",1,1,,2,,
499,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","S.Annavaram",,,,0,,
500,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","N.N.Patnam",,1,,1,,
501,"04_F_16-2_06-017","EG-MHG-ThW-Tuni","Tuni",56,,,56,,
502,"04_E_34_33-002","EG-G-LGD- Anparthi","Mahendrawada",2,0,,2,,
503,"04_E_34_33-002","EG-G-LGD- Anparthi","Polamuru",3,0,,3,,
504,"04_E_34_33-002","EG-G-LGD- Anparthi","Ramavaram",3,0,,3,,
505,"04_E_34_33-002","EG-G-LGD- Anparthi","Kutukuluru",13,0,,13,,
506,"04_E_34_33-002","EG-G-LGD- Anparthi","Pedaparti",0,0,,0,,
507,"04_E_34_33-002","EG-G-LGD- Anparthi","Pulagurta",1,0,,1,,
508,"04_E_34_34-005","EG-G-LGD- Biccavole","Biccavolu",25,0,,25,,
509,"04_E_34_34-005","EG-G-LGD- Biccavole","Ulapalli",4,0,,4,,
510,"04_E_34_34-005","EG-G-LGD- Biccavole","Pandalapaka",14,0,,14,,
511,"04_E_34_34-005","EG-G-LGD- Biccavole","Tossipudi",1,0,,1,,
512,"04_E_34_34-005","EG-G-LGD- Biccavole","Komaripalem",15,0,,15,,
513,"04_E_34_34-005","EG-G-LGD- Biccavole","Konkuduru",10,0,,10,,
514,"04_E_34_34-005","EG-G-LGD- Biccavole","Molluru",0,0,,0,,
515,"04_E_34_34-005","EG-G-LGD- Biccavole","Arikirevula",0,0,,0,,
516,"04_E_34_31-002","EG-G-LGD- Kadiam","Damireddypalli",1,0,,1,,
517,"04_E_34_31-002","EG-G-LGD- Kadiam","Veeravaram",1,0,,1,,
518,"04_E_34_31-002","EG-G-LGD- Kadiam","Muramanda",8,0,,8,,
519,"04_E_34_31-002","EG-G-LGD- Kadiam","Dulla",15,0,,15,,
520,"04_E_34_23-007","EG-G-LGD- Kakinada","Kovvur",2,0,,2,,
521,"04_E_34_23-007","EG-G-LGD- Kakinada","Thurangi",17,0,,17,,
522,"04_E_34_32-013","EG-G-LGD- Mandapeta","Mernipadu",1,,,1,,
523,"04_E_34_32-013","EG-G-LGD- Mandapeta","Velagatodu",3,,,3,,
524,"04_E_34_32-013","EG-G-LGD- Mandapeta","Palatodu",1,,,1,,
525,"04_E_34_32-013","EG-G-LGD- Mandapeta","Ippanapadu",5,,,5,,
526,"04_E_34_32-013","EG-G-LGD- Mandapeta","Tapeswram",16,,,16,,
527,"04_E_34_32-013","EG-G-LGD- Mandapeta","Artamuru",17,,,17,,
528,"04_E_34_32-013","EG-G-LGD- Mandapeta","Maredubaka",4,,,4,,
529,"04_E_34_32-013","EG-G-LGD- Mandapeta","Mandapeta",104,,,104,,
530,"04_E_34_32-013","EG-G-LGD- Mandapeta","Yeditha",129,,,129,,
531,"04_E_34_35-003","EG-G-LGD- Pedapudi","G.Mamidada",19,,,19,,
532,"04_E_34_35-003","EG-G-LGD- Pedapudi","Peddada",1,,,1,,
533,"04_E_34_35-003","EG-G-LGD- Pedapudi","Pedapudi",11,,,11,,
534,"04_E_34_35-003","EG-G-LGD- Pedapudi","Domada",2,,,2,,
535,"04_E_34_35-003","EG-G-LGD- Pedapudi","Karakuduru",9,,,9,,
536,"04_E_34_35-003","EG-G-LGD- Pedapudi","Kaikavolu",8,,,8,,
537,"04_E_34_35-003","EG-G-LGD- Pedapudi","Kumarapriyam",1,,,1,,
538,"04_E_34_35-003","EG-G-LGD- Pedapudi","Puttakonda",0,,,0,,
539,"04_E_34_35-003","EG-G-LGD- Pedapudi","Gandredu",2,,,2,,
540,"04_E_34_35-003","EG-G-LGD- Pedapudi","Rajupalem",1,,,1,,
541,"04_E_34_35-003","EG-G-LGD- Pedapudi","Pyna",2,,,2,,
542,"04_E_34_35-003","EG-G-LGD- Pedapudi","Vendra",2,,,2,,
543,"04_E_34_35-003","EG-G-LGD- Pedapudi","Chintapalli",1,,,1,,
544,"04_E_34_35-003","EG-G-LGD- Pedapudi","Sampara",5,,,5,,
545,"04_E_34_35-003","EG-G-LGD- Pedapudi","Kandregula",7,,,7,,
546,"04_E_34_35-003","EG-G-LGD- Pedapudi","Shahapuram",2,,,2,,
547,"04_E_34_49-005","EG-G-LGD- Ainavilli","Nedunuru",14,,,14,,
548,"04_E_34_49-005","EG-G-LGD- Ainavilli","S.Savaram",,,,0,,
549,"04_E_34_49-005","EG-G-LGD- Ainavilli","Vilasa",4,,,4,,
550,"04_E_34_49-005","EG-G-LGD- Ainavilli","Siripalli",8,,,8,,
551,"04_E_34_49-005","EG-G-LGD- Ainavilli","Madupalli",1,,,1,,
552,"04_E_34_49-005","EG-G-LGD- Ainavilli","Chintanalanka",,,,0,,
553,"04_E_34_49-005","EG-G-LGD- Ainavilli","Veluvalapalli",9,,,9,,
554,"04_E_34_49-005","EG-G-LGD- Ainavilli","Ainvilli",11,,,11,,
555,"04_E_34_49-005","EG-G-LGD- Ainavilli","Veeravallipalem",,,,0,,
556,"04_E_34_49-005","EG-G-LGD- Ainavilli","K.Jagannadhapuram",5,,,5,,
557,"04_E_34_49-005","EG-G-LGD- Ainavilli","Tottaramudi",6,,,6,,
558,"04_E_34_49-005","EG-G-LGD- Ainavilli","Sanapallilanka",9,,,9,,
559,"04_E_34_49-005","EG-G-LGD- Ainavilli","Kondukuduru",,,,0,,
560,"04_E_34_49-005","EG-G-LGD- Ainavilli","Potukurru",14,,,14,,
561,"04_E_34_49-005","EG-G-LGD- Ainavilli","Krapa",8,,,8,,
562,"04_E_34_49-005","EG-G-LGD- Ainavilli","Magham",8,,,8,,
563,"04_E_34_49-005","EG-G-LGD- Ainavilli","Kotipallibhaga",,,,0,,
564,"04_E_34_42-011","EG_G_LGD_ Alamuru","B.V.Lanka",1,,,1,,
565,"04_E_34_42-011","EG_G_LGD_ Alamuru","Madiki",3,,,3,,
566,"04_E_34_42-011","EG_G_LGD_ Alamuru","Choppella",3,,,3,,
567,"04_E_34_42-011","EG_G_LGD_ Alamuru","Narsipudi",3,,,3,,
568,"04_E_34_42-011","EG_G_LGD_ Alamuru","Modukurru",3,,,3,,
569,"04_E_34_42-011","EG_G_LGD_ Alamuru","Gummileru",1,,,1,,
570,"04_E_34_42-011","EG_G_LGD_ Alamuru","Navabpeta",1,,,1,,
571,"04_E_34_42-011","EG_G_LGD_ Alamuru","Jonnada",4,,,4,,
572,"04_E_34_42-011","EG_G_LGD_ Alamuru","Penikeru",1,,,1,,
573,"04_E_34_42-011","EG_G_LGD_ Alamuru","Kalavacherla",0,,,0,,
574,"04_E_34_42-011","EG_G_LGD_ Alamuru","Aalamuru",14,,,14,,
