,,,,"CA","NCA","PQA",,,
,,,,"Industrial","Industrial","Industrial",,,
"Sr.no","Watershed code","GW watershed name","village name","Industrial Wells","Industrial Wells","Industrial Wells","Total ",,
68,"04_E_32_26-003","EG-G-Zk-Rangampet","Singampalli",5,,,5,,
69,"04_E_32_26-003","EG-G-Zk-Rangampet","Nallamilli",3,,,3,,
70,"04_E_32_26-003","EG-G-Zk-Rangampet","G.Dontamuru",13,,,13,,
71,"04_E_32_26-003","EG-G-Zk-Rangampet","Veerampalem",2,,,2,,
72,"04_E_32_26-003","EG-G-Zk-Rangampet","Balabhadrapuram",36,,,36,,
73,"04_E_32_26-003","EG-G-Zk-Rangampet","Kapavaram",12,,,12,,
74,"04_E_32_26-003","EG-G-Zk-Rangampet","Rangapuram",1,,,1,,
75,"04_E_32_26-003","EG-G-Zk-Rangampet","Tummalapalli",0,0,,0,,
76,"04_E_32_26-003","EG-G-Zk-Rangampet","Rallakandrika",0,0,,0,,
77,"04_E_32_26-003","EG-G-Zk-Rangampet","Illapalli",0,1,,1,,
78,"04_E_32_26-003","EG-G-Zk-Rangampet","Peda Brahmadevam",4,,,4,,
79,"04_E_32_26-003","EG-G-Zk-Rangampet","G.Medapadu",0,,,0,,
80,"04_E_32_26-003","EG-G-Zk-Rangampet","Surampalem",4,0,,4,,
81,"04_E_32_26-003","EG-G-Zk-Rangampet","Valutimmapuram",8,,,8,,
82,"04_E_32_26-003","EG-G-Zk-Rangampet","Anuru",6,,,6,,
83,"04_E_32_26-003","EG-G-Zk-Rangampet","Rayabhupalapatnam",13,,,13,,
84,"04_E_32_26-003","EG-G-Zk-Rangampet","Chinabrahmadevaram",2,,,2,,
85,"04_E_32_26-003","EG-G-Zk-Rangampet","Rameswaram",0,0,,0,,
86,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Rajupalem",0,0,,0,,
87,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Veeravaram",0,0,,0,,
88,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Mukkollu",0,0,,0,,
89,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Tamarada",0,0,,0,,
90,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Burugupudi",0,0,,0,,
91,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Krishnavaram",0,0,,0,,
92,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Goneda",0,0,,0,,
93,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Somavaram",0,0,,0,,
94,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kandarada",0,0,,0,,
95,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kumarapuram",0,0,,0,,
96,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Jalluru",0,0,,0,,
97,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Govindarajupalem",0,0,,0,,
98,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Fakrudinpalem",0,0,,0,,
99,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Mallam",0,0,,0,,
100,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Virawada",0,0,,0,,
101,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Veeraraghavapuram",0,0,,0,,
102,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Mangiturti",0,0,,0,,
103,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kolanka",0,0,,0,,
104,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Jammulapalli",0,0,,0,,
105,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Pithapuram",0,0,,0,,
