,,,Command area,,,,,,,,,,,,Non-Command area,,,,,,,,0,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
29,EG-MHG-Pp- Sankhavaram,DW,2259,100,30,90,875,32,120,240,0,12,120,240,2259,15,40,90,875,6,120,240,0,4,120,240,0,,40,90,,,,,0,,120,240
30,EG-MHG-Pp- Sankhavaram,DW+PS/DCB,4009,100,30,90,1531,32,120,240,0,12,120,240,4009,15,45,88,1531,6,120,240,0,4,120,240,0,,40,90,,,,,0,,120,240
31,EG-MHG-Pp- Sankhavaram,BWs,10787,100,30,90,6778,32,120,240,5248,12,120,240,10787,15,45,90,6778,6,120,240,5248,4,120,240,5248,,40,90,,,,,5248,,120,240
32,EG-MHG-Pp- Sankhavaram,STW,15306,100,30,90,7289,32,120,240,7289,12,120,240,15306,15,40,90,7289,6,120,240,7289,4,120,240,7289,,40,90,,,,,7289,,120,240
33,EG-MHG-Pp- Sankhavaram,MTW,23032,100,30,90,8746,32,120,240,8746,12,120,240,23032,15,40,90,8746,6,120,240,8746,4,120,240,8746,,40,90,,,,,8746,,120,240
34,EG-MHG-Pp- Sankhavaram,Deep TW,30612,100,30,90,11662,32,120,240,11662,12,120,240,30612,15,40,90,11662,6,120,240,11662,4,120,240,11662,,40,90,,,,,11662,,120,240
35,EG-MHG-Pp- Sankhavaram,Filter Points,13265,100,30,90,8309,32,120,240,6414,12,120,240,13265,15,40,90,8309,6,120,240,6414,4,120,240,6414,,40,90,,,,,6414,,120,240
36,EG-MHG-Sg- Prathipadu,DW,2259,100,30,90,875,32,120,240,0,12,120,240,2259,15,40,90,874.6355685,6,120,240,0,4,120,240,0,,40,90,,,,,0,,120,240
37,EG-MHG-Sg- Prathipadu,DW+PS/DCB,4009,100,30,90,1531,32,120,240,0,12,120,240,4009,15,45,88,1530.612245,6,120,240,0,4,120,240,0,,40,90,,,,,0,,120,240
38,EG-MHG-Sg- Prathipadu,BWs,10787,100,30,90,6778,32,120,240,5248,12,120,240,10787,15,45,90,6778.425656,6,120,240,5247.813411,4,120,240,5247.813411,,40,90,,,,,5247.813411,,120,240
39,EG-MHG-Sg- Prathipadu,STW,15306,100,30,90,7289,32,120,240,7289,12,120,240,15306,15,40,90,7288.629738,6,120,240,7288.629738,4,120,240,7288.629738,,40,90,,,,,7288.629738,,120,240
40,EG-MHG-Sg- Prathipadu,MTW,23032,100,30,90,8746,32,120,240,8746,12,120,240,23032,15,40,90,8746.355685,6,120,240,8746.355685,4,120,240,8746.355685,,40,90,,,,,8746.355685,,120,240
41,EG-MHG-Sg- Prathipadu,Deep TW,30612,100,30,90,11662,32,120,240,11662,12,120,240,30612,15,40,90,11661.80758,6,120,240,11661.80758,4,120,240,11661.80758,,40,90,,,,,11661.80758,,120,240
42,EG-MHG-Sg- Prathipadu,Filter Points,13265,100,30,90,8309,32,120,240,6414,12,120,240,13265,15,40,90,8309.037901,6,120,240,6413.994169,4,120,240,6413.994169,,40,90,,,,,6413.994169,,120,240
43,EG-MHG-ThE- Kotananduru,DW,2259,100,30,90,875,32,120,240,0,12,120,240,2259,15,40,90,875,6,120,240,0,4,120,240,0,,40,90,,,,,0,,120,240
44,EG-MHG-ThE- Kotananduru,DW+PS/DCB,4009,100,30,90,1531,32,120,240,0,12,120,240,4009,15,45,88,1531,6,120,240,0,4,120,240,0,,40,90,,,,,0,,120,240
45,EG-MHG-ThE- Kotananduru,BWs,10787,100,30,90,6778,32,120,240,5248,12,120,240,10787,15,45,90,6778,6,120,240,5248,4,120,240,5248,,40,90,,,,,5248,,120,240
46,EG-MHG-ThE- Kotananduru,STW,15306,100,30,90,7289,32,120,240,7289,12,120,240,15306,15,40,90,7289,6,120,240,7289,4,120,240,7289,,40,90,,,,,7289,,120,240
47,EG-MHG-ThE- Kotananduru,MTW,23032,100,30,90,8746,32,120,240,8746,12,120,240,23032,15,40,90,8746,6,120,240,8746,4,120,240,8746,,40,90,,,,,8746,,120,240
48,EG-MHG-ThE- Kotananduru,Deep TW,30612,100,30,90,11662,32,120,240,11662,12,120,240,30612,15,40,90,11662,6,120,240,11662,4,120,240,11662,,40,90,,,,,11662,,120,240
49,EG-MHG-ThE- Kotananduru,Filter Points,13265,100,30,90,8309,32,120,240,6414,12,120,240,13265,15,40,90,8309,6,120,240,6414,4,120,240,6414,,40,90,,,,,6414,,120,240
50,EG-MHG-Yle- Kirlampudi,DW,2259,100,30,90,875,32,120,240,0,12,120,240,2259,15,40,90,875,6,120,240,0,4,120,240,0,,40,90,,,,,0,,120,240
51,EG-MHG-Yle- Kirlampudi,DW+PS/DCB,4009,100,30,90,1531,32,120,240,0,12,120,240,4009,15,45,88,1531,6,120,240,0,4,120,240,0,,40,90,,,,,0,,120,240
52,EG-MHG-Yle- Kirlampudi,BWs,10787,100,30,90,6778,32,120,240,5248,12,120,240,10787,15,45,90,6778,6,120,240,5248,4,120,240,5248,,40,90,,,,,5248,,120,240
