,,,Command area,,,,,,,,,,,,Non-Command area,,,,,,,,0,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
116,EG_G_LGD_ Alamuru,STW,15306,100,30,60,7289,32,120,245,7289,12,180,180,15743,15,30,90,5102,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
117,EG_G_LGD_ Alamuru,MTW,23032,100,30,60,8746,32,120,245,8746,12,180,180,21866,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
118,EG_G_LGD_ Alamuru,Deep TW,30612,100,30,60,11662,32,120,245,11662,12,180,180,29155,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
119,EG_G_LGD_ Alamuru,Filter Points,13265,100,30,60,8309,32,120,245,6414,12,180,180,14577,15,30,90,4810,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
120,EG-G-LGD- Amalapuram,DW,2259,100,30,60,875,32,120,245,0,12,180,180,0,15,40,90,583,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
121,EG-G-LGD- Amalapuram,DW+PS/DCB,4009,100,30,60,1531,32,120,245,0,12,180,180,7872,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
122,EG-G-LGD- Amalapuram,BWs,10787,100,30,60,6778,32,120,245,5248,12,180,180,12828,15,30,90,3644,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
123,EG-G-LGD- Amalapuram,STW,15306,100,30,60,7289,32,120,245,7289,12,180,180,15743,15,30,90,5102,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
124,EG-G-LGD- Amalapuram,MTW,23032,100,30,60,8746,32,120,245,8746,12,180,180,21866,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
125,EG-G-LGD- Amalapuram,Deep TW,30612,100,30,60,11662,32,120,245,11662,12,180,180,29155,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
126,EG-G-LGD- Amalapuram,Filter Points,13265,100,30,60,8309,32,120,245,6414,12,180,180,14577,15,30,90,4810,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
127,EGG_LGD_ Ambajipeta,DW,2259,100,30,60,875,32,120,245,0,12,180,180,0,15,40,90,583,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
128,EGG_LGD_ Ambajipeta,DW+PS/DCB,4009,100,30,60,1531,32,120,245,0,12,180,180,7872,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
129,EGG_LGD_ Ambajipeta,BWs,10787,100,30,60,6778,32,120,245,5248,12,180,180,12828,15,30,90,3644,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
130,EGG_LGD_ Ambajipeta,STW,15306,100,30,60,7289,32,120,245,7289,12,180,180,15743,15,30,90,5102,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
131,EGG_LGD_ Ambajipeta,MTW,23032,100,30,60,8746,32,120,245,8746,12,180,180,21866,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
132,EGG_LGD_ Ambajipeta,Deep TW,30612,100,30,60,11662,32,120,245,11662,12,180,180,29155,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
133,EGG_LGD_ Ambajipeta,Filter Points,13265,100,30,60,8309,32,120,245,6414,12,180,180,14577,15,30,90,4810,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
134,EG-G-LGD- Atreyapuram,DW,2259,100,30,60,875,32,120,245,0,12,180,180,0,15,40,90,583,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
135,EG-G-LGD- Atreyapuram,DW+PS/DCB,4009,100,30,60,1531,32,120,245,0,12,180,180,7872,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
136,EG-G-LGD- Atreyapuram,BWs,10787,100,30,60,6778,32,120,245,5248,12,180,180,12828,15,30,90,3644,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
137,EG-G-LGD- Atreyapuram,STW,15306,100,30,60,7289,32,120,245,7289,12,180,180,15743,15,30,90,5102,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
138,EG-G-LGD- Atreyapuram,MTW,23032,100,30,60,8746,32,120,245,8746,12,180,180,21866,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
139,EG-G-LGD- Atreyapuram,Deep TW,30612,100,30,60,11662,32,120,245,11662,12,180,180,29155,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
140,EG-G-LGD- Atreyapuram,Filter Points,13265,100,30,60,8309,32,120,245,6414,12,180,180,14577,15,30,90,4810,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
141,EG_G_LGD_ Kgangavaram,DW,2259,100,30,60,875,32,120,245,0,12,180,180,0,15,40,90,583,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
142,EG_G_LGD_ Kgangavaram,DW+PS/DCB,4009,100,30,60,1531,32,120,245,0,12,180,180,7872,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
143,EG_G_LGD_ Kgangavaram,BWs,10787,100,30,60,6778,32,120,245,5248,12,180,180,12828,15,30,90,3644,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
144,EG_G_LGD_ Kgangavaram,STW,15306,100,30,60,7289,32,120,245,7289,12,180,180,15743,15,30,90,5102,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
145,EG_G_LGD_ Kgangavaram,MTW,23032,100,30,60,8746,32,120,245,8746,12,180,180,21866,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
146,EG_G_LGD_ Kgangavaram,Deep TW,30612,100,30,60,11662,32,120,245,11662,12,180,180,29155,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
147,EG_G_LGD_ Kgangavaram,Filter Points,13265,100,30,60,8309,32,120,245,6414,12,180,180,14577,15,30,90,4810,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
148,EG_G_LGD_ Kothapeta,DW,3936,100,30,60,1458,32,120,245,3936,12,180,180,0,15,40,90,583,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
149,EG_G_LGD_ Kothapeta,DW+PS/DCB,5831,100,30,60,2915,32,120,245,5831,12,180,180,7872,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
150,EG_G_LGD_ Kothapeta,BWs,13120,100,30,60,4373,32,120,245,13120,12,180,180,12828,15,30,90,3644,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
151,EG_G_LGD_ Kothapeta,STW,17493,100,30,60,5831,32,120,245,17493,12,180,180,15743,15,30,90,5102,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
152,EG_G_LGD_ Kothapeta,MTW,23324,100,30,60,7289,32,120,245,23324,12,180,180,21866,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
153,EG_G_LGD_ Kothapeta,Deep TW,34985,100,30,60,7289,32,120,245,34985,12,180,180,29155,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
154,EG_G_LGD_ Kothapeta,Filter Points,8746,100,30,60,4373,32,120,245,11662,12,180,180,14577,15,30,90,4810,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
155,EG_G_LGD_ Kpuram,DW,2259,100,30,60,875,32,120,245,0,12,180,180,0,15,40,90,583,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
156,EG_G_LGD_ Kpuram,DW+PS/DCB,4009,100,30,60,1531,32,120,245,0,12,180,180,7872,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
157,EG_G_LGD_ Kpuram,BWs,10787,100,30,60,6778,32,120,245,5248,12,180,180,12828,15,30,90,3644,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
158,EG_G_LGD_ Kpuram,STW,15306,100,30,60,7289,32,120,245,7289,12,180,180,15743,15,30,90,5102,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
159,EG_G_LGD_ Kpuram,MTW,23032,100,30,60,8746,32,120,245,8746,12,180,180,21866,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
160,EG_G_LGD_ Kpuram,Deep TW,30612,100,30,60,11662,32,120,245,11662,12,180,180,29155,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
161,EG_G_LGD_ Kpuram,Filter Points,13265,100,30,60,8309,32,120,245,6414,12,180,180,14577,15,30,90,4810,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
162,EG-G-LGD- Mummidivaram,DW,2259,100,30,60,875,32,120,245,0,12,180,180,0,15,40,90,583,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
163,EG-G-LGD- Mummidivaram,DW+PS/DCB,4009,100,30,60,1531,32,120,245,0,12,180,180,7872,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
164,EG-G-LGD- Mummidivaram,BWs,10787,100,30,60,6778,32,120,245,5248,12,180,180,12828,15,30,90,3644,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
165,EG-G-LGD- Mummidivaram,STW,15306,100,30,60,7289,32,120,245,7289,12,180,180,15743,15,30,90,5102,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
166,EG-G-LGD- Mummidivaram,MTW,23032,100,30,60,8746,32,120,245,8746,12,180,180,21866,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
167,EG-G-LGD- Mummidivaram,Deep TW,30612,100,30,60,11662,32,120,245,11662,12,180,180,29155,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
168,EG-G-LGD- Mummidivaram,Filter Points,13265,100,30,60,8309,32,120,245,6414,12,180,180,14577,15,30,90,4810,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
169,EG-G-LGD- Pgannavaram,DW,2259,100,30,60,875,32,120,245,0,12,180,180,0,15,40,90,583,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
170,EG-G-LGD- Pgannavaram,DW+PS/DCB,4009,100,30,60,1531,32,120,245,0,12,180,180,7872,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
171,EG-G-LGD- Pgannavaram,BWs,10787,100,30,60,6778,32,120,245,5248,12,180,180,12828,15,30,90,3644,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
172,EG-G-LGD- Pgannavaram,STW,15306,100,30,60,7289,32,120,245,7289,12,180,180,15743,15,30,90,5102,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
173,EG-G-LGD- Pgannavaram,MTW,23032,100,30,60,8746,32,120,245,8746,12,180,180,21866,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
174,EG-G-LGD- Pgannavaram,Deep TW,30612,100,30,60,11662,32,120,245,11662,12,180,180,29155,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
175,EG-G-LGD- Pgannavaram,Filter Points,13265,100,30,60,8309,32,120,245,6414,12,180,180,14577,15,30,90,4810,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
176,EG_G_LGD_ Ravulapalem,DW,2259,100,30,60,875,32,120,245,0,12,180,180,0,15,40,90,583,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
177,EG_G_LGD_ Ravulapalem,DW+PS/DCB,4009,100,30,60,1531,32,120,245,0,12,180,180,7872,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
178,EG_G_LGD_ Ravulapalem,BWs,10787,100,30,60,6778,32,120,245,5248,12,180,180,12828,15,30,90,3644,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
179,EG_G_LGD_ Ravulapalem,STW,15306,100,30,60,7289,32,120,245,7289,12,180,180,15743,15,30,90,5102,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
180,EG_G_LGD_ Ravulapalem,MTW,23032,100,30,60,8746,32,120,245,8746,12,180,180,21866,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
181,EG_G_LGD_ Ravulapalem,Deep TW,30612,100,30,60,11662,32,120,245,11662,12,180,180,29155,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
182,EG_G_LGD_ Ravulapalem,Filter Points,13265,100,30,60,8309,32,120,245,6414,12,180,180,14577,15,30,90,4810,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
183,EG_G_LGD_ Rayavaram,DW,2259,100,30,60,875,32,120,245,0,12,180,180,0,15,40,90,583,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
184,EG_G_LGD_ Rayavaram,DW+PS/DCB,4009,100,30,60,1531,32,120,245,0,12,180,180,7872,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
185,EG_G_LGD_ Rayavaram,BWs,10787,100,30,60,6778,32,120,245,5248,12,180,180,12828,15,30,90,3644,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
186,EG_G_LGD_ Rayavaram,STW,15306,100,30,60,7289,32,120,245,7289,12,180,180,15743,15,30,90,5102,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
187,EG_G_LGD_ Rayavaram,MTW,23032,100,30,60,8746,32,120,245,8746,12,180,180,21866,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
188,EG_G_LGD_ Rayavaram,Deep TW,30612,100,30,60,11662,32,120,245,11662,12,180,180,29155,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
189,EG_G_LGD_ Rayavaram,Filter Points,13265,100,30,60,8309,32,120,245,6414,12,180,180,14577,15,30,90,4810,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
190,EG_G_LGD_ Razole,DW,2259,100,30,60,875,32,120,245,0,12,180,180,0,15,40,90,583,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
191,EG_G_LGD_ Razole,DW+PS/DCB,4009,100,30,60,1531,32,120,245,0,12,180,180,7872,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
192,EG_G_LGD_ Razole,BWs,10787,100,30,60,6778,32,120,245,5248,12,180,180,12828,15,30,90,3644,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
193,EG_G_LGD_ Razole,STW,15306,100,30,60,7289,32,120,245,7289,12,180,180,15743,15,30,90,5102,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
194,EG_G_LGD_ Razole,MTW,23032,100,30,60,8746,32,120,245,8746,12,180,180,21866,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
195,EG_G_LGD_ Razole,Deep TW,30612,100,30,60,11662,32,120,245,11662,12,180,180,29155,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
196,EG_G_LGD_ Razole,Filter Points,13265,100,30,60,8309,32,120,245,6414,12,180,180,14577,15,30,90,4810,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
197,EG_G_LGD_ Rcpuram,DW,2259,100,30,60,875,32,120,245,0,12,180,180,0,15,40,90,583,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
198,EG_G_LGD_ Rcpuram,DW+PS/DCB,4009,100,30,60,1531,32,120,245,0,12,180,180,7872,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
199,EG_G_LGD_ Rcpuram,BWs,10787,100,30,60,6778,32,120,245,5248,12,180,180,12828,15,30,90,3644,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
200,EG_G_LGD_ Rcpuram,STW,15306,100,30,60,7289,32,120,245,7289,12,180,180,15743,15,30,90,5102,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
201,EG_G_LGD_ Rcpuram,MTW,23032,100,30,60,8746,32,120,245,8746,12,180,180,21866,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
202,EG_G_LGD_ Rcpuram,Deep TW,30612,100,30,60,11662,32,120,245,11662,12,180,180,29155,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
203,EG_G_LGD_ Rcpuram,Filter Points,13265,100,30,60,8309,32,120,245,6414,12,180,180,14577,15,30,90,4810,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
204,EG_G_GD_ Allavaram,DW,2259,100,30,60,875,32,120,245,0,12,180,180,0,15,40,90,583,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
205,EG_G_GD_ Allavaram,DW+PS/DCB,4009,100,30,60,1531,32,120,245,0,12,180,180,7872,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
206,EG_G_GD_ Allavaram,BWs,10787,100,30,60,6778,32,120,245,5248,12,180,180,12828,15,30,90,3644,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
207,EG_G_GD_ Allavaram,STW,15306,100,30,60,7289,32,120,245,7289,12,180,180,15743,15,30,90,5102,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
208,EG_G_GD_ Allavaram,MTW,23032,100,30,60,8746,32,120,245,8746,12,180,180,21866,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
209,EG_G_GD_ Allavaram,Deep TW,30612,100,30,60,11662,32,120,245,11662,12,180,180,29155,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
210,EG_G_GD_ Allavaram,Filter Points,13265,100,30,60,8309,32,120,245,6414,12,180,180,14577,15,30,90,4810,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
211,EG-G-LGD- Ipolavaram,DW,2259,100,30,60,875,32,120,245,0,12,180,180,0,15,40,90,583,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
212,EG-G-LGD- Ipolavaram,DW+PS/DCB,4009,100,30,60,1531,32,120,245,0,12,180,180,7872,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
213,EG-G-LGD- Ipolavaram,BWs,10787,100,30,60,6778,32,120,245,5248,12,180,180,12828,15,30,90,3644,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
214,EG-G-LGD- Ipolavaram,STW,15306,100,30,60,7289,32,120,245,7289,12,180,180,15743,15,30,90,5102,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
215,EG-G-LGD- Ipolavaram,MTW,23032,100,30,60,8746,32,120,245,8746,12,180,180,21866,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
216,EG-G-LGD- Ipolavaram,Deep TW,30612,100,30,60,11662,32,120,245,11662,12,180,180,29155,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
217,EG-G-LGD- Ipolavaram,Filter Points,13265,100,30,60,8309,32,120,245,6414,12,180,180,14577,15,30,90,4810,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
218,EG_G_LGD_ Kajuluru,DW,2259,100,30,60,875,32,120,245,0,12,180,180,0,15,40,90,583,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
219,EG_G_LGD_ Kajuluru,DW+PS/DCB,4009,100,30,60,1531,32,120,245,0,12,180,180,7872,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
220,EG_G_LGD_ Kajuluru,BWs,10787,100,30,60,6778,32,120,245,5248,12,180,180,12828,15,30,90,3644,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
221,EG_G_LGD_ Kajuluru,STW,15306,100,30,60,7289,32,120,245,7289,12,180,180,15743,15,30,90,5102,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
222,EG_G_LGD_ Kajuluru,MTW,23032,100,30,60,8746,32,120,245,8746,12,180,180,21866,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
223,EG_G_LGD_ Kajuluru,Deep TW,30612,100,30,60,11662,32,120,245,11662,12,180,180,29155,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
224,EG_G_LGD_ Kajuluru,Filter Points,13265,100,30,60,8309,32,120,245,6414,12,180,180,14577,15,30,90,4810,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
225,EG_G_LGD_Karapa,DW,2259,100,30,60,875,32,120,245,0,12,180,180,0,15,40,90,583,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
226,EG_G_LGD_Karapa,DW+PS/DCB,4009,100,30,60,1531,32,120,245,0,12,180,180,7872,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
227,EG_G_LGD_Karapa,BWs,10787,100,30,60,6778,32,120,245,5248,12,180,180,12828,15,30,90,3644,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
228,EG_G_LGD_Karapa,STW,15306,100,30,60,7289,32,120,245,7289,12,180,180,15743,15,30,90,5102,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
229,EG_G_LGD_Karapa,MTW,23032,100,30,60,8746,32,120,245,8746,12,180,180,21866,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
230,EG_G_LGD_Karapa,Deep TW,30612,100,30,60,11662,32,120,245,11662,12,180,180,29155,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
231,EG_G_LGD_Karapa,Filter Points,13265,100,30,60,8309,32,120,245,6414,12,180,180,14577,15,30,90,4810,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
232,EG_G_LGD_ Katrenikona,DW,2259,100,30,60,875,32,120,245,0,12,180,180,0,15,40,90,583,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
233,EG_G_LGD_ Katrenikona,DW+PS/DCB,4009,100,30,60,1531,32,120,245,0,12,180,180,7872,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
234,EG_G_LGD_ Katrenikona,BWs,10787,100,30,60,6778,32,120,245,5248,12,180,180,12828,15,30,90,3644,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
235,EG_G_LGD_ Katrenikona,STW,15306,100,30,60,7289,32,120,245,7289,12,180,180,15743,15,30,90,5102,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
236,EG_G_LGD_ Katrenikona,MTW,23032,100,30,60,8746,32,120,245,8746,12,180,180,21866,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
237,EG_G_LGD_ Katrenikona,Deep TW,30612,100,30,60,11662,32,120,245,11662,12,180,180,29155,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
238,EG-G-LGD- Mamidikuduru,DW,2259,100,30,60,875,32,120,245,0,12,180,180,0,15,40,90,583,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
239,EG-G-LGD- Mamidikuduru,DW+PS/DCB,4009,100,30,60,1531,32,120,245,0,12,180,180,7872,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
240,EG-G-LGD- Mamidikuduru,BWs,10787,100,30,60,6778,32,120,245,5248,12,180,180,12828,15,30,90,3644,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
241,EG-G-LGD- Mamidikuduru,STW,15306,100,30,60,7289,32,120,245,7289,12,180,180,15743,15,30,90,5102,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
242,EG-G-LGD- Mamidikuduru,MTW,23032,100,30,60,8746,32,120,245,8746,12,180,180,21866,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
243,EG-G-LGD- Mamidikuduru,Deep TW,30612,100,30,60,11662,32,120,245,11662,12,180,180,29155,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
244,EG-G-LGD- Mamidikuduru,Filter Points,13265,100,30,60,8309,32,120,245,6414,12,180,180,14577,15,30,90,4810,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
245,EG_G_LGD_ Sakhinetipalli,DW,2259,100,30,60,875,32,120,245,0,12,180,180,0,15,40,90,583,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
246,EG_G_LGD_ Sakhinetipalli,DW+PS/DCB,4009,100,30,60,1531,32,120,245,0,12,180,180,7872,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
247,EG_G_LGD_ Sakhinetipalli,BWs,10787,100,30,60,6778,32,120,245,5248,12,180,180,12828,15,30,90,3644,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
248,EG_G_LGD_ Sakhinetipalli,STW,15306,100,30,60,7289,32,120,245,7289,12,180,180,15743,15,30,90,5102,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
249,EG_G_LGD_ Sakhinetipalli,MTW,23032,100,30,60,8746,32,120,245,8746,12,180,180,21866,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
250,EG_G_LGD_ Sakhinetipalli,Deep TW,30612,100,30,60,11662,32,120,245,11662,12,180,180,29155,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
251,EG_G_LGD_ Sakhinetipalli,Filter Points,13265,100,30,60,8309,32,120,245,6414,12,180,180,14577,15,30,90,4810,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
252,EG_G_LGD_ Tallarevu,DW,2259,100,30,60,875,32,120,245,0,12,180,180,0,15,40,90,583,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
253,EG_G_LGD_ Tallarevu,DW+PS/DCB,4009,100,30,60,1531,32,120,245,0,12,180,180,7872,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
254,EG_G_LGD_ Tallarevu,BWs,10787,100,30,60,6778,32,120,245,5248,12,180,180,12828,15,30,90,3644,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
255,EG_G_LGD_ Tallarevu,STW,15306,100,30,60,7289,32,120,245,7289,12,180,180,15743,15,30,90,5102,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
256,EG_G_LGD_ Tallarevu,MTW,23032,100,30,60,8746,32,120,245,8746,12,180,180,21866,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
257,EG_G_LGD_ Tallarevu,Deep TW,30612,100,30,60,11662,32,120,245,11662,12,180,180,29155,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
258,EG_G_LGD_ Tallarevu,Filter Points,13265,100,30,60,8309,32,120,245,6414,12,180,180,14577,15,30,90,4810,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
259,EG_G_LGD_ Upplguptam,DW,2259,100,30,60,875,32,120,245,0,12,180,180,0,15,40,90,583,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
